horizon,case_lift,pooled_lift,base_rate,hit_rate,n_signals,frequency,future_benefit_bps,symmetric_benefit_bps,candidate
1,1.5645887899423783,1.56512990347632,0.5563326921956053,0.8704318936877077,301,1.2847560975609755,61.02727633075876,14.085042448093812,incumbent
3,1.6645962732919253,1.6657821848397392,0.40116279069767447,0.6677740863787376,301,1.2847560975609755,79.45553646189768,26.78842157691082,incumbent
5,1.621539243078486,1.6231608922638823,0.34420353208602905,0.5581395348837209,301,1.2847560975609755,84.64011863735163,28.99137771430295,incumbent
10,1.6023978088987652,1.604620113639892,0.281969458530046,0.45182724252491696,301,1.2847560975609755,98.64480924991966,29.741202958864022,incumbent
20,1.6144767899291894,1.6161645091075725,0.2037215130850382,0.3289036544850498,301,1.2847560975609755,112.5893732149632,34.43098195673582,incumbent
1,1.5640785781103834,1.5666677077802418,0.5570609692548203,0.8712871287128713,303,1.2932926829268294,60.787755290199826,14.176893852988076,global_ridge_w10
3,1.6740570112294846,1.6794852351755964,0.4021770598112443,0.6732673267326733,303,1.2932926829268294,80.07313007146632,26.59346817889662,global_ridge_w10
5,1.6433121019108279,1.6508385532430794,0.34543454345434543,0.5676567656765676,303,1.2932926829268294,85.7207575345469,28.466154180053973,global_ridge_w10
10,1.6204110849780142,1.6291909564788256,0.28310462625209887,0.45874587458745875,303,1.2932926829268294,100.91822393190766,29.242135291729912,global_ridge_w10
20,1.629723991507431,1.6379310344827587,0.20453361125586242,0.3333333333333333,303,1.2932926829268294,117.48786941796281,33.85508303445375,global_ridge_w10
1,1.5695273061037174,1.5711616795810235,0.5567194685743484,0.8737864077669902,309,1.3189024390243902,62.227856046340555,15.477856725060242,global_ridge_w25
3,1.6684696150174991,1.6710926047885108,0.40150740929994894,0.6699029126213593,309,1.3189024390243902,77.39873078022426,26.23670824877868,global_ridge_w25
5,1.6342066238260007,1.6376064989102435,0.3445750298075286,0.5631067961165048,309,1.3189024390243902,82.00714395355959,27.575804381511073,global_ridge_w25
10,1.6050686378035903,1.6090493905574208,0.2822772951796968,0.45307443365695793,309,1.3189024390243902,97.45680454089712,29.888958480794336,global_ridge_w25
20,1.6321934945788157,1.6379310344827587,0.20422415261454607,0.3333333333333333,309,1.3189024390243902,116.47295269248467,35.525580055227536,global_ridge_w25
1,1.536411232746311,1.5355265134444946,0.5558201058201059,0.8539682539682539,315,1.3445121951219512,59.814432548545916,15.006539971067312,global_ridge_w50
3,1.650506386384993,1.6471814108575595,0.4000696184906711,0.6603174603174603,315,1.3445121951219512,75.6643142820236,25.959304482304606,global_ridge_w50
5,1.629894394800975,1.6248785228377065,0.34280144806460594,0.5587301587301587,315,1.3445121951219512,79.54793517912762,27.02327723909317,global_ridge_w50
10,1.6066696441863926,1.6009494140335263,0.2805764411027569,0.4507936507936508,315,1.3445121951219512,96.31033106243072,29.88761218358266,global_ridge_w50
20,1.6239983562769675,1.6223316912972086,0.20329991645781118,0.33015873015873015,315,1.3445121951219512,116.23320396820777,34.778433582225944,global_ridge_w50
1,1.3712163088420632,1.3699864803965751,0.5556415548675611,0.7619047619047619,357,1.5237804878048782,41.93589965333188,9.794562021168373,global_ridge_w100
3,1.4367833758568749,1.4324329294080869,0.39966337412157843,0.5742296918767507,357,1.5237804878048782,52.54795175734147,13.730875894697341,global_ridge_w100
5,1.4158948955416755,1.409277996913051,0.3422526905499042,0.484593837535014,357,1.5237804878048782,57.65774572974369,13.608176334839845,global_ridge_w100
10,1.470709552854447,1.4623419461242442,0.2799769030419186,0.4117647058823529,357,1.5237804878048782,81.13808824940574,18.746851092143586,global_ridge_w100
20,1.4892947865005441,1.4865256447406547,0.20313037495700034,0.3025210084033613,357,1.5237804878048782,114.48952244973724,31.33491981291018,global_ridge_w100
1,1.55944238500496,1.5599473541270605,0.5563204368537238,0.8675496688741722,302,1.2890243902439025,61.31182015421911,14.68044685739852,global_hist_w10
3,1.659112301788429,1.6602663497906007,0.4011560357848264,0.6655629139072847,302,1.2890243902439025,79.40516022897714,27.511536472815678,global_hist_w10
5,1.6162025316455695,1.617786187322611,0.34419658417567095,0.5562913907284768,302,1.2890243902439025,84.93961209686624,29.8415013642505,global_hist_w10
10,1.585453796229525,1.5875471931670484,0.2819507377715813,0.4470198675496689,302,1.2890243902439025,99.10837952418468,31.261280989419458,global_hist_w10
20,1.593041494367603,1.5945421329070564,0.20370047635645405,0.32450331125827814,302,1.2890243902439025,112.96389962901955,36.1641476746978,global_hist_w10
1,1.5594830962015402,1.5599473541270605,0.5563059137911003,0.8675496688741722,302,1.2890243902439025,64.17534066270495,15.664455062633326,global_hist_w25
3,1.6508580117297806,1.652006318199603,0.40115603578482634,0.6622516556291391,302,1.2890243902439025,82.7546560052431,29.982994254290915,global_hist_w25
5,1.596827271960172,1.598526827949723,0.3442256303009179,0.5496688741721855,302,1.2890243902439025,88.09230210002853,33.0628294601936,global_hist_w25
10,1.5862708719851577,1.5875471931670484,0.2818055071453468,0.4470198675496689,302,1.2890243902439025,102.82428941438961,35.85165314419729,global_hist_w25
20,1.6095265259555052,1.6108129709979448,0.20367143023120712,0.32781456953642385,302,1.2890243902439025,119.4084903875035,41.8865743984126,global_hist_w25
1,1.5359975594874922,1.5370916861707542,0.5565365025466894,0.8548387096774194,310,1.3231707317073171,63.0638167316376,15.08244542845261,global_hist_w50
3,1.655609996827523,1.6576551139973177,0.40137238256932656,0.6645161290322581,310,1.3231707317073171,82.06063681431654,29.827109386702332,global_hist_w50
5,1.6106456382454413,1.6135615536537193,0.3444821731748726,0.5548387096774193,310,1.3231707317073171,87.1674794263815,33.4374455253486,global_hist_w50
10,1.60216834814034,1.6038589086523967,0.28187606112054336,0.45161290322580644,310,1.3231707317073171,101.90016090526262,37.49527962385561,global_hist_w50
