model,currency,quarter,train,last_resolved
extra,all,2025-10-01,4595,2025-09-30
extra,all,2026-01-01,4920,2025-12-31
extra,all,2026-04-01,5190,2026-03-31
extra,all,2026-07-01,5500,2026-06-30
ridge,KZT,2023-01-01,242,2022-12-31
ridge,AMD,2023-01-01,242,2022-12-31
ridge,KGS,2023-01-01,242,2022-12-31
ridge,TJS,2023-01-01,242,2022-12-31
ridge,UZS,2023-01-01,242,2022-12-31
ridge,KZT,2023-04-01,298,2023-03-31
ridge,AMD,2023-04-01,298,2023-03-31
ridge,KGS,2023-04-01,298,2023-03-31
ridge,TJS,2023-04-01,298,2023-03-31
ridge,UZS,2023-04-01,298,2023-03-31
ridge,KZT,2023-07-01,359,2023-06-30
ridge,AMD,2023-07-01,359,2023-06-30
ridge,KGS,2023-07-01,359,2023-06-30
ridge,TJS,2023-07-01,359,2023-06-30
ridge,UZS,2023-07-01,359,2023-06-30
ridge,KZT,2023-10-01,425,2023-09-30
ridge,AMD,2023-10-01,425,2023-09-30
ridge,KGS,2023-10-01,425,2023-09-30
ridge,TJS,2023-10-01,425,2023-09-30
ridge,UZS,2023-10-01,425,2023-09-30
ridge,KZT,2024-01-01,489,2023-12-30
ridge,AMD,2024-01-01,489,2023-12-30
ridge,KGS,2024-01-01,489,2023-12-30
ridge,TJS,2024-01-01,489,2023-12-30
ridge,UZS,2024-01-01,489,2023-12-30
ridge,KZT,2024-04-01,546,2024-03-30
ridge,AMD,2024-04-01,546,2024-03-30
ridge,KGS,2024-04-01,546,2024-03-30
ridge,TJS,2024-04-01,546,2024-03-30
ridge,UZS,2024-04-01,546,2024-03-30
ridge,KZT,2024-07-01,606,2024-06-29
ridge,AMD,2024-07-01,606,2024-06-29
ridge,KGS,2024-07-01,606,2024-06-29
ridge,TJS,2024-07-01,606,2024-06-29
ridge,UZS,2024-07-01,606,2024-06-29
ridge,KZT,2024-10-01,671,2024-09-28
ridge,AMD,2024-10-01,671,2024-09-28
ridge,KGS,2024-10-01,671,2024-09-28
ridge,TJS,2024-10-01,671,2024-09-28
ridge,UZS,2024-10-01,671,2024-09-28
ridge,KZT,2025-01-01,737,2024-12-29
ridge,AMD,2025-01-01,737,2024-12-29
ridge,KGS,2025-01-01,737,2024-12-29
ridge,TJS,2025-01-01,737,2024-12-29
ridge,UZS,2025-01-01,737,2024-12-29
ridge,KZT,2025-04-01,794,2025-03-29
ridge,AMD,2025-04-01,794,2025-03-29
ridge,KGS,2025-04-01,794,2025-03-29
ridge,TJS,2025-04-01,794,2025-03-29
ridge,UZS,2025-04-01,794,2025-03-29
ridge,KZT,2025-07-01,853,2025-06-28
ridge,AMD,2025-07-01,853,2025-06-28
ridge,KGS,2025-07-01,853,2025-06-28
ridge,TJS,2025-07-01,853,2025-06-28
ridge,UZS,2025-07-01,853,2025-06-28
ridge,KZT,2025-10-01,919,2025-09-30
ridge,AMD,2025-10-01,919,2025-09-30
ridge,KGS,2025-10-01,919,2025-09-30
ridge,TJS,2025-10-01,919,2025-09-30
ridge,UZS,2025-10-01,919,2025-09-30
ridge,KZT,2026-01-01,984,2025-12-31
ridge,AMD,2026-01-01,984,2025-12-31
ridge,KGS,2026-01-01,984,2025-12-31
ridge,TJS,2026-01-01,984,2025-12-31
ridge,UZS,2026-01-01,984,2025-12-31
ridge,KZT,2026-04-01,1038,2026-03-31
ridge,AMD,2026-04-01,1038,2026-03-31
ridge,KGS,2026-04-01,1038,2026-03-31
ridge,TJS,2026-04-01,1038,2026-03-31
ridge,UZS,2026-04-01,1038,2026-03-31
ridge,KZT,2026-07-01,1100,2026-06-30
ridge,AMD,2026-07-01,1100,2026-06-30
ridge,KGS,2026-07-01,1100,2026-06-30
ridge,TJS,2026-07-01,1100,2026-06-30
ridge,UZS,2026-07-01,1100,2026-06-30
