n,primary_n,baseload_n,frequency,hit_rate,base_rate,lift,forward_benefit_bps,corridor_lift_min,corridor_freq_min,corridor_freq_max,quarter_lift_min,quarter_frequency_min,quarter_frequency_max,macro_year_lift,year_lift_min,year_frequency_min,year_frequency_max,lookback_days,primary_ceiling,emitted_floor,fallback_weekday
364,296,68,1.4395480225988702,0.44505494505494503,0.3379032258064516,1.3171077132890976,52.42227912702527,1.2338308457711442,1.344632768361582,1.4830508474576272,0.8241758241758241,0.8909090909090909,2.131818181818182,1.3171077132890976,1.3171077132890976,1.4395480225988702,1.4395480225988702,14,0.5,1.0,0
360,296,64,1.423728813559322,0.44166666666666665,0.3379032258064516,1.3070803500397772,53.12260922136736,1.2612612612612613,1.305084745762712,1.4830508474576272,0.9796806966618287,0.8431818181818181,2.131818181818182,1.3070803500397772,1.3070803500397772,1.423728813559322,1.423728813559322,14,0.5,1.0,2
357,296,61,1.4118644067796613,0.45098039215686275,0.3379032258064516,1.334643642659928,53.59063197898346,1.2420091324200913,1.2853107344632768,1.4830508474576272,0.6656804733727811,0.8272727272727273,2.131818181818182,1.334643642659928,1.334643642659928,1.4118644067796613,1.4118644067796613,14,0.5,1.0,3
377,296,81,1.4909604519774013,0.4403183023872679,0.3379032258064516,1.3030899641055183,51.98232381662353,1.2498546229889513,1.384180790960452,1.5423728813559323,0.6962864721485411,0.9227272727272727,2.1954545454545458,1.3030899641055183,1.3030899641055183,1.4909604519774013,1.4909604519774013,14,0.5,1.25,0
372,296,76,1.4711864406779662,0.43548387096774194,0.3379032258064516,1.288782816229117,51.26715795888559,1.2307692307692308,1.364406779661017,1.5423728813559323,0.7211538461538461,0.8909090909090909,2.1954545454545458,1.288782816229117,1.288782816229117,1.4711864406779662,1.4711864406779662,14,0.5,1.25,2
364,296,68,1.4395480225988702,0.44505494505494503,0.3379032258064516,1.3171077132890976,51.412276427917114,1.208888888888889,1.305084745762712,1.5028248587570623,0.641025641025641,0.8590909090909091,2.147727272727273,1.3171077132890976,1.3171077132890976,1.4395480225988702,1.4395480225988702,14,0.5,1.25,3
377,296,81,1.4909604519774013,0.4403183023872679,0.3379032258064516,1.3030899641055183,51.98232381662353,1.2498546229889513,1.384180790960452,1.5423728813559323,0.6962864721485411,0.9227272727272727,2.1954545454545458,1.3030899641055183,1.3030899641055183,1.4909604519774013,1.4909604519774013,14,0.5,1.5,0
372,296,76,1.4711864406779662,0.43548387096774194,0.3379032258064516,1.288782816229117,51.26715795888559,1.2307692307692308,1.364406779661017,1.5423728813559323,0.7211538461538461,0.8909090909090909,2.1954545454545458,1.288782816229117,1.288782816229117,1.4711864406779662,1.4711864406779662,14,0.5,1.5,2
364,296,68,1.4395480225988702,0.44505494505494503,0.3379032258064516,1.3171077132890976,51.412276427917114,1.208888888888889,1.305084745762712,1.5028248587570623,0.641025641025641,0.8590909090909091,2.147727272727273,1.3171077132890976,1.3171077132890976,1.4395480225988702,1.4395480225988702,14,0.5,1.5,3
367,296,71,1.4514124293785313,0.44959128065395093,0.3379032258064516,1.3305326682837688,52.27759908978049,1.217596229379419,1.344632768361582,1.5028248587570623,0.9109311740890688,0.9068181818181819,2.131818181818182,1.3305326682837688,1.3305326682837688,1.4514124293785313,1.4514124293785313,14,0.75,1.0,0
363,296,67,1.435593220338983,0.44077134986225897,0.3379032258064516,1.3044307251293583,52.73363571236998,1.2444444444444445,1.305084745762712,1.4830508474576272,1.0683760683760684,0.8590909090909091,2.131818181818182,1.3044307251293583,1.3044307251293583,1.435593220338983,1.435593220338983,14,0.75,1.0,2
359,296,63,1.419774011299435,0.44846796657381616,0.3379032258064516,1.327208302032296,53.07044636496794,1.2054794520547945,1.2853107344632768,1.4830508474576272,0.7619738751814223,0.8431818181818181,2.131818181818182,1.327208302032296,1.327208302032296,1.419774011299435,1.419774011299435,14,0.75,1.0,3
380,296,84,1.5028248587570623,0.44473684210526315,0.3379032258064516,1.3161663107649793,51.91773009462971,1.2338308457711442,1.384180790960452,1.5621468926553672,0.7822685788787483,0.9386363636363637,2.1954545454545458,1.3161663107649793,1.3161663107649793,1.5028248587570623,1.5028248587570623,14,0.75,1.25,0
375,296,79,1.4830508474576272,0.43466666666666665,0.3379032258064516,1.2863643595863166,51.000638354401175,1.2151898734177216,1.364406779661017,1.5621468926553672,0.8097165991902834,0.9068181818181819,2.1954545454545458,1.2863643595863166,1.2863643595863166,1.4830508474576272,1.4830508474576272,14,0.75,1.25,2
367,296,71,1.4514124293785313,0.444141689373297,0.3379032258064516,1.314404999577299,51.20732822671813,1.1929824561403508,1.305084745762712,1.5028248587570623,0.7342657342657342,0.875,2.147727272727273,1.314404999577299,1.314404999577299,1.4514124293785313,1.4514124293785313,14,0.75,1.25,3
380,296,84,1.5028248587570623,0.44473684210526315,0.3379032258064516,1.3161663107649793,51.91773009462971,1.2338308457711442,1.384180790960452,1.5621468926553672,0.7822685788787483,0.9386363636363637,2.1954545454545458,1.3161663107649793,1.3161663107649793,1.5028248587570623,1.5028248587570623,14,0.75,1.5,0
375,296,79,1.4830508474576272,0.43466666666666665,0.3379032258064516,1.2863643595863166,51.000638354401175,1.2151898734177216,1.364406779661017,1.5621468926553672,0.8097165991902834,0.9068181818181819,2.1954545454545458,1.2863643595863166,1.2863643595863166,1.4830508474576272,1.4830508474576272,14,0.75,1.5,2
367,296,71,1.4514124293785313,0.444141689373297,0.3379032258064516,1.314404999577299,51.20732822671813,1.1929824561403508,1.305084745762712,1.5028248587570623,0.7342657342657342,0.875,2.147727272727273,1.314404999577299,1.314404999577299,1.4514124293785313,1.4514124293785313,14,0.75,1.5,3
367,296,71,1.4514124293785313,0.44959128065395093,0.3379032258064516,1.3305326682837688,52.27759908978049,1.217596229379419,1.344632768361582,1.5028248587570623,0.9109311740890688,0.9068181818181819,2.131818181818182,1.3305326682837688,1.3305326682837688,1.4514124293785313,1.4514124293785313,14,1.0,1.0,0
363,296,67,1.435593220338983,0.44077134986225897,0.3379032258064516,1.3044307251293583,52.73363571236998,1.2444444444444445,1.305084745762712,1.4830508474576272,1.0683760683760684,0.8590909090909091,2.131818181818182,1.3044307251293583,1.3044307251293583,1.435593220338983,1.435593220338983,14,1.0,1.0,2
359,296,63,1.419774011299435,0.44846796657381616,0.3379032258064516,1.327208302032296,53.07044636496794,1.2054794520547945,1.2853107344632768,1.4830508474576272,0.7619738751814223,0.8431818181818181,2.131818181818182,1.327208302032296,1.327208302032296,1.419774011299435,1.419774011299435,14,1.0,1.0,3
380,296,84,1.5028248587570623,0.44473684210526315,0.3379032258064516,1.3161663107649793,51.91773009462971,1.2338308457711442,1.384180790960452,1.5621468926553672,0.7822685788787483,0.9386363636363637,2.1954545454545458,1.3161663107649793,1.3161663107649793,1.5028248587570623,1.5028248587570623,14,1.0,1.25,0
375,296,79,1.4830508474576272,0.43466666666666665,0.3379032258064516,1.2863643595863166,51.000638354401175,1.2151898734177216,1.364406779661017,1.5621468926553672,0.8097165991902834,0.9068181818181819,2.1954545454545458,1.2863643595863166,1.2863643595863166,1.4830508474576272,1.4830508474576272,14,1.0,1.25,2
367,296,71,1.4514124293785313,0.444141689373297,0.3379032258064516,1.314404999577299,51.20732822671813,1.1929824561403508,1.305084745762712,1.5028248587570623,0.7342657342657342,0.875,2.147727272727273,1.314404999577299,1.314404999577299,1.4514124293785313,1.4514124293785313,14,1.0,1.25,3
380,296,84,1.5028248587570623,0.44473684210526315,0.3379032258064516,1.3161663107649793,51.91773009462971,1.2338308457711442,1.384180790960452,1.5621468926553672,0.7822685788787483,0.9386363636363637,2.1954545454545458,1.3161663107649793,1.3161663107649793,1.5028248587570623,1.5028248587570623,14,1.0,1.5,0
375,296,79,1.4830508474576272,0.43466666666666665,0.3379032258064516,1.2863643595863166,51.000638354401175,1.2151898734177216,1.364406779661017,1.5621468926553672,0.8097165991902834,0.9068181818181819,2.1954545454545458,1.2863643595863166,1.2863643595863166,1.4830508474576272,1.4830508474576272,14,1.0,1.5,2
367,296,71,1.4514124293785313,0.444141689373297,0.3379032258064516,1.314404999577299,51.20732822671813,1.1929824561403508,1.305084745762712,1.5028248587570623,0.7342657342657342,0.875,2.147727272727273,1.314404999577299,1.314404999577299,1.4514124293785313,1.4514124293785313,14,1.0,1.5,3
358,296,62,1.415819209039548,0.4329608938547486,0.3379032258064516,1.2813162491166785,48.87339649161422,1.2252252252252254,1.2853107344632768,1.4830508474576272,0.5341880341880342,0.8590909090909091,2.147727272727273,1.2813162491166785,1.2813162491166785,1.415819209039548,1.415819209039548,21,0.5,1.0,0
