candidate,h,period,n,positive_rate,brier_raw,logloss_raw,ece_raw,auc_raw,average_precision_raw,brier_calibrated,logloss_calibrated,ece_calibrated,auc_calibrated,average_precision_calibrated,brier_prior,logloss_prior,ece_prior,auc_prior,average_precision_prior
history_hist,1,screen_2024,1240,0.5435483870967742,0.2533993857224881,0.7042388325665968,0.10512655508789773,0.5843587149133385,0.6203505233551172,0.24364898712441263,0.6802442187199361,0.050597564535048954,0.5809732518270753,0.6185973717170072,0.24863337613692413,0.6904213457642329,0.009232004608369815,0.48519597152174143,0.5401789832436167
history_hist,1,opened_2025_2026,2040,0.49950980392156863,0.24808988606332893,0.691727506824139,0.04941006222863663,0.5942859422202443,0.5857642964249498,0.24495833786057442,0.6831478462309312,0.016624452596322385,0.5871910680421646,0.5799960118912757,0.2524998404890993,0.6981638660551329,0.02420242028184294,0.41682277664626743,0.4514718622417193
range_anchor,1,screen_2024,1240,0.5435483870967742,0.3800535193549436,1.8426023302018326,0.30969021774193545,0.4554437407597697,0.5141244580784792,0.24658855970203128,0.6862860640575104,0.015123003482003093,0.5374235878831091,0.5827065985332964,0.24839491531858202,0.6899352168983877,0.00812443075359015,0.46695143177695525,0.5217961472065561
range_anchor,1,opened_2025_2026,2040,0.49950980392156863,0.38593073039219017,1.439484377311324,0.3279842803921569,0.44186557272738625,0.4588568164980671,0.2487922777553831,0.6906846636610663,0.017731819432182522,0.5327955909223289,0.5364974501277999,0.2518641570756579,0.696883465161447,0.019913821336263515,0.41682277664626743,0.4514718622417193
history_hist,3,screen_2024,1240,0.3919354838709677,0.262087000431078,0.7267189420835507,0.1291196666068865,0.5206675508399646,0.4123316606049284,0.24546815150064996,0.684705497730239,0.07226599491287389,0.5118299112551986,0.4022576043388186,0.24078215252879093,0.6746746150003479,0.05058002652790136,0.46238852321227797,0.3828325200904403
history_hist,3,opened_2025_2026,2030,0.3315270935960591,0.21866952084649804,0.6310082532729663,0.07016712433737972,0.6036724441315242,0.4267415238388495,0.21725849911216988,0.6256346216035887,0.01660274609331949,0.5861478810548135,0.4072570412119456,0.22632513345800534,0.6453417763351074,0.038097076752756455,0.3875786878011872,0.27858170182458397
range_anchor,3,screen_2024,1240,0.3919354838709677,0.3631374161291371,1.6402661426979372,0.32517408870967734,0.4663018087347589,0.37451296302984194,0.238553531908636,0.6702925173645111,0.012131907651522326,0.521529892698475,0.41573832210913786,0.2392830501191843,0.6716352845980416,0.005865781489780619,0.46238852321227797,0.3828325200904403
range_anchor,3,opened_2025_2026,2030,0.3315270935960591,0.4040422394088985,1.4190875485785872,0.3610975054187192,0.42540686616421813,0.2900121011328786,0.22155837986584806,0.6351361841238582,0.02563838894389144,0.5277609577108844,0.3664267960062262,0.2249653726783782,0.6424938526252169,0.03071348430813725,0.3875786878011872,0.27858170182458397
history_hist,5,screen_2024,1240,0.3379032258064516,0.2597277779503352,0.7286524771584797,0.15921523447051553,0.49997965110363696,0.349379435950135,0.2356154705557163,0.6650188523463508,0.09341017324650816,0.4860101337503888,0.3394000098081858,0.22678145650302653,0.6463075954825775,0.017877063857089093,0.4517513132305617,0.3309125566001996
history_hist,5,opened_2025_2026,2020,0.26782178217821784,0.1954771240968712,0.5832690815809343,0.05399809371256156,0.5960651836743366,0.3572853644035005,0.1951484214706801,0.5789720705286839,0.029592318615261543,0.5546548787148233,0.32217951347736395,0.20145365651354627,0.5935766924397925,0.078239491707941,0.3781711677596018,0.219138379319801
