rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,candidate,stage1_robustness,robustness
0.2,572,1.1153203342618385,120,0,0.38986013986013984,0.32793522267206476,1.1888327721661054,0.5858760969805147,45.442254379626384,1.113490364025696,1.1751061910127212,2,2,0.9066852367688022,1.2966573816155988,1.1359669811320754,0.8800705467372134,consensus_geometric,1.198686177326725,1.113490364025696
0.4,854,1.6651810584958218,250,0,0.3711943793911007,0.32793522267206476,1.1319137248098998,0.5600364420645545,38.658153199915986,1.0221802056281986,1.1256723889305165,2,2,1.5306406685236769,1.8426183844011141,1.0693976104242122,0.8939929328621908,hedge_local_eta10_rho0p97,1.1618392572339942,1.0221802056281986
0.35,751,1.4643454038997215,250,0,0.36750998668442075,0.32793522267206476,1.1206786013710115,0.5610493827160493,34.85135768709843,0.9897385884198697,1.1315577675086619,1,2,1.3161559888579388,1.6183844011142061,1.0045025417574438,0.8806970509383378,hedge_hierarchical_eta10_rho0p97,1.1563151172951536,0.9897385884198697
0.35,763,1.4877437325905292,250,0,0.36828309305373524,0.32793522267206476,1.1230360985712668,0.5693083444890674,30.787594935623403,1.0240333038419949,1.1098233863923213,2,2,1.3454038997214486,1.7061281337047354,0.986564996368918,0.8799472295514512,hedge_local_eta5_rho0p97,1.1717403264258206,0.986564996368918
0.25,647,1.2615598885793873,120,0,0.36476043276661513,0.32793522267206476,1.112294159177209,0.570036070206753,39.35976104307984,0.9766763848396501,1.0469971859958422,1,2,1.1406685236768803,1.3649025069637883,1.0317460317460319,0.8551401869158879,consensus_median,1.1908854603387558,0.9766763848396501
0.35,756,1.4740947075208912,0,0,0.37566137566137564,0.32793522267206476,1.1455353060291331,0.5718414398334077,39.18190173151293,1.050170068027211,1.0734682486609504,2,2,1.2089136490250696,1.7743732590529249,0.9755959937932008,0.8908122503328895,hedge_local_eta10_rho1,1.1767979909521602,0.9755959937932008
0.35,657,1.281058495821727,250,0,0.3637747336377473,0.32793522267206476,1.1092883852904147,0.5631511230105608,32.30302915339518,0.9643399489338871,1.1337040574879071,1,2,1.1309192200557103,1.520891364902507,0.974194275411314,0.8803680981595092,hedge_local_eta20_rho0p99,1.183342546526626,0.9643399489338871
0.35,655,1.277158774373259,250,0,0.366412213740458,0.32793522267206476,1.1173310715295448,0.5642942138926075,32.77666692051169,0.963787770640019,1.1493190435366063,1,2,1.1406685236768803,1.511142061281337,0.9658678286129266,0.88,hedge_hierarchical_eta20_rho0p99,1.186746489820894,0.963787770640019
0.2,485,0.9456824512534819,120,0,0.354639175257732,0.32793522267206476,1.081430571464936,0.5664442957013238,30.316330152143788,0.9752288944062261,1.0844502312061552,1,2,0.818941504178273,1.0236768802228413,0.9609399315281669,0.8708333333333333,hedge_global_eta20_rho0p99,1.1463847479971605,0.9609399315281669
0.25,551,1.074373259052925,250,0,0.3629764065335753,0.32793522267206476,1.1068539804171988,0.5632537557637959,34.05715608740169,0.994291656649577,1.097243010054623,1,2,0.8969359331476323,1.2479108635097493,0.9475703324808186,0.8589743589743589,hedge_global_eta10_rho0p97,1.1513407097288677,0.9475703324808186
0.4,851,1.6593314763231197,250,0,0.35605170387779084,0.32793522267206476,1.0857379118248685,0.5397605235757846,29.41000547139828,0.9135682304847187,1.1326410740676551,1,2,1.5501392757660168,1.8133704735376044,1.0170588235294118,0.900709219858156,hedge_local_eta20_rho0p97,1.1343950255240578,0.9135682304847187
0.25,504,0.9827298050139276,500,0,0.3353174603174603,0.32793522267206476,1.0225112678816382,0.545490108582478,22.20470778762568,0.9145994913629292,1.0070070877240613,1,2,0.8286908077994429,1.1796657381615598,0.9116493656286044,0.87374749498998,hedge_global_eta20_rho0p97,1.1235778841042,0.9116493656286044
0.3,605,1.1796657381615598,0,0,0.3685950413223141,0.32793522267206476,1.1239873482297726,0.5697344935296742,31.247828440440742,1.0102355433437507,1.0272157213277007,2,2,0.8969359331476323,1.4721448467966574,0.9106753812636166,0.88,hedge_hierarchical_eta5_rho0p97,1.1666351785376914,0.9106753812636166
0.3,604,1.177715877437326,250,0,0.38079470198675497,0.32793522267206476,1.161188782601586,0.5714048787743566,36.880948197733424,1.0759646471008102,1.1258326240204473,2,2,1.0919220055710306,1.3161559888579388,0.906318082788671,0.8664440734557596,hedge_hierarchical_eta10_rho0p99,1.1988836306273511,0.906318082788671
0.25,537,1.047075208913649,250,0,0.3817504655493482,0.32793522267206476,1.1641032714899877,0.5739997025137588,41.05610571645137,1.0940424158868909,1.112229018642476,2,2,0.9651810584958217,1.15041782729805,0.9040522875816995,0.8515037593984962,hedge_local_eta5_rho0p99,1.1909954444121351,0.9040522875816995
0.25,556,1.0841225626740947,250,0,0.37949640287769787,0.32793522267206476,1.1572297717381652,0.5740108582478061,41.25807845671816,1.0842664988073152,1.091919116641345,2,2,0.9651810584958217,1.2186629526462396,0.8968772694262891,0.852994555353902,hedge_global_eta5_rho0p99,1.191044776119403,0.8968772694262891
