policy,n,lift,lift_ci_low,lift_ci_high,lift_diff_vs_locked_anchor,lift_diff_ci_low,lift_diff_ci_high,forward_benefit_bps,forward_ci_low,forward_ci_high,symmetric_benefit_bps,symmetric_ci_low,symmetric_ci_high
round3_online_local_headline,1115,1.4344730941704034,1.2265411162626445,1.7320446963832705,0.13920523702754628,-0.11387411675193611,0.5138499436700804,42.209342437387626,13.977765979100669,72.13997578044874,7.357139376063635,-3.394002498789262,17.72610751168506
anchor_trend_posthoc,703,1.405672119487909,1.1319412390868755,1.6841316040515448,0.11040426234505185,-0.20190859734893865,0.4321727056658673,47.440287512625716,11.857887871451002,81.71174569161849,-2.097066839772898,-16.45575971682074,11.1196123114258
router_equal_balanced,1116,1.3479876045400239,1.1461917190713173,1.6148847234175603,0.05271974739716678,-0.1853157343919046,0.3675365888095209,38.303681922618146,8.708728697431512,67.38761499600562,-0.7040090730897882,-13.199509705716766,10.135467457723008
router_equal_original,1059,1.3275495750708215,1.1229026958177157,1.5929250730260063,0.032281717927964415,-0.20779586869162123,0.3374214423632165,38.248109494881405,8.685588839540392,68.01732616130201,-1.3818929457066738,-13.762839810464914,9.624304912999413
router_regime_soft,1056,1.32488952020202,1.1501633974275847,1.5507450031056398,0.029621663059163028,-0.23102020847097832,0.3614255777639408,31.951119356947572,6.0897095999835145,57.221385358267625,0.8448257869829876,-7.798456044039486,8.736175803075351
anchor_multiscale_locked,700,1.295267857142857,0.9642899755703668,1.5957736647240133,0.0,0.0,0.0,34.962780070176386,-14.020617796293172,67.27937939342964,-26.89663034903019,-56.112074527578194,-10.691696256300995
postshock_reset_xgb_stable,733,1.2879149613460663,1.01239853964249,1.5869155699430992,-0.00735289579679077,-0.38437121132556457,0.4246076846028788,32.730787342259035,-2.65924541268874,65.94299231992912,11.684463648689237,-1.1963950003577897,21.95523345523841
recency_short_mix,798,1.276629072681704,1.0618995736875032,1.625482200308837,-0.01863878446115308,-0.2928746284421254,0.42104646572136545,39.803369320774344,10.612290828632059,79.96574632423723,11.05738324142838,-4.535974867219129,26.739881343279368
round3_consensus_geometric,763,1.2639799038881607,1.041982831924757,1.614624202615835,-0.031287953254696355,-0.3247601765969639,0.3784197791706731,33.36528074176329,8.424982225283621,65.62640786121564,4.308665493104726,-4.363844639975274,14.184798034666839
global_extra,677,1.2540004923682915,0.9328810444323782,1.6174549800621816,-0.04126736477456561,-0.4104815982105429,0.3760695143580374,27.33694643418806,-16.12453651992029,69.77077706500275,8.244122365015471,-10.300954694439664,22.990429966916572
recent_reset_anchor_blend,1037,1.2214521054323368,1.0234409589125315,1.446420114746098,-0.07381575171052024,-0.24729194302533475,0.1718225521055825,27.123225726651544,-0.7946937548732177,50.66369707649177,-22.594141049140866,-37.05052830228218,-11.720614125505751
