rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,simpson_gap,candidate,rate,rolling
0.2,1805,1.7415575465196418,0,0,0.2371191135734072,0.24577822990844353,0.9647685788189541,0.49343018488379775,-4.949134309574797,0.6263584987682944,0.9327027434131457,0,4,1.4858718125430739,2.0599586492074433,0.8332122445025671,0.9627777777777777,0.8634123287797931,0.23661971830985915,2.892054794520548,0.10135625003916093,round1:anchor_pct90,0.2,0
0.2,1287,1.241764300482426,120,0,0.2463092463092463,0.24577822990844353,1.0021605510016107,0.49343018488379775,5.8991966800177025,0.8442502734413841,0.9578774865472819,2,4,1.0275671950379048,1.3990351481736734,0.9039080459770115,0.9438377535101404,0.9834270719202123,0.7887323943661971,1.7875706214689266,0.01873347908139844,round1:anchor_pct90,0.2,120
0.2,1291,1.2456237077877326,250,0,0.2501936483346243,0.24577822990844353,1.0179650509641378,0.49343018488379775,2.6341865440752157,0.725067842605156,0.9985280203984295,2,4,1.1192281185389388,1.3893866299104067,0.8808243727598567,0.9447900466562986,0.969871360190893,0.4969014084507042,1.866666666666667,0.04809369077324477,round1:anchor_pct90,0.2,250
0.2,1430,1.3797381116471399,500,0,0.25384615384615383,0.24577822990844353,1.0328260315843096,0.49343018488379775,6.1579023149244,0.7175411867995661,1.0139431557943475,2,4,1.2784286698828395,1.4279807029634735,0.8753957932828226,0.96,0.9791055920033168,0.28788732394366195,2.187005649717514,0.05372043958099282,round1:anchor_pct90,0.2,500
0.25,2060,1.9875947622329428,0,0,0.23300970873786409,0.24577822990844353,0.9480486079855978,0.49343018488379775,-4.045183978954019,0.6787284507694088,0.915015584845529,1,4,1.828394210889042,2.2915230875258445,0.8471252872584901,0.9669099756690998,0.8985633193456737,0.27605633802816903,3.1643835616438354,0.049485288639924074,round1:anchor_pct90,0.25,0
0.25,1494,1.441488628532047,120,0,0.25167336010709507,0.24577822990844353,1.0239855669920301,0.49343018488379775,3.1976066617487944,0.8896899501865214,0.9396559916860954,1,4,1.2253618194348725,1.5727084769124742,0.9067966922544723,0.9422431161853593,0.9856762436759035,0.9307042253521127,1.9892655367231638,0.03830932331612669,round1:anchor_pct90,0.25,120
0.25,1577,1.5215713301171605,250,0,0.2403297400126823,0.24577822990844353,0.9778316822535874,0.49343018488379775,-0.019756015182805307,0.6817624207728481,0.9839471254988251,2,4,1.4279807029634735,1.6450723638869746,0.874932570935376,0.9522900763358778,0.9310461347781842,0.6230985915492958,2.187005649717514,0.0467855474754032,round1:anchor_pct90,0.25,250
0.25,1662,1.6035837353549276,500,0,0.24789410348977137,0.24577822990844353,1.0086088730564788,0.49343018488379775,3.020834972836308,0.6714818763326226,1.003220272298064,2,4,1.529290144727774,1.7656788421778085,0.8765347417518348,0.9625829812914907,0.9380272130645098,0.3312676056338028,2.4282485875706215,0.07058165999196908,round1:anchor_pct90,0.25,500
0.3,2232,2.1535492763611304,0,0,0.22939068100358423,0.24577822990844353,0.9333238386859408,0.49343018488379775,-3.976226369306928,0.7226509497964722,0.8932612325713175,1,4,2.0454858718125433,2.431426602343212,0.8320050973828363,0.9708127525819488,0.9048343455614829,0.3036619718309859,3.340821917808219,0.02848949312445792,round1:anchor_pct90,0.3,0
0.3,1683,1.6238456237077878,120,0,0.24539512774806893,0.24577822990844353,0.9984412689418534,0.49343018488379775,-0.1371352212452851,0.8616976095134085,0.9311999140819553,1,4,1.514817367332874,1.7222605099931083,0.9038056658582736,0.9445768772348033,0.9648848171434239,1.100281690140845,2.17909604519774,0.033556451798429476,round1:anchor_pct90,0.3,120
