rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,candidate
0.2,723,0.6975878704341834,0,0,0.3070539419087137,0.24577822990844353,1.2493130169547417,0.5656525956799111,8.696154972214693,1.0258094720309292,1.3870196727339585,3,3,0.622329427980703,0.8201240523776706,1.0887275412256954,0.8356545961002786,delayed_global_hist_w3
0.2,970,0.9359062715368711,120,0,0.3061855670103093,0.24577822990844353,1.2457798525295283,0.5656525956799111,12.096522200257752,0.8076923076923076,1.320987315057602,3,4,0.8876636802205375,0.9793246037215714,1.0544193363844394,0.8373056994818653,delayed_global_hist_w3
0.2,785,0.757408683666437,250,0,0.31210191082802546,0.24577822990844353,1.2698517315560804,0.5656525956799111,9.596627318888793,0.6382739212007505,1.3028405099884899,3,4,0.6946933149552034,0.8587181254307374,1.1271643160188054,0.8179487179487179,delayed_global_hist_w3
0.2,786,0.7583735354927635,500,0,0.3104325699745547,0.24577822990844353,1.2630596700537553,0.5656525956799111,8.443362959315724,0.7476923076923078,1.2517411580480076,3,4,0.6995175740868367,0.8490696071674707,1.1217192848992013,0.8348271446862996,delayed_global_hist_w3
0.2,457,0.4409372846312888,250,3,0.2910284463894967,0.24577822990844353,1.1841099453678612,0.5656525956799111,9.003948286162775,0.7235732009925558,1.1913882325822622,3,4,0.4148862853204687,0.48725017229496903,0.9366170926716103,0.661504424778761,delayed_global_hist_w3
0.25,873,0.8423156443831841,0,0,0.3035509736540664,0.24577822990844353,1.2350604598590533,0.5656525956799111,6.909318945792607,1.1419124531835207,1.336090936090936,4,4,0.7332873880082702,0.9552033080634046,1.1009467055492161,0.8375576036866359,delayed_global_hist_w3
0.25,1202,1.1597518952446588,120,0,0.30282861896838603,0.24577822990844353,1.232121409130478,0.5656525956799111,13.18742405767076,0.8600216684723726,1.2975541805856525,3,4,1.109579600275672,1.2494831150930394,1.1059687261632343,0.8521303258145363,delayed_global_hist_w3
0.25,975,0.9407305306685045,250,0,0.31076923076923074,0.24577822990844353,1.264429444727458,0.5656525956799111,9.148422503800457,0.7668639053254438,1.3095750513847824,3,4,0.8731909028256375,1.0516884906960717,1.0544193363844394,0.8329896907216495,delayed_global_hist_w3
0.25,956,0.9223983459682977,500,0,0.3064853556485356,0.24577822990844353,1.2469996051428414,0.5656525956799111,8.71386250615028,0.6923076923076923,1.2905863597478957,3,4,0.8104755341144039,0.9986216402481048,1.1126877286600771,0.832807570977918,delayed_global_hist_w3
0.25,557,0.5374224672639559,250,3,0.2836624775583483,0.24577822990844353,1.1541399645689419,0.5656525956799111,7.90500243459902,0.8063348416289593,1.1643309754317217,3,4,0.5017229496898691,0.5885596140592695,1.016840450182059,0.6793478260869565,delayed_global_hist_w3
0.3,1063,1.0256374913852515,0,0,0.2953904045155221,0.24577822990844353,1.2018574819485026,0.5656525956799111,6.994878743351526,0.9838056680161943,1.230713746724983,3,4,0.8973121984838043,1.1288766368022054,1.0550663998544663,0.8478260869565217,delayed_global_hist_w3
