currency,lift,year_lift_min,forward_benefit_bps,selected_share,robustness,candidate
TJS,0.916533468952824,0.6702849389416553,-5.058183498725268,0.3387589013224822,0.6702849389416553,anchor_multiscale
UZS,1.2084994683678894,0.0,12.779466752457814,0.40284842319430314,0.0,anchor_multiscale
KGS,0.9729105571847507,0.0,-10.111752454107814,0.34689725330620547,0.0,anchor_multiscale
AMD,1.015495867768595,0.5460599334073252,12.004395880883932,0.358087487283825,0.5460599334073252,anchor_multiscale
KZT,0.8376284999508395,0.0,-10.171452171000931,0.3896236012207528,0.0,anchor_multiscale
TJS,1.1038178848509597,0.7778489116517285,15.183987699006243,0.24109867751780265,0.7778489116517285,global_compact_extra
UZS,1.1336017846339987,0.8796380090497737,4.311917750076214,0.23601220752797558,0.8796380090497737,global_compact_extra
KGS,1.2071929824561403,0.6998847926267281,10.13005300320162,0.19328585961342828,0.6998847926267281,global_compact_extra
AMD,1.2475976357109186,1.1026785714285714,17.499701881651905,0.22177009155645983,1.1026785714285714,global_compact_extra
KZT,1.0472842088950878,0.6657681940700808,9.670119655610934,0.21973550356052898,0.6657681940700808,global_compact_extra
TJS,1.084411138161899,1.006285647770923,2.231262375231972,0.323499491353001,1.006285647770923,local_floor_q35
UZS,0.8226706341826298,0.6442077809171919,-93.41699515967838,0.28789420142421157,0.6442077809171919,local_floor_q35
KGS,1.061378737541528,1.0738840990941831,4.938053140745858,0.306205493387589,1.061378737541528,local_floor_q35
AMD,1.0851048677135633,1.1295731707317074,4.419831884758056,0.22583926754832145,1.0851048677135633,local_floor_q35
KZT,1.1205616798580256,1.1036655211912945,-3.0017271221074333,0.3285859613428281,1.1036655211912945,local_floor_q35
TJS,1.0153344986492931,0.8090402882410743,2.5030763177423982,0.20651068158697863,0.8090402882410743,global_gmm3_hist
UZS,1.0778508771929824,0.6231003039513677,-2.9094141904214554,0.19938962360122076,0.6231003039513677,global_gmm3_hist
KGS,1.2200354609929076,0.7530612244897958,14.908707917182307,0.19125127161749747,0.7530612244897958,global_gmm3_hist
AMD,1.121282860705096,0.5460599334073252,20.964406720209443,0.1515768056968464,0.5460599334073252,global_gmm3_hist
KZT,1.4182657625162316,1.28743961352657,23.364100925229373,0.1770091556459817,1.28743961352657,global_gmm3_hist
TJS,1.0891274338854986,0.988,8.369257963784335,0.22583926754832145,0.988,global_survival_logit
UZS,1.181206440759433,0.4595348837209302,-8.191890425427353,0.22278738555442523,0.4595348837209302,global_survival_logit
KGS,1.1666919191919192,0.4183673469387755,-0.7875620151604714,0.167853509664293,0.4183673469387755,global_survival_logit
AMD,1.145163303515706,0.2018047579983593,16.987637960437198,0.19328585961342828,0.2018047579983593,global_survival_logit
KZT,0.9524774278793218,0.5359477124183006,0.8244520252182227,0.19328585961342828,0.5359477124183006,global_survival_logit
TJS,1.3468916379580333,0.8955773955773957,17.41210146121165,0.20956256358087488,0.8955773955773957,global_hist_window5
UZS,1.143841747225206,0.9969230769230769,-37.945752771976736,0.19938962360122076,0.9969230769230769,global_hist_window5
KGS,1.173400900900901,0.5225806451612903,11.994553232089714,0.18819938962360122,0.5225806451612903,global_hist_window5
AMD,1.2290473501653627,0.7952314165497897,11.199458744449583,0.19938962360122076,0.7952314165497897,global_hist_window5
KZT,1.0392990507040987,0.7176755447941888,4.933412912795121,0.18921668362156663,0.7176755447941888,global_hist_window5
TJS,1.3398455247614722,1.0587875076546236,13.453911637901646,0.21668362156663276,1.0587875076546236,global_extra_window3
UZS,1.1709984838639809,1.0297796307325788,5.385039221582847,0.16480162767039674,1.0297796307325788,global_extra_window3
KGS,1.393869982547993,0.0,17.67566798661548,0.1943031536113937,0.0,global_extra_window3
AMD,1.375160989474619,1.2506329113924053,17.824617960770215,0.18107833163784334,1.2506329113924053,global_extra_window3
KZT,1.1139295676429568,0.5401858939311098,1.4102623177011506,0.14649033570701933,0.5401858939311098,global_extra_window3
TJS,1.2882056451612904,0.9204545454545455,17.35735635369534,0.12207527975584945,0.9204545454545455,local_hist_window3
UZS,1.3550125313283208,1.0077519379844961,-21.710427519526306,0.2136317395727365,1.0077519379844961,local_hist_window3
KGS,1.1482043235704322,1.0705282112845138,9.824287496666484,0.24313326551373346,1.0705282112845138,local_hist_window3
AMD,1.397617084198254,1.1686021505376345,11.083924341540937,0.14140386571719227,1.1686021505376345,local_hist_window3
