rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,simpson_gap,candidate,stage1_rate,stage1_rolling,balanced_robustness
0.3,805,1.5696378830083566,500,0,0.40869565217391307,0.32793522267206476,1.2462694578636608,0.5878093856909118,36.74581272205477,1.1195861141937198,1.2392805274602137,2,2,1.2479108635097493,1.8133704735376044,1.18936713836478,0.9,1.2392805274602137,1.0163841807909604,2.167231638418079,0.006988930403447169,router:equal,0.3,500,1.1195861141937198
0.2,572,1.1153203342618385,120,0,0.38986013986013984,0.32793522267206476,1.1888327721661054,0.5858760969805147,45.442254379626384,1.113490364025696,1.1751061910127212,2,2,0.9066852367688022,1.2966573816155988,1.1359669811320754,0.8800705467372134,1.1751061910127212,0.9096045197740114,1.3525423728813561,0.01372658115338421,online_mix:consensus_geometric,0.2,120,1.113490364025696
0.35,951,1.854317548746518,120,0,0.3711882229232387,0.32793522267206476,1.1318949513832095,0.5887286181764093,26.195087906301247,1.0422740524781342,1.111483748277438,2,2,1.7061281337047354,1.9498607242339834,1.0977777777777777,0.9164904862579282,1.111483748277438,1.8033898305084748,1.957627118644068,0.02041120310577149,diverse:global_floor_q50,0.35,120,1.0422740524781342
0.25,582,1.1348189415041783,120,0,0.37628865979381443,0.32793522267206476,1.147448135420644,0.5316343150379295,57.470665270118836,1.0348198491760543,1.1613603619058113,2,2,1.052924791086351,1.2284122562674096,1.0291666666666666,0.8353552859618717,1.1613603619058113,1.0282485875706215,1.2734463276836159,-0.013912226485167212,diverse:global_gmm3_hist,0.25,120,1.0291666666666666
0.3,775,1.511142061281337,120,0,0.3561290322580645,0.32793522267206476,1.085973715651135,0.516877138182359,23.51276799264083,0.9751579203109815,1.04479972176573,1,2,1.3746518105849583,1.6476323119777159,0.9617577527464887,0.8883116883116883,1.04479972176573,1.328813559322034,1.7361581920903955,0.04117399388540499,recency:local_hist_window3,0.3,120,0.9617577527464887
0.4,1043,2.0337047353760447,120,0,0.3432406519654842,0.32793522267206476,1.0466721115490691,0.5249263721552878,24.418773872901664,0.9771349762276339,1.0449489811083659,1,2,1.9791086350974931,2.135097493036212,0.9548090197883111,0.8940269749518305,1.0449489811083659,1.7915254237288136,2.3333333333333335,0.0017231304407032688,online_sgd:online_sgd_local_w5_eta02_e1,0.4,120,0.9548090197883111
0.4,991,1.9323119777158773,120,0,0.3440968718466196,0.32793522267206476,1.0492830536557411,0.5040647776290347,5.746641514695629,0.9300084285576112,1.0041370706743753,1,2,1.8621169916434541,1.9693593314763231,0.904419191919192,0.8904665314401623,1.0041370706743753,1.6689265536723166,2.2502824858757062,0.04514598298136585,hazard:pooled_hazard_hist_w5,0.4,120,0.904419191919192
0.25,654,1.2752089136490252,120,0,0.3348623853211009,0.32793522267206476,1.0211235700532337,0.4981964896623532,25.199835384882622,0.8566443040306935,0.9606645419594497,1,2,1.1894150417827298,1.3356545961002786,0.8857581967213114,0.8690292758089369,0.9606645419594497,1.0638418079096046,1.5225988700564972,0.060459028093784006,delayed:delayed_global_xgb_w5,0.25,120,0.8566443040306935
0.3,771,1.503342618384401,500,0,0.3527885862516213,0.32793522267206476,1.075787417335191,0.5316469582031831,8.567723169266708,0.850858251905126,1.0179556905358123,1,2,1.3064066852367688,1.5696378830083566,0.9638084089357135,0.881201044386423,1.0179556905358123,1.372316384180791,1.6768361581920903,0.05783172679937865,barrier:barrier_hist_window5,0.3,500,0.850858251905126
0.2,637,1.2420612813370475,120,0,0.3139717425431711,0.32793522267206476,0.9574200050390527,0.46914918934999256,25.263007068255003,0.8886221823121732,0.9538275662097199,1,2,1.1894150417827298,1.3064066852367688,0.8389686583294735,0.9034810126582279,0.9538275662097199,1.0480225988700564,1.4711864406779662,0.0035924388293328002,external:b5_d10__global_combined_extra,0.2,120,0.8389686583294735
