policy,breakdown,group,n_scope,n_signals,base_rate,hit_rate,lift,frequency,forward_benefit_bps,symmetric_benefit_bps
anchor_multiscale_locked,year,2024,1240,343,0.3379032258064516,0.4227405247813411,1.2510698108087421,1.356497175141243,37.98733021963308,-22.973440015422877
anchor_multiscale_locked,year,2025,1235,71,0.22186234817813766,0.11267605633802817,0.5078647064870978,0.27999999999999997,-60.3296811484705,-71.97062183192328
anchor_multiscale_locked,year,2026,785,286,0.3401273885350318,0.3986013986013986,1.1719179696707787,1.7795555555555556,54.99195505360394,-20.412018073302566
anchor_multiscale_locked,currency,AMD,652,140,0.29754601226993865,0.42857142857142855,1.4403534609720177,1.0218978102189782,46.06228873715619,-20.696476578566486
anchor_multiscale_locked,currency,KGS,652,148,0.2929447852760736,0.39864864864864863,1.3608320362247064,1.0802919708029197,41.56644474657828,-20.13977401325195
anchor_multiscale_locked,currency,KZT,652,174,0.2668711656441718,0.28735632183908044,1.0767604703395428,1.27007299270073,24.23010114703248,-26.43925527011342
anchor_multiscale_locked,currency,TJS,652,108,0.3205521472392638,0.42592592592592593,1.3287258550416445,0.7883211678832117,38.55402002384276,-33.68657825366002
anchor_multiscale_locked,currency,UZS,652,130,0.294478527607362,0.4,1.3583333333333334,0.948905109489051,26.87323108668727,-36.23743923819632
anchor_trend_posthoc,year,2024,1240,480,0.3379032258064516,0.41458333333333336,1.2269291964996023,1.8983050847457628,37.582883577773735,-0.3386764482779493
anchor_trend_posthoc,year,2025,1235,111,0.22186234817813766,0.3153153153153153,1.4212204905635561,0.4377464788732394,29.780092283869504,-12.356005444639015
anchor_trend_posthoc,year,2026,785,112,0.3401273885350318,0.5089285714285714,1.4962881219903692,0.6968888888888888,107.18881929049085,0.5343152782857042
anchor_trend_posthoc,currency,AMD,652,136,0.29754601226993865,0.4411764705882353,1.4827167980594298,0.9927007299270073,58.45664942038081,-3.194740181002576
anchor_trend_posthoc,currency,KGS,652,163,0.2929447852760736,0.44171779141104295,1.5078534031413613,1.1897810218978102,43.908548034551586,-7.375598513949008
anchor_trend_posthoc,currency,KZT,652,165,0.2668711656441718,0.3333333333333333,1.2490421455938696,1.2043795620437956,41.64900129060802,6.929018782909949
anchor_trend_posthoc,currency,TJS,652,133,0.3205521472392638,0.44360902255639095,1.3838903478792675,0.9708029197080292,52.23687421362594,-0.9756838306042486
anchor_trend_posthoc,currency,UZS,652,106,0.294478527607362,0.42452830188679247,1.441627358490566,0.7737226277372263,41.73334893593973,-8.028801091321567
global_extra,year,2024,1240,440,0.3379032258064516,0.39545454545454545,1.170318941201996,1.7401129943502827,42.743567560839224,10.552986292261984
global_extra,year,2025,1235,187,0.22186234817813766,0.23529411764705882,1.060541004723057,0.7374647887323943,-32.50466612184961,4.572069882059498
global_extra,year,2026,785,50,0.3401273885350318,0.64,1.8816479400749064,0.31111111111111106,115.56631147923873,1.659596091501478
global_extra,currency,AMD,652,129,0.29754601226993865,0.35658914728682173,1.1984336290258133,0.9416058394160584,31.57878856630923,4.879340459592212
global_extra,currency,KGS,652,123,0.2929447852760736,0.3983739837398374,1.3598944366407015,0.8978102189781022,30.32400762330317,10.493109209287383
global_extra,currency,KZT,652,152,0.2668711656441718,0.34210526315789475,1.281911675741077,1.1094890510948905,31.844282678296814,8.114378232993111
global_extra,currency,TJS,652,141,0.3205521472392638,0.3900709219858156,1.2168719671519224,1.0291970802919708,23.50562288747888,9.865173060646322
global_extra,currency,UZS,652,132,0.294478527607362,0.36363636363636365,1.2348484848484849,0.9635036496350365,19.310396052950747,7.854610576663979
router_equal_original,year,2024,1240,611,0.3379032258064516,0.41407528641571195,1.2254256686288374,2.4163841807909607,38.538606795019774,8.067804759752187
router_equal_original,year,2025,1235,184,0.22186234817813766,0.1956521739130435,0.8818629006664551,0.7256338028169014,-16.397611213189563,-26.552357596580617
router_equal_original,year,2026,785,264,0.3401273885350318,0.4734848484848485,1.3920809215753038,1.6426666666666665,75.66219570662575,-5.709164924019398
router_equal_original,currency,AMD,652,222,0.29754601226993865,0.4009009009009009,1.3473576669452958,1.6204379562043796,44.1691182047416,0.5665774542949396
router_equal_original,currency,KGS,652,198,0.2929447852760736,0.41414141414141414,1.413718335184304,1.4452554744525548,41.87721088862791,6.514519237022569
router_equal_original,currency,KZT,652,219,0.2668711656441718,0.3105022831050228,1.1634913137038785,1.5985401459854014,28.27251600973184,-6.873583124924694
router_equal_original,currency,TJS,652,185,0.3205521472392638,0.41621621621621624,1.298435277382646,1.3503649635036497,37.32718277670704,-1.6548516636438817
router_equal_original,currency,UZS,652,235,0.294478527607362,0.41702127659574467,1.4161347517730496,1.7153284671532847,39.61832399087817,-4.543052643211435
router_equal_balanced,year,2024,1240,673,0.3379032258064516,0.4115898959881129,1.2180703365757997,2.661581920903955,37.52525926717935,8.221657241047941
router_equal_balanced,year,2025,1235,173,0.22186234817813766,0.2254335260115607,1.0160963672418886,0.6822535211267606,-15.685921853473948,-28.009691312629823
