rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,simpson_gap,candidate,rate,rolling,balanced_robustness,family
0.2,1126,1.0864231564438318,120,0,0.3312611012433392,0.2457782299084435,1.34780489454554,0.56370554544204,25.115485438820667,1.2382602294649203,1.3480970900666291,4,4,1.0275671950379048,1.1964162646450724,1.2395254198429528,0.8777876895628903,1.3534154885948737,0.7863013698630137,1.273446327683616,-0.0056105940493333,online_mix:consensus_disagreement_1.0,0.2,120,1.2382602294649203,online_mix
0.2,1072,1.0343211578221916,120,0,0.3218283582089552,0.2457782299084435,1.309425811752496,0.5481184246021041,2.8762093297968883,1.295329604089309,1.339432301730538,4,4,0.9407305306685044,1.1144038594073054,1.2381466486729644,0.851921274601687,1.3451419584810027,0.8054794520547944,1.4473239436619718,-0.0357161467285067,ranker:local_pairwise_quarter_w5,0.2,120,1.2381466486729644,ranker
0.2,1154,1.1134390075809788,120,0,0.3379549393414211,0.2457782299084435,1.3750401712442757,0.5735379369976615,26.138995429798,1.242486373592787,1.3460257885920288,4,4,1.0661612680909718,1.230186078566506,1.198686177326725,0.8894691035683203,1.3819161559439306,0.8323287671232876,1.309039548022599,-0.0068759846996551,online_mix:consensus_geometric,0.2,120,1.198686177326725,online_mix
0.25,1280,1.2350103376981392,120,0,0.31875,0.2457782299084435,1.296900869205298,0.5596353640954914,15.647664313986503,1.1976023976023975,1.3477027337869294,4,4,1.1867677463818056,1.2784286698828395,1.1976120857699806,0.8737254901960785,1.3222623940446492,0.886027397260274,1.5463276836158193,-0.0253615248393512,ranker:global_ndcg_quarter_w5,0.25,120,1.1976023976023975,ranker
0.25,1349,1.3015851137146797,120,0,0.3150481838398813,0.2457782299084435,1.281839257924683,0.566816940207983,13.070044645592873,1.1908854603387558,1.248868434475821,4,4,1.2398345968297726,1.374913852515507,1.1931928529811615,0.9032738095238096,1.288227010894028,1.0241095890410958,1.447457627118644,-0.006387752969345,online_mix:consensus_median,0.25,120,1.1908854603387558,online_mix
0.2,1083,1.044934527911785,120,0,0.3176361957525392,0.2457782299084435,1.2923691242746114,0.5515015890824053,14.91888914992002,1.2445527835276171,1.3070129232267242,4,4,0.9696760854583046,1.0854583046175053,1.1886765210172,0.8320964749536178,1.3025440657792902,0.9807909604519774,1.1870422535211267,-0.0101749415046787,hazard:pooled_hazard_local_hist_w5,0.2,120,1.1886765210172,hazard
0.25,1357,1.3093039283252927,120,0,0.3220338983050847,0.2457782299084435,1.3102620945111685,0.5747535314431084,12.937086316285646,1.1866138059701492,1.274169216068455,4,4,1.244658855961406,1.3507925568573398,1.1926086077366973,0.8646449704142012,1.331949047799865,1.1276712328767122,1.5819209039548023,-0.0216869532886965,recency:global_hist_window5,0.25,120,1.1866138059701492,recency
0.25,1218,1.1751895244658856,250,0,0.3234811165845648,0.2457782299084435,1.3161504039843843,0.5685807636170696,17.138167246486788,1.1862426035502958,1.2872021909062918,4,4,1.0854583046175053,1.230186078566506,1.2192083692838651,0.8466611706512778,1.3546961354513802,0.9610169491525424,1.455367231638418,-0.0385457314669959,delayed:delayed_global_hist_w5,0.25,250,1.1862426035502958,delayed
0.2,1143,1.1028256374913852,120,0,0.3254593175853018,0.2457782299084435,1.3241991274269524,0.5691592512465231,24.08727048906863,1.2347212420606917,1.2911391100983458,4,4,1.0468642315644383,1.2205375603032391,1.1758373205741626,0.8866432337434095,1.326207492268808,0.8361643835616438,1.265536723163842,-0.0020083648418556,online_mix:consensus_disagreement_0.5,0.2,120,1.1758373205741626,online_mix
0.4,1583,1.5273604410751207,250,0,0.2981680353758686,0.2457782299084435,1.2131588525433727,0.5658942183840487,15.599760677396182,1.1758251404494384,1.2187677057245172,4,4,1.4713990351481738,1.5630599586492075,1.1870003331112593,0.9043092522179976,1.2344026565371369,1.0471232876712329,1.8903954802259888,-0.0212438039937639,online_mix:hedge_hierarchical_eta10_rho0p99,0.4,250,1.1758251404494384,online_mix
0.35,1339,1.2919365954514128,250,0,0.3054518297236744,0.2457782299084435,1.2427944893144534,0.5657211522142643,16.98350891322494,1.1719642528100238,1.2436062789876683,4,4,1.2205375603032391,1.3459682977257064,1.2269606823382568,0.8823088455772113,1.2647575072050992,0.8284931506849316,1.6016949152542377,-0.0219630178906458,online_mix:hedge_local_eta10_rho0p99,0.35,250,1.1719642528100238,online_mix
0.3,1218,1.1751895244658856,250,0,0.312807881773399,0.2457782299084435,1.2727241216194174,0.5700286016968077,20.7428676905188,1.1718017057569297,1.2338695948246512,4,4,1.109579600275672,1.2253618194348723,1.25593058733791,0.8730420445177246,1.2905063912374313,0.7594520547945205,1.384180790960452,-0.0177822696180138,online_mix:hedge_local_eta10_rho1,0.3,250,1.1718017057569297,online_mix
0.35,1442,1.3913163335630598,250,0,0.3009708737864077,0.2457782299084435,1.2245627853147305,0.5657247251932536,13.809028983276304,1.1763343703030515,1.2118368582968926,4,4,1.3604410751206066,1.4183321847002068,1.1717403264258206,0.8942240779401531,1.24141578930378,0.8630136986301369,1.6887005649717517,-0.0168530039890497,online_mix:hedge_local_eta5_rho0p97,0.35,250,1.1717403264258206,online_mix
0.4,1592,1.5360441075120606,250,0,0.2977386934673366,0.2457782299084435,1.2114119854238077,0.5658053405316951,17.58643979635484,1.1696985531859303,1.207034707046746,4,4,1.4810475534114405,1.596829772570641,1.179667409566261,0.9086326402016384,1.2262105954697542,1.215890410958904,1.8073446327683615,-0.0147986100459465,online_mix:hedge_hierarchical_eta20_rho1,0.4,250,1.1696985531859303,online_mix
0.4,1443,1.3922811853893868,250,0,0.2993762993762994,0.2457782299084435,1.2180749266841984,0.5569593144882511,14.91163180119639,1.2085494701333417,1.227367236172702,4,4,1.2977257064093728,1.4376292212267403,1.169097839170058,0.8894297635605007,1.246295053207156,0.9052054794520548,1.8548022598870055,-0.0282201265229575,online_mix:hedge_hierarchical_eta20_rho0p99,0.4,250,1.169097839170058,online_mix
0.4,1666,1.6074431426602342,500,0,0.2953181272509003,0.2457782299084435,1.2015634068196814,0.5655860489462391,17.752607718830063,1.1718772295311206,1.237454774375863,4,4,1.5678842177808407,1.7077877325982085,1.168033978434818,0.905478627332932,1.2300821552638648,1.0471232876712329,2.068361581920904,-0.0285187484441833,online_mix:hedge_local_eta20_rho1,0.4,500,1.168033978434818,online_mix
0.4,1425,1.374913852515507,250,0,0.2982456140350877,0.2457782299084435,1.2134744975020333,0.5564861180833827,14.775695289726968,1.1671446262139085,1.2281527004482322,4,4,1.2784286698828395,1.4279807029634737,1.171400198609732,0.8838028169014085,1.243293923156378,0.932054794520548,1.8112994350282483,-0.0298194256543447,online_mix:hedge_local_eta20_rho0p99,0.4,250,1.1671446262139085,online_mix
0.35,1454,1.4028945554789802,250,0,0.3019257221458046,0.2457782299084435,1.2284477850551572,0.570203007733713,17.508609484302617,1.1630241648898365,1.215887137346973,4,4,1.3652653342522398,1.4183321847002068,1.191744163697385,0.8944099378881988,1.243973819966074,0.9205479452054794,1.6610169491525424,-0.0155260349109169,online_mix:hedge_local_eta5_rho0p99,0.35,250,1.1630241648898365,online_mix
0.4,1563,1.5080634045485874,250,0,0.2949456174024312,0.2457782299084435,1.2000477727921768,0.5580459467233103,12.329249725573517,1.1682692307692308,1.199867766941347,4,4,1.476223294279807,1.5389386629910409,1.1618392572339942,0.9017971758664955,1.219422651677967,0.9205479452054794,1.965536723163842,-0.0193748788857901,online_mix:hedge_local_eta10_rho0p97,0.4,250,1.1618392572339942,online_mix
0.3,1288,1.2427291523087527,250,0,0.3066770186335403,0.2457782299084435,1.247779425980009,0.5718112949011803,16.95500095178309,1.1584171683021358,1.20870760306232,4,4,1.206064782908339,1.2639558924879395,1.1773771120125205,0.8854247856586126,1.2585239405094977,0.7824657534246574,1.4512676056338027,-0.0107445145294884,online_mix:hedge_local_eta5_rho1,0.3,250,1.1584171683021358,online_mix
0.2,1099,1.0603721571330118,120,0,0.3275705186533212,0.2457782299084435,1.332788989388306,0.5703825499279152,22.140192597153504,1.2625230014312,1.28564886815348,4,4,1.0227429359062716,1.138525155065472,1.1576916829109811,0.8775137111517367,1.3409277816722378,0.770958904109589,1.2180790960451977,-0.0081387922839317,online_mix:hedge_global_eta10_rho1,0.2,120,1.1576916829109811,online_mix
