rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,candidate,stage1_rate,stage1_rolling,stage1_cooldown,robustness
0.25,767,1.4955431754874653,120,0,0.34028683181225555,0.32793522267206476,1.0376647834274955,0.5172095790569686,15.35026793140417,0.9359605911330049,1.0206212663016916,1,2,1.4818941504178273,1.511142061281337,0.9854002206943384,0.9278215223097113,cross_extra_w3,0.25,120,0,0.9359605911330049
0.4,1016,1.981058495821727,500,0,0.3051181102362205,0.32793522267206476,0.9304218917079811,0.4760545887252714,-11.684742418205518,0.8364186382517609,0.8988215717721665,0,2,1.501392757660167,2.447075208913649,0.7338086749851456,0.913946587537092,cross_local_hist_w5,0.4,500,0,0.7338086749851456
0.25,692,1.3493036211699165,120,0,0.2861271676300578,0.32793522267206476,0.8725112395632627,0.45478097575487136,-22.544975682977682,0.6499247455557778,0.7965188341694939,0,2,1.3356545961002786,1.3649025069637883,0.8240376390076989,0.8719068413391557,cross_hist_w5,0.25,120,0,0.6499247455557778
0.2,617,1.2030640668523678,120,0,0.2544570502431118,0.32793522267206476,0.7759369309882547,0.45422616391491893,-16.304441888355438,0.6147336983573918,0.7172348487400412,0,2,1.1894150417827298,1.2186629526462396,0.7279471544715447,0.9248366013071896,cross_extra_w5,0.2,120,0,0.6147336983573918
0.2,629,1.2264623955431755,120,0,0.3179650238473768,0.32793522267206476,0.9695970480284206,0.47072512271307454,-18.690741067463815,0.5817535997555603,0.8297017463445895,1,2,1.1991643454038998,1.2479108635097493,0.8781811377245509,0.8782051282051282,cross_xgb_w5,0.2,120,0,0.5817535997555603
