rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,candidate,stage1_rate,stage1_rolling,stage1_cooldown,robustness
0.2,309,1.2185915492957746,120,0,0.3042071197411003,0.22186234817813766,1.371152528760069,0.5323814912993613,8.54508754926057,1.371152528760069,1.371152528760069,1,1,0.9267605633802817,1.5380281690140845,1.1400000000000001,0.9506578947368421,0.25*reset_xgb+0.75*multiscale_anchor,0.2,120,0,1.1400000000000001
0.4,195,0.7690140845070422,500,0,0.28205128205128205,0.22186234817813766,1.2712895377128954,0.5329321646399356,7.684051409621216,1.2712895377128954,1.2712895377128954,1,1,0.2563380281690141,1.380281690140845,0.8981818181818182,0.8578947368421053,0.50*reset_xgb+0.50*multiscale_anchor,0.4,500,0,0.8981818181818182
0.25,267,1.052957746478873,120,0,0.26591760299625467,0.22186234817813766,1.1985702178845785,0.528165991933585,1.5841761639773786,1.1985702178845785,1.1985702178845785,1,1,0.8873239436619718,1.2028169014084507,0.8843537414965985,0.9389312977099237,consensus_half_reset_anchor_quarters,0.25,120,0,0.8843537414965985
0.25,120,0.4732394366197183,0,0,0.325,0.22186234817813766,1.4648722627737227,0.5283254973149927,13.91866853520665,1.4648722627737227,1.4648722627737227,1,1,0.31549295774647884,0.9070422535211268,0.8766637089618455,0.808695652173913,reset_half_online_anchor_quarters,0.25,0,0,0.8766637089618455
0.2,74,0.29183098591549295,0,0,0.40540540540540543,0.22186234817813766,1.8272834878674296,0.5302452585126504,32.58331926989208,1.8272834878674296,1.8272834878674296,1,1,0.15774647887323942,0.6507042253521127,0.8401360544217686,0.855072463768116,reset_half_consensus_anchor_quarters,0.2,0,0,0.8401360544217686
0.25,197,0.7769014084507042,250,0,0.25380710659898476,0.22186234817813766,1.1439845863129423,0.5139927994713536,-9.515640991456765,1.1439845863129423,1.1439845863129423,1,1,0.49295774647887325,0.9859154929577465,0.806530612244898,0.84375,0.25*reset_xgb+0.75*online_hedge,0.25,250,0,0.806530612244898
0.2,269,1.0608450704225352,120,0,0.26394052044609667,0.22186234817813766,1.1896589151493773,0.5286445080778083,-5.928194717734034,1.1896589151493773,1.1896589151493773,1,1,1.0253521126760563,1.143661971830986,0.766551724137931,0.9204545454545454,0.75*reset_xgb+0.25*consensus_geometric,0.2,120,0,0.766551724137931
0.2,202,0.7966197183098591,250,0,0.2722772277227723,0.22186234817813766,1.2272349497723496,0.5319124695230789,4.195085054118046,1.2272349497723496,1.2272349497723496,1,1,0.5915492957746479,1.0056338028169014,0.7517391304347827,0.8527918781725888,0.75*reset_xgb+0.25*multiscale_anchor,0.2,250,0,0.7517391304347827
0.2,272,1.0726760563380282,120,0,0.2536764705882353,0.22186234817813766,1.143395770717046,0.5269374207220278,-9.628713647717362,1.143395770717046,1.143395770717046,1,1,0.9661971830985915,1.3014084507042254,0.7484848484848485,0.9176029962546817,0.75*reset_xgb+0.25*online_hedge,0.2,120,0,0.7484848484848485
0.2,272,1.0726760563380282,120,0,0.24632352941176472,0.22186234817813766,1.1102538643194504,0.5255987148423555,-5.480234741826803,1.1102538643194504,1.1102538643194504,1,1,0.7690140845070422,1.380281690140845,0.7456603773584906,0.9250936329588015,0.50*consensus_geometric+0.50*multiscale_anchor,0.2,120,0,0.7456603773584906
0.3,298,1.1752112676056339,250,0,0.2483221476510067,0.22186234817813766,1.1192622348503405,0.5213490357519919,-6.8838944712167205,1.1192622348503405,1.1192622348503405,1,1,1.0253521126760563,1.2619718309859154,0.6946875,0.9146757679180887,0.50*reset_xgb+0.50*online_hedge,0.3,250,0,0.6946875
0.2,123,0.48507042253521127,0,0,0.2682926829268293,0.22186234817813766,1.2092754139220225,0.5254581981968297,0.6245499763348409,1.2092754139220225,1.2092754139220225,1,1,0.29577464788732394,0.571830985915493,0.672108843537415,0.8813559322033898,0.50*reset_xgb+0.50*consensus_geometric,0.2,0,0,0.672108843537415
0.25,154,0.6073239436619718,500,0,0.24025974025974026,0.22186234817813766,1.082922551900654,0.5218902147246254,-9.508903913755589,1.082922551900654,1.082922551900654,1,1,0.4535211267605634,0.6901408450704225,0.6574977817213842,0.8791946308724832,0.25*reset_xgb+0.75*consensus_geometric,0.25,500,0,0.6574977817213842
0.2,110,0.43380281690140843,250,0,0.2909090909090909,0.22186234817813766,1.3112143331121433,0.5310294933045717,5.288375840351079,1.3112143331121433,1.3112143331121433,1,1,0.15774647887323942,0.7098591549295774,0.6175,0.8380952380952381,equal_reset_consensus_anchor,0.2,250,0,0.6175
0.25,130,0.5126760563380282,500,0,0.23846153846153847,0.22186234817813766,1.0748175182481752,0.5219946527719757,-4.043839012362516,1.0748175182481752,1.0748175182481752,1,1,0.3352112676056338,0.8873239436619718,0.4582560296846011,0.872,online_half_reset_anchor_quarters,0.25,500,0,0.4582560296846011
0.25,75,0.29577464788732394,0,0,0.32,0.22186234817813766,1.4423357664233576,0.526413331611688,12.399650337559873,1.4423357664233576,1.4423357664233576,1,1,0.059154929577464786,0.847887323943662,0.0,0.8571428571428571,equal_three,0.25,0,0,0.0
0.25,80,0.31549295774647884,500,0,0.2125,0.22186234817813766,0.9578010948905109,0.5207774748019476,-21.191239883395266,0.9578010948905109,0.9578010948905109,0,1,0.019718309859154928,0.7098591549295774,0.0,0.8666666666666667,0.50*online_hedge+0.50*multiscale_anchor,0.25,500,0,0.0
0.2,69,0.27211267605633804,250,0,0.2028985507246377,0.22186234817813766,0.9145244895800275,0.5146118322611027,-38.3967781160255,0.9145244895800275,0.9145244895800275,0,1,0.059154929577464786,0.43380281690140843,0.0,0.75,0.75*online_hedge+0.25*multiscale_anchor,0.2,250,0,0.0
0.2,67,0.26422535211267606,500,0,0.19402985074626866,0.22186234817813766,0.8745506046410284,0.5217762823093341,-21.03474123131335,0.8745506046410284,0.8745506046410284,0,1,0.019718309859154928,0.571830985915493,0.0,0.8387096774193549,0.25*online_hedge+0.75*multiscale_anchor,0.2,500,0,0.0
0.2,83,0.3273239436619719,250,0,0.18072289156626506,0.22186234817813766,0.8145721572421071,0.5232061341212393,-28.47787534818189,0.8145721572421071,0.8145721572421071,0,1,0.13802816901408452,0.571830985915493,0.0,0.782051282051282,0.75*consensus_geometric+0.25*multiscale_anchor,0.2,250,0,0.0
0.2,66,0.26028169014084507,500,0,0.16666666666666666,0.22186234817813766,0.7512165450121654,0.5229004154735412,-23.30102503473704,0.7512165450121654,0.7512165450121654,0,1,0.019718309859154928,0.571830985915493,0.0,0.8524590163934426,0.25*consensus_geometric+0.75*multiscale_anchor,0.2,500,0,0.0
