rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,rate,roll,period
0.2,380,1.5028248587570623,0,0,0.41578947368421054,0.3379032258064516,1.2304986810702174,0.5564681874075216,30.531661069518,1.2304986810702174,1.2304986810702174,1,1,1.384180790960452,1.7796610169491527,1.1742424242424243,0.888,0.2,0,2024
0.2,182,0.7177464788732394,0,0,0.2857142857142857,0.22186234817813766,1.2877997914494264,0.5293831699036131,2.3403528185537184,1.2877997914494264,1.2877997914494264,1,1,0.571830985915493,0.7887323943661971,1.0081632653061225,0.864406779661017,0.2,0,2025
0.2,121,0.7528888888888888,0,0,0.5041322314049587,0.3401273885350318,1.4821865230445415,0.584949315286394,93.85819266728947,1.4821865230445415,1.4821865230445415,1,1,0.591111111111111,0.8711111111111111,1.3457142857142856,0.9137931034482759,0.2,0,2026
0.2,683,0.9970802919708028,0,0,0.3967789165446559,0.294478527607362,1.3473950707662272,0.5295047554347826,34.23838467369787,1.2304986810702174,1.2877997914494264,3,3,0.9416058394160584,1.0583941605839415,1.263565891472868,0.8731563421828908,0.2,0,all
0.2,257,1.0163841807909604,120,0,0.4357976653696498,0.3379032258064516,1.2897114679197275,0.5564681874075216,42.982790748014914,1.2897114679197275,1.2897114679197275,1,1,0.9293785310734464,1.1271186440677967,1.1951807228915663,0.8809523809523809,0.2,120,2024
0.2,296,1.1673239436619718,120,0,0.2635135135135135,0.22186234817813766,1.187734267113829,0.5293831699036131,-8.083018054102634,1.187734267113829,1.187734267113829,1,1,1.123943661971831,1.2422535211267605,0.9241496598639455,0.9278350515463918,0.2,120,2025
0.2,180,1.1199999999999999,120,0,0.4888888888888889,0.3401273885350318,1.437369954223887,0.584949315286394,85.20924024250232,1.437369954223887,1.437369954223887,1,1,0.9644444444444443,1.2133333333333332,1.3160749506903353,0.92,0.2,120,2026
0.2,733,1.07007299270073,120,0,0.3792633015006821,0.294478527607362,1.2879149613460663,0.5295047554347826,32.730787342259035,1.187734267113829,1.2897114679197275,3,3,1.0583941605839415,1.0875912408759123,1.1943965517241377,0.896978021978022,0.2,120,all
0.2,281,1.1112994350282488,250,0,0.4377224199288256,0.3379032258064516,1.295407638930176,0.5564681874075216,47.728677701976956,1.295407638930176,1.295407638930176,1,1,1.0677966101694916,1.1864406779661016,1.1951807228915663,0.8586956521739131,0.2,250,2024
0.2,263,1.0371830985915493,250,0,0.28517110266159695,0.22186234817813766,1.2853515028725264,0.5293831699036131,-2.3698457002576743,1.2853515028725264,1.2853515028725264,1,1,0.8873239436619718,1.143661971830986,0.8517241379310345,0.8992248062015504,0.2,250,2025
0.2,124,0.7715555555555556,250,0,0.4838709677419355,0.3401273885350318,1.4226168901776006,0.584949315286394,92.33197618253772,1.4226168901776006,1.4226168901776006,1,1,0.6844444444444444,0.9022222222222221,1.2845454545454547,0.9159663865546218,0.2,250,2026
0.2,668,0.9751824817518248,250,0,0.38622754491017963,0.294478527607362,1.311564371257485,0.5295047554347826,36.283913266051556,1.2853515028725264,1.295407638930176,3,3,0.9343065693430657,1.0,1.2091224747474747,0.8717948717948718,0.2,250,all
0.2,344,1.3604519774011299,500,0,0.42441860465116277,0.3379032258064516,1.2560359660320808,0.5564681874075216,39.62744157375638,1.2560359660320808,1.2560359660320808,1,1,1.2853107344632768,1.4039548022598871,1.1844532279314888,0.8761061946902655,0.2,500,2024
0.2,199,0.7847887323943661,500,0,0.2864321608040201,0.22186234817813766,1.29103546931739,0.5293831699036131,1.775320657550288,1.29103546931739,1.29103546931739,1,1,0.7098591549295774,0.8676056338028169,0.9165120593692022,0.8711340206185567,0.2,500,2025
