year,n,available,coverage
2017,1235,1235,1.0
2018,1235,1235,1.0
2019,1230,1230,1.0
2020,1215,1215,1.0
2021,1240,1240,1.0
2022,1235,1235,1.0
2023,1235,1235,1.0
2024,1240,1240,1.0
2025,1235,1235,1.0
2026,785,785,1.0
