period,h,model,n,positive_rate,brier,logloss,ece,auc,average_precision,mean_abs_change_temperature
screen_2024,1,synthetic,2600,0.5269230769230769,0.24755552128126768,0.6882046761860285,0.02506701669069899,0.5782995074476293,0.6053878795208019,7.8025793100692775
screen_2024,1,held,2600,0.5269230769230769,0.25340370063382966,0.7010361669137384,0.10727164406167333,0.5153403358851107,0.5450608614351513,7.8025793100692775
opened_2025,1,synthetic,2550,0.4549019607843137,0.2665676851117924,0.72691716750971,0.13129769987448253,0.4865492433639296,0.4334429176989499,8.952291188424423
opened_2025,1,held,2550,0.4549019607843137,0.23705892589568076,0.6666526007438366,0.06428714506428419,0.6390473827834284,0.5910086449822398,8.952291188424423
opened_2026,1,synthetic,1650,0.5818181818181818,0.24542321177708262,0.6840631207747649,0.03142445819166591,0.4591387379227053,0.5514559628541864,9.63902929549171
opened_2026,1,held,1650,0.5818181818181818,0.25797718423995525,0.7103410050586243,0.14629619023985393,0.5259661835748792,0.5847777705563657,9.63902929549171
open_all,1,synthetic,6800,0.513235294117647,0.2541676840880225,0.7017169241929113,0.05884780371801923,0.5031007020490136,0.4987040143313325,8.679330452091726
open_all,1,held,6800,0.513235294117647,0.24838415245262782,0.6904001212087109,0.045237020956719574,0.5624875561595929,0.553314006433812,8.679330452091726
screen_2024,3,synthetic,2600,0.3730769230769231,0.23173706652438775,0.6559014962644126,0.008378612396315804,0.5781563468471317,0.44030776855136,9.13791685920052
screen_2024,3,held,2600,0.3730769230769231,0.2602050820358839,0.7151305851930824,0.09968676093203284,0.47049522484346346,0.33659133943463027,9.13791685920052
opened_2025,3,synthetic,2550,0.2901960784313726,0.21393526747891561,0.619619206712991,0.09158463812278655,0.5207499626698522,0.29383494556908135,6.7217577939093145
opened_2025,3,held,2550,0.2901960784313726,0.2034692236044541,0.5961716325790355,0.08664897711808751,0.6118411228908467,0.42250524082437085,6.7217577939093145
opened_2026,3,synthetic,1600,0.43125,0.25116585972361066,0.6963191893766661,0.07492692256345795,0.48243749004618575,0.41943062790594254,5.8631632907656295
opened_2026,3,held,1600,0.43125,0.25216331491627775,0.6990660961964958,0.10339238253011136,0.5762064022933587,0.4746931422253547,5.8631632907656295
open_all,3,synthetic,6750,0.35555555555555557,0.22961728601369186,0.6517753437641874,0.016321674604893158,0.5109193486590038,0.3512748114009635,7.437247887963734
