period,h,model,n,positive_rate,brier,logloss,ece,auc,average_precision,mean_abs_change_temperature
open_all,3,held,6750,0.35555555555555557,0.23686533886677047,0.6663826575545108,0.052347346264716946,0.5479885057471264,0.3663864036111302,7.437247887963734
screen_2024,5,synthetic,2600,0.35384615384615387,0.22949373069649395,0.6516900942836047,0.05043322152591977,0.5668216226708075,0.401935942644975,9.484004813023219
screen_2024,5,held,2600,0.35384615384615387,0.2599851069396098,0.7155474303427459,0.12600372926514763,0.40819099378881984,0.30289053612402705,9.484004813023219
opened_2025,5,synthetic,2550,0.1803921568627451,0.16636421175335053,0.5189120315039597,0.1348208384958105,0.5146380278760141,0.19429239702713136,4.189300711755663
opened_2025,5,held,2550,0.1803921568627451,0.15969389952477264,0.5026187733559386,0.1341567603164587,0.6194091949240691,0.30392507502654675,4.189300711755663
opened_2026,5,synthetic,1600,0.34375,0.2307253617720538,0.6557797683046789,0.05327108883411416,0.4499800865800866,0.30651066161062285,4.452936611321496
opened_2026,5,held,1600,0.34375,0.23286596442626795,0.6622707122064377,0.08590610333187289,0.5047619047619047,0.35554109585445837,4.452936611321496
open_all,5,synthetic,6750,0.2859259259259259,0.20593674349884653,0.6024988970014749,0.028791143982500437,0.4815133403564595,0.265868988469379,6.277716873164378
open_all,5,held,6750,0.2859259259259259,0.21566907628343474,0.6224791600709754,0.05403149764311688,0.5189194418764647,0.2922689221174186,6.277716873164378
screen_2024,10,synthetic,2600,0.26153846153846155,0.19287465406612653,0.5739048175134135,0.029498263935729047,0.565390625,0.302452317905204,6.352014761130414
screen_2024,10,held,2600,0.26153846153846155,0.20477024315873812,0.6016263125369243,0.07895587581567569,0.3939950980392157,0.21528846211544153,6.352014761130414
opened_2025,10,synthetic,2550,0.10588235294117647,0.1136707500564354,0.3985208535748721,0.13290900986644513,0.4509673489278753,0.10007408331592199,2.3153853994608404
opened_2025,10,held,2550,0.10588235294117647,0.11246049352368546,0.39437666267155363,0.13371799567090456,0.5334632878492527,0.18157521722144765,2.3153853994608404
opened_2026,10,synthetic,1550,0.25806451612903225,0.19516757262862103,0.5818068983367803,0.038440261829893956,0.438608695652174,0.22431249167745732,2.740812386575801
opened_2026,10,held,1550,0.25806451612903225,0.19700836350143464,0.5878087033638498,0.056243133793880434,0.4786956521739131,0.24614262100088624,2.740812386575801
open_all,10,synthetic,6700,0.20149253731343283,0.1632603359388361,0.5089822976974341,0.035187019490167906,0.46710204222914503,0.17949967261586564,3.9620311155021013
open_all,10,held,6700,0.20149253731343283,0.1678417692724389,0.5195511033764824,0.05624041048787845,0.4876289373485635,0.19392138701235587,3.9620311155021013
screen_2024,20,synthetic,2600,0.17307692307692307,0.1427784861790047,0.4597443280207617,0.009177409966962844,0.5438356589147286,0.20888289324498957,5.0037937344843835
screen_2024,20,held,2600,0.17307692307692307,0.15491103374589055,0.49286971664420665,0.09900756240380765,0.3994832041343669,0.15453204727247855,5.0037937344843835
opened_2025,20,synthetic,2550,0.07450980392156863,0.08060224847187931,0.31184165774026734,0.10317133319779051,0.4431433987511151,0.060738958761571885,1.4815999503702284
opened_2025,20,held,2550,0.07450980392156863,0.08254803859013018,0.31710255616699984,0.10556618856230582,0.43086529884032115,0.0632095143806724,1.4815999503702284
opened_2026,20,synthetic,1450,0.20689655172413793,0.16855456634675783,0.5261418611536036,0.049248870315382554,0.4010666666666666,0.16138157745685308,1.665363500117543
opened_2026,20,held,1450,0.20689655172413793,0.1687795982270525,0.527770776349803,0.06212195634112089,0.48782608695652174,0.21458614635104176,1.665363500117543
open_all,20,synthetic,6600,0.14242424242424243,0.1244187755865914,0.41718745132793755,0.03265716721381281,0.46425372152469746,0.1329989157124894,2.8729107879849156
open_all,20,held,6600,0.14242424242424243,0.12999948538990505,0.43262733442545465,0.05243901847859171,0.4459063228328697,0.13126811024980256,2.8729107879849156
