period,h,model,bin_left,bin_right,n,predicted,actual
screen_2024,1,held,0.30000000000000004,0.4,60,0.3517497986534862,0.0
screen_2024,1,held,0.4,0.5,450,0.46506780762962735,0.6222222222222222
screen_2024,1,held,0.5,0.6000000000000001,850,0.549112612136899,0.49411764705882355
screen_2024,1,held,0.6000000000000001,0.7000000000000001,1120,0.6439572040367295,0.5446428571428571
screen_2024,1,held,0.7000000000000001,0.8,120,0.7425334269747713,0.5
opened_2025,1,held,0.2,0.30000000000000004,20,0.29536063237790067,0.5
opened_2025,1,held,0.30000000000000004,0.4,150,0.3625877776439147,0.06666666666666667
opened_2025,1,held,0.4,0.5,830,0.45751182321833506,0.40963855421686746
opened_2025,1,held,0.5,0.6000000000000001,1210,0.5387790942938625,0.4793388429752066
opened_2025,1,held,0.6000000000000001,0.7000000000000001,310,0.6379435480500675,0.6451612903225806
opened_2025,1,held,0.7000000000000001,0.8,30,0.7185416147874898,0.6666666666666666
opened_2026,1,held,0.30000000000000004,0.4,210,0.36341118226141184,0.6666666666666666
opened_2026,1,held,0.4,0.5,620,0.4592603373652381,0.532258064516129
opened_2026,1,held,0.5,0.6000000000000001,730,0.5443126468063425,0.6575342465753424
opened_2026,1,held,0.6000000000000001,0.7000000000000001,90,0.6643855945081465,0.1111111111111111
open_all,1,held,0.2,0.30000000000000004,20,0.29536063237790067,0.5
open_all,1,held,0.30000000000000004,0.4,420,0.3614511972397449,0.35714285714285715
open_all,1,held,0.4,0.5,1900,0.45987196624789367,0.5
open_all,1,held,0.5,0.6000000000000001,2790,0.5433751457278021,0.5304659498207885
open_all,1,held,0.6000000000000001,0.7000000000000001,1520,0.6439403104752573,0.5394736842105263
open_all,1,held,0.7000000000000001,0.8,150,0.737735064537315,0.5333333333333333
screen_2024,3,held,0.2,0.30000000000000004,110,0.27302037272139085,0.18181818181818182
screen_2024,3,held,0.30000000000000004,0.4,910,0.3562527197475328,0.4065934065934066
screen_2024,3,held,0.4,0.5,1030,0.44217010214223373,0.42718446601941745
screen_2024,3,held,0.5,0.6000000000000001,300,0.5336104231910849,0.43333333333333335
screen_2024,3,held,0.6000000000000001,0.7000000000000001,160,0.6385267761086004,0.0
screen_2024,3,held,0.7000000000000001,0.8,90,0.7295632894776104,0.1111111111111111
opened_2025,3,held,0.2,0.30000000000000004,560,0.27218533387990157,0.16071428571428573
opened_2025,3,held,0.30000000000000004,0.4,1400,0.34425260668673996,0.30714285714285716
opened_2025,3,held,0.4,0.5,470,0.44299294025038777,0.2765957446808511
opened_2025,3,held,0.5,0.6000000000000001,120,0.5135768883394991,0.75
opened_2026,3,held,0.1,0.2,10,0.19275416794283143,0.0
opened_2026,3,held,0.2,0.30000000000000004,600,0.2736876255713704,0.38333333333333336
opened_2026,3,held,0.30000000000000004,0.4,780,0.3505011127539256,0.47435897435897434
opened_2026,3,held,0.4,0.5,210,0.4338272079030193,0.42857142857142855
open_all,3,held,0.1,0.2,10,0.19275416794283143,0.0
open_all,3,held,0.2,0.30000000000000004,1270,0.27296740418497645,0.2677165354330709
open_all,3,held,0.30000000000000004,0.4,3090,0.34936391335914324,0.3786407766990291
open_all,3,held,0.4,0.5,1710,0.4413716963648054,0.38596491228070173
open_all,3,held,0.5,0.6000000000000001,420,0.5278865560906318,0.5238095238095238
open_all,3,held,0.6000000000000001,0.7000000000000001,160,0.6385267761086004,0.0
open_all,3,held,0.7000000000000001,0.8,90,0.7295632894776104,0.1111111111111111
screen_2024,5,held,0.1,0.2,10,0.18301218366728716,0.0
screen_2024,5,held,0.2,0.30000000000000004,510,0.267554419976194,0.39215686274509803
screen_2024,5,held,0.30000000000000004,0.4,1200,0.34706528174402906,0.375
screen_2024,5,held,0.4,0.5,490,0.4344425633976133,0.4897959183673469
screen_2024,5,held,0.5,0.6000000000000001,220,0.5452771636730992,0.0
screen_2024,5,held,0.6000000000000001,0.7000000000000001,140,0.6451106368712944,0.14285714285714285
screen_2024,5,held,0.7000000000000001,0.8,30,0.7103685809390753,0.3333333333333333
opened_2025,5,held,0.1,0.2,10,0.19415143646412378,0.0
opened_2025,5,held,0.2,0.30000000000000004,1150,0.26372561362274904,0.13043478260869565
opened_2025,5,held,0.30000000000000004,0.4,1270,0.33741221374755015,0.1968503937007874
opened_2025,5,held,0.4,0.5,120,0.43033118902684675,0.5
opened_2026,5,held,0.1,0.2,70,0.18475694737912207,0.42857142857142855
opened_2026,5,held,0.2,0.30000000000000004,1120,0.25375627615035007,0.30357142857142855
opened_2026,5,held,0.30000000000000004,0.4,380,0.3361108114809998,0.47368421052631576
opened_2026,5,held,0.4,0.5,30,0.410396309956907,0.0
open_all,5,held,0.1,0.2,90,0.18560691686502948,0.3333333333333333
open_all,5,held,0.2,0.30000000000000004,2780,0.26041159681381737,0.24820143884892087
open_all,5,held,0.30000000000000004,0.4,2850,0.34130314312807136,0.3087719298245614
open_all,5,held,0.4,0.5,640,0.4325445125730615,0.46875
open_all,5,held,0.5,0.6000000000000001,220,0.5452771636730992,0.0
open_all,5,held,0.6000000000000001,0.7000000000000001,140,0.6451106368712944,0.14285714285714285
open_all,5,held,0.7000000000000001,0.8,30,0.7103685809390753,0.3333333333333333
screen_2024,10,held,0.1,0.2,30,0.19602111015213916,0.0
screen_2024,10,held,0.2,0.30000000000000004,1680,0.26110754255853436,0.2976190476190476
screen_2024,10,held,0.30000000000000004,0.4,700,0.3374230413220937,0.24285714285714285
screen_2024,10,held,0.4,0.5,190,0.43089045467928794,0.05263157894736842
opened_2025,10,held,0.1,0.2,520,0.18182074121091246,0.07692307692307693
opened_2025,10,held,0.2,0.30000000000000004,1980,0.24843316868789678,0.10606060606060606
opened_2025,10,held,0.30000000000000004,0.4,50,0.30927140941806974,0.4
opened_2026,10,held,0.1,0.2,820,0.17662939323309046,0.2804878048780488
opened_2026,10,held,0.2,0.30000000000000004,730,0.23011923310733037,0.2328767123287671
open_all,10,held,0.1,0.2,1370,0.17902446801852032,0.19708029197080293
open_all,10,held,0.2,0.30000000000000004,4390,0.2502381288539236,0.20045558086560364
open_all,10,held,0.30000000000000004,0.4,750,0.33554626586182545,0.25333333333333335
open_all,10,held,0.4,0.5,190,0.43089045467928794,0.05263157894736842
screen_2024,20,held,0.1,0.2,840,0.17558315201200997,0.23809523809523808
