clock,source_kind,year,weekday,observed,rows
10:30,moex_prefix,2024,Friday,False,10
10:30,moex_prefix,2024,Friday,True,240
10:30,moex_prefix,2024,Saturday,False,225
10:30,moex_prefix,2024,Saturday,True,15
10:30,moex_prefix,2024,Sunday,False,15
10:30,moex_prefix,2024,Thursday,False,5
10:30,moex_prefix,2024,Thursday,True,240
10:30,moex_prefix,2024,Tuesday,True,240
10:30,moex_prefix,2024,Wednesday,False,5
10:30,moex_prefix,2024,Wednesday,True,245
10:30,moex_prefix,2025,Friday,True,240
10:30,moex_prefix,2025,Saturday,False,235
10:30,moex_prefix,2025,Saturday,True,5
10:30,moex_prefix,2025,Sunday,False,5
10:30,moex_prefix,2025,Thursday,False,10
10:30,moex_prefix,2025,Thursday,True,240
10:30,moex_prefix,2025,Tuesday,True,250
10:30,moex_prefix,2025,Wednesday,False,5
10:30,moex_prefix,2025,Wednesday,True,245
10:30,moex_prefix,2026,Friday,False,10
10:30,moex_prefix,2026,Friday,True,155
10:30,moex_prefix,2026,Saturday,False,155
10:30,moex_prefix,2026,Thursday,True,165
10:30,moex_prefix,2026,Tuesday,True,155
10:30,moex_prefix,2026,Wednesday,True,170
11:30,moex_prefix,2024,Friday,False,10
11:30,moex_prefix,2024,Friday,True,240
11:30,moex_prefix,2024,Saturday,False,225
11:30,moex_prefix,2024,Saturday,True,15
11:30,moex_prefix,2024,Sunday,False,15
11:30,moex_prefix,2024,Thursday,False,5
11:30,moex_prefix,2024,Thursday,True,240
11:30,moex_prefix,2024,Tuesday,True,240
11:30,moex_prefix,2024,Wednesday,False,5
11:30,moex_prefix,2024,Wednesday,True,245
11:30,moex_prefix,2025,Friday,True,240
11:30,moex_prefix,2025,Saturday,False,235
11:30,moex_prefix,2025,Saturday,True,5
11:30,moex_prefix,2025,Sunday,False,5
11:30,moex_prefix,2025,Thursday,False,10
11:30,moex_prefix,2025,Thursday,True,240
11:30,moex_prefix,2025,Tuesday,True,250
11:30,moex_prefix,2025,Wednesday,False,5
11:30,moex_prefix,2025,Wednesday,True,245
11:30,moex_prefix,2026,Friday,False,10
11:30,moex_prefix,2026,Friday,True,155
11:30,moex_prefix,2026,Saturday,False,155
11:30,moex_prefix,2026,Thursday,True,165
11:30,moex_prefix,2026,Tuesday,True,155
11:30,moex_prefix,2026,Wednesday,True,170
12:30,moex_prefix,2024,Friday,False,10
12:30,moex_prefix,2024,Friday,True,240
12:30,moex_prefix,2024,Saturday,False,225
12:30,moex_prefix,2024,Saturday,True,15
12:30,moex_prefix,2024,Sunday,False,15
12:30,moex_prefix,2024,Thursday,False,5
12:30,moex_prefix,2024,Thursday,True,240
12:30,moex_prefix,2024,Tuesday,True,240
12:30,moex_prefix,2024,Wednesday,False,5
12:30,moex_prefix,2024,Wednesday,True,245
12:30,moex_prefix,2025,Friday,True,240
12:30,moex_prefix,2025,Saturday,False,235
12:30,moex_prefix,2025,Saturday,True,5
12:30,moex_prefix,2025,Sunday,False,5
12:30,moex_prefix,2025,Thursday,False,10
12:30,moex_prefix,2025,Thursday,True,240
12:30,moex_prefix,2025,Tuesday,True,250
12:30,moex_prefix,2025,Wednesday,False,5
