candidate,h,metric,mean_bps,ci_lo,ci_hi,n,bootstrap
change_z_r25,1,sym,-27.505405405984018,-32.6091864458439,-23.11204934185036,878,1000 paired circular20-date blocks
change_z_r25,1,forward,19.14129368100835,7.134745181607226,31.22097494560541,878,1000 paired circular20-date blocks
change_z_r25,3,sym,-37.187797018458554,-44.825276336824174,-30.453410362870635,874,1000 paired circular20-date blocks
change_z_r25,3,forward,23.865329464424597,4.883766778825286,42.3611618721219,874,1000 paired circular20-date blocks
change_z_r25,5,sym,-36.94243736524566,-47.468893691634996,-27.392506490447357,869,1000 paired circular20-date blocks
change_z_r25,5,forward,24.98648443866811,1.7542023762362413,47.01189816760308,869,1000 paired circular20-date blocks
change_z_r25,10,sym,-39.48188495593427,-59.45622912201904,-19.51376955021867,864,1000 paired circular20-date blocks
change_z_r25,10,forward,24.457125236477825,-13.720875592338906,61.3325938901412,864,1000 paired circular20-date blocks
change_z_r25,20,sym,-37.04016126671288,-76.39767012287074,3.907272802866634,829,1000 paired circular20-date blocks
change_z_r25,20,forward,14.898735472809603,-46.60203696538793,74.03744670823882,829,1000 paired circular20-date blocks
sign_cd3,1,sym,-18.100350508060895,-22.795620113865212,-13.62721997299982,967,1000 paired circular20-date blocks
sign_cd3,1,forward,8.517244661145591,-2.0052832495572415,19.763259615058843,967,1000 paired circular20-date blocks
sign_cd3,3,sym,-15.356498531219167,-22.852144351654328,-8.55624255166322,962,1000 paired circular20-date blocks
sign_cd3,3,forward,10.004495909403463,-8.370202150623236,27.382914316393023,962,1000 paired circular20-date blocks
sign_cd3,5,sym,-13.319716662589903,-22.17422900435585,-4.869006870904208,957,1000 paired circular20-date blocks
sign_cd3,5,forward,11.754601597894943,-12.061687856032387,33.259978744232654,957,1000 paired circular20-date blocks
sign_cd3,10,sym,-13.211993853953446,-28.565503717174963,0.9352727979489878,951,1000 paired circular20-date blocks
sign_cd3,10,forward,11.322808371778786,-27.99847015040725,47.78250704725311,951,1000 paired circular20-date blocks
sign_cd3,20,sym,-6.326546693730589,-37.659720899386045,25.344606575978275,931,1000 paired circular20-date blocks
sign_cd3,20,forward,12.452588233813215,-54.806320066673486,75.69927077686049,931,1000 paired circular20-date blocks
stale20_z_r35,1,sym,-1.0617849993193702,-4.0136814620871775,1.6476018742927516,1159,1000 paired circular20-date blocks
stale20_z_r35,1,forward,-1.0031357061528932,-11.607294797538879,9.784069642221931,1159,1000 paired circular20-date blocks
stale20_z_r35,3,sym,-2.8027027853240463,-8.873221749879805,2.956221247983173,1154,1000 paired circular20-date blocks
stale20_z_r35,3,forward,0.15680580036856803,-19.56228244046235,19.701405634609326,1154,1000 paired circular20-date blocks
stale20_z_r35,5,sym,-3.073490220641109,-11.432075858675315,5.610299092720914,1145,1000 paired circular20-date blocks
stale20_z_r35,5,forward,-1.328893127068496,-27.176090626080573,25.404731677679727,1145,1000 paired circular20-date blocks
stale20_z_r35,10,sym,-2.563524817099561,-17.69871359739048,12.53548807182807,1141,1000 paired circular20-date blocks
stale20_z_r35,10,forward,-1.8483352136763076,-41.56200670815564,38.907815566355524,1141,1000 paired circular20-date blocks
stale20_z_r35,20,sym,8.621149773709872,-20.54733646915098,38.48354128607296,1116,1000 paired circular20-date blocks
stale20_z_r35,20,forward,4.7117831901740175,-62.44782010253485,72.02874411897089,1116,1000 paired circular20-date blocks
