candidate,slice_kind,slice,h,n_scope,n_signals,first,last,hit_rate,base_rate,pooled_lift,adjusted_lift,frequency,currency_rate_min,currency_rate_max,symmetric_bps,forward_bps
change_z_r25,year,2024,1,1240,330,2024-01-09,2024-12-28,0.6333333333333333,0.5435483870967742,1.165182987141444,1.1640316205533596,1.3014084507042254,1.2225352112676056,1.380281690140845,-22.41534593066371,29.675371195618734
change_z_r25,year,2024,3,1240,330,2024-01-09,2024-12-28,0.4121212121212121,0.3919354838709677,1.0515026811323107,1.0496047799838177,1.3014084507042254,1.2225352112676056,1.380281690140845,-34.59542645990365,28.603930076917816
change_z_r25,year,2024,5,1240,330,2024-01-09,2024-12-28,0.35454545454545455,0.3379032258064516,1.0492514645259277,1.0468287755249297,1.3014084507042254,1.2225352112676056,1.380281690140845,-35.332177404618236,26.3780783100903
change_z_r25,year,2024,10,1240,330,2024-01-09,2024-12-28,0.23939393939393938,0.2693548387096774,0.8887679187080384,0.8860347322720694,1.3014084507042254,1.2225352112676056,1.380281690140845,-41.553826688286776,21.548774342442055
change_z_r25,year,2024,20,1240,330,2024-01-09,2024-12-28,0.17272727272727273,0.18870967741935485,0.9153069153069152,0.912588766946417,1.3014084507042254,1.2225352112676056,1.380281690140845,-52.23258866981219,23.17779952685047
sign_cd3,year,2024,1,1240,365,2024-01-09,2024-12-28,0.6054794520547945,0.5435483870967742,1.1139384577862688,1.1122656059745109,1.4394366197183097,1.3408450704225352,1.4985915492957746,-11.111467694180492,20.93719175324521
sign_cd3,year,2024,3,1240,365,2024-01-09,2024-12-28,0.4465753424657534,0.3919354838709677,1.1394103388015109,1.136207768845916,1.4394366197183097,1.3408450704225352,1.4985915492957746,-5.902978625566703,24.031959413258395
sign_cd3,year,2024,5,1240,365,2024-01-09,2024-12-28,0.3780821917808219,0.3379032258064516,1.1189067250792821,1.114534145308887,1.4394366197183097,1.3408450704225352,1.4985915492957746,-5.491081439951545,27.28215442087903
sign_cd3,year,2024,10,1240,365,2024-01-09,2024-12-28,0.2876712328767123,0.2693548387096774,1.0680009843327045,1.0629873045679064,1.4394366197183097,1.3408450704225352,1.4985915492957746,-7.684105712030592,31.86916633196136
sign_cd3,year,2024,20,1240,365,2024-01-09,2024-12-28,0.1917808219178082,0.18870967741935485,1.016274440931975,1.0118908836558638,1.4394366197183097,1.3408450704225352,1.4985915492957746,-8.120689829230013,50.22036396295065
stale20_z_r35,year,2024,1,1240,465,2024-01-09,2024-12-28,0.5311827956989247,0.5435483870967742,0.9772502472799207,0.9763157055879634,1.8338028169014085,1.7549295774647886,1.912676056338028,-0.23419280161734907,4.7494000759587935
stale20_z_r35,year,2024,3,1240,465,2024-01-09,2024-12-28,0.38064516129032255,0.3919354838709677,0.9711934156378601,0.9693275919178537,1.8338028169014085,1.7549295774647886,1.912676056338028,-1.5683577166060314,3.5599168981950857
stale20_z_r35,year,2024,5,1240,465,2024-01-09,2024-12-28,0.34838709677419355,0.3379032258064516,1.0310262529832936,1.0282818458703384,1.8338028169014085,1.7549295774647886,1.912676056338028,-1.1276861382708692,2.6011594300535634
stale20_z_r35,year,2024,10,1240,465,2024-01-09,2024-12-28,0.26881720430107525,0.2693548387096774,0.998003992015968,0.99448222764019,1.8338028169014085,1.7549295774647886,1.912676056338028,-0.22947380721616967,8.525582741891311
stale20_z_r35,year,2024,20,1240,465,2024-01-09,2024-12-28,0.1913978494623656,0.18870967741935485,1.0142450142450143,1.01168813310721,1.8338028169014085,1.7549295774647886,1.912676056338028,4.763500912810134,28.83040521690431
change_z_r25,year,2025,1,1235,283,2025-01-09,2025-12-30,0.5053003533568905,0.4631578947368421,1.0909893992932862,1.0906929347826086,1.1129213483146068,1.0617977528089888,1.1797752808988764,-36.22719272176088,0.006364178014827988
change_z_r25,year,2025,3,1235,283,2025-01-09,2025-12-30,0.33568904593639576,0.28421052631578947,1.1811281245910221,1.1819967761434615,1.1129213483146068,1.0617977528089888,1.1797752808988764,-43.70563373252733,-2.363420131160864
change_z_r25,year,2025,5,1235,283,2025-01-09,2025-12-30,0.22968197879858657,0.22186234817813766,1.0352454153877897,1.0368767760268665,1.1129213483146068,1.0617977528089888,1.1797752808988764,-40.593165228778396,-7.908443019761
change_z_r25,year,2025,10,1235,283,2025-01-09,2025-12-30,0.14487632508833923,0.14736842105263157,0.9830893488137306,0.9855961070559611,1.1129213483146068,1.0617977528089888,1.1797752808988764,-37.617417983956365,-30.60520326205933
