state,h,period,n,mae_model,mae_prior,rmse_model,rmse_prior,spearman,positive_sign_accuracy,mean_predicted_bps,mean_actual_bps
premarket,1,screen_2024,1240,78.87648509824878,61.71417108209789,112.33471655021285,96.25607846658144,0.13205415003018217,0.5798387096774194,32.47316869197579,3.3385230784683944
premarket,1,opened_2025_2026,2040,72.35254878887135,70.53748746584813,95.14393453722369,94.54792380715715,0.17402515401076132,0.567156862745098,0.8203655473260001,-2.168175060830078
cutoff_1030,1,screen_2024,1240,68.22862840462781,61.71417108209789,97.41634436960953,96.25607846658144,0.5091283374798274,0.6975806451612904,18.701335032642916,3.3385230784683944
cutoff_1030,1,opened_2025_2026,2040,55.357417535798426,70.53748746584813,74.50351872477322,94.54792380715715,0.6482358055842814,0.7284313725490196,0.2183465526758134,-2.168175060830078
cutoff_1130,1,screen_2024,1240,66.74181094820071,61.71417108209789,95.9377888737825,96.25607846658144,0.5266464415855395,0.7088709677419355,15.807583671219659,3.3385230784683944
cutoff_1130,1,opened_2025_2026,2040,53.07245235937101,70.53748746584813,71.92482132078145,94.54792380715715,0.6818890141277979,0.7421568627450981,0.0018898955431849935,-2.168175060830078
cutoff_1230,1,screen_2024,1240,66.4417163260034,61.71417108209789,95.5829019463775,96.25607846658144,0.5385440610181325,0.7201612903225807,16.32466356063398,3.3385230784683944
cutoff_1230,1,opened_2025_2026,2040,52.844662396935036,70.53748746584813,71.98844987292749,94.54792380715715,0.6849122171902056,0.7480392156862745,-0.04944933866981724,-2.168175060830078
cutoff_1330,1,screen_2024,1240,65.50714377042208,61.71417108209789,94.97395130935477,96.25607846658144,0.5533381422552619,0.7330645161290322,16.037467688415827,3.3385230784683944
cutoff_1330,1,opened_2025_2026,2040,52.824500576912726,70.53748746584813,71.788928848777,94.54792380715715,0.6869791291717992,0.7470588235294118,-0.22986028161710922,-2.168175060830078
cutoff_1430,1,screen_2024,1240,64.84471505479728,61.71417108209789,94.44597075113526,96.25607846658144,0.5595984031995925,0.7306451612903225,13.76045505077227,3.3385230784683944
cutoff_1430,1,opened_2025_2026,2040,52.469919287464506,70.53748746584813,71.32005029084785,94.54792380715715,0.6919766680914725,0.7544117647058823,-0.29917879216776544,-2.168175060830078
cutoff_1500,1,screen_2024,1240,64.6528383615948,61.71417108209789,94.39089453092117,96.25607846658144,0.5618348099442598,0.7330645161290322,14.13066419182033,3.3385230784683944
cutoff_1500,1,opened_2025_2026,2040,52.543928117593325,70.53748746584813,71.38565045040751,94.54792380715715,0.6909967534551824,0.753921568627451,-0.428170914452685,-2.168175060830078
cutoff_1520,1,screen_2024,1240,64.14465113685783,61.71417108209789,93.91451473729296,96.25607846658144,0.5671759042675019,0.7330645161290322,14.016821369789792,3.3385230784683944
cutoff_1520,1,opened_2025_2026,2040,52.512425939147455,70.53748746584813,71.48976041211051,94.54792380715715,0.6892815501774558,0.7519607843137255,-0.5228066253102809,-2.168175060830078
cutoff_1530,1,screen_2024,1240,64.1185349212201,61.71417108209789,93.80389890409052,96.25607846658144,0.5692709951705393,0.7354838709677419,14.820254013041795,3.3385230784683944
cutoff_1530,1,opened_2025_2026,2040,52.45743032971475,70.53748746584813,71.39961638409146,94.54792380715715,0.6903616850586993,0.7519607843137255,-0.5097338004312991,-2.168175060830078
update_1630,1,screen_2024,1240,63.5434732186165,61.71417108209789,92.00731246399094,96.25607846658144,0.5619500377725483,0.739516129032258,9.80804772413114,3.3385230784683944
update_1630,1,opened_2025_2026,2040,54.27587427742943,70.53748746584813,72.92412246623408,94.54792380715715,0.657944346219332,0.7372549019607844,-0.06416584636267086,-2.168175060830078
update_1730,1,screen_2024,1240,63.728022637868825,61.71417108209789,91.55586350520873,96.25607846658144,0.5537520259120373,0.7387096774193549,11.238281650990947,3.3385230784683944
update_1730,1,opened_2025_2026,2040,56.714743338367875,70.53748746584813,75.36949480624801,94.54792380715715,0.6228970086666165,0.7215686274509804,1.4949565265444853,-2.168175060830078
premarket,3,screen_2024,1240,131.7370622877105,87.70090688129015,173.56902233743867,127.54738026815949,0.04799771508025007,0.5612903225806452,67.05061490271872,7.522335051111977
premarket,3,opened_2025_2026,2030,99.65620786076443,97.5144270054477,129.78256304921072,126.69288574309728,0.15396242732662987,0.5532019704433497,-4.78038554627541,-4.446400736548228
cutoff_1030,3,screen_2024,1240,116.9517242814678,87.70090688129015,156.6676737932735,127.54738026815949,0.2752506384640032,0.5975806451612903,61.69088922865424,7.522335051111977
cutoff_1030,3,opened_2025_2026,2030,85.74169456657563,97.5144270054477,110.81562485578496,126.69288574309728,0.5042457841804061,0.6719211822660098,1.9070748055994184,-4.446400736548228
cutoff_1130,3,screen_2024,1240,114.42910788451934,87.70090688129015,153.3553854107351,127.54738026815949,0.31593414315477913,0.6225806451612903,57.40852879359387,7.522335051111977
cutoff_1130,3,opened_2025_2026,2030,84.09043754885644,97.5144270054477,108.3823783236533,126.69288574309728,0.5296392039722041,0.6807881773399015,1.4741164337631956,-4.446400736548228
cutoff_1230,3,screen_2024,1240,114.22842715126413,87.70090688129015,153.331343555432,127.54738026815949,0.32481642252083476,0.6403225806451613,57.40006541321193,7.522335051111977
cutoff_1230,3,opened_2025_2026,2030,83.6653803655879,97.5144270054477,108.32351134878232,126.69288574309728,0.5375792515176906,0.6862068965517242,1.4130454709875861,-4.446400736548228
cutoff_1330,3,screen_2024,1240,113.76390107396644,87.70090688129015,153.05648110842716,127.54738026815949,0.34750304984295904,0.6459677419354839,57.76135245317371,7.522335051111977
cutoff_1330,3,opened_2025_2026,2030,83.00204411575538,97.5144270054477,107.13296781207104,126.69288574309728,0.5494063283673202,0.6862068965517242,1.1895176049225367,-4.446400736548228
cutoff_1430,3,screen_2024,1240,112.08428441548428,87.70090688129015,151.59745329623337,127.54738026815949,0.35932112758372825,0.6475806451612903,54.630900360218405,7.522335051111977
cutoff_1430,3,opened_2025_2026,2030,82.00526615653052,97.5144270054477,105.75791620091503,126.69288574309728,0.565626138895368,0.6955665024630542,1.0998786100026345,-4.446400736548228
cutoff_1500,3,screen_2024,1240,111.21042657351538,87.70090688129015,150.93924675604646,127.54738026815949,0.36472115752987244,0.6427419354838709,54.38697722049166,7.522335051111977
cutoff_1500,3,opened_2025_2026,2030,81.71806285009103,97.5144270054477,105.39213231612968,126.69288574309728,0.5689700082266114,0.6950738916256157,0.8906206590573803,-4.446400736548228
cutoff_1520,3,screen_2024,1240,110.27913096642165,87.70090688129015,149.94398535939362,127.54738026815949,0.3702595515014203,0.646774193548387,53.831856509036385,7.522335051111977
cutoff_1520,3,opened_2025_2026,2030,81.55240344260068,97.5144270054477,105.22627163188317,126.69288574309728,0.5713641828288372,0.6935960591133005,0.7567903272682921,-4.446400736548228
cutoff_1530,3,screen_2024,1240,110.20002797803649,87.70090688129015,149.73471697839682,127.54738026815949,0.3733630935990715,0.646774193548387,54.56472725662062,7.522335051111977
cutoff_1530,3,opened_2025_2026,2030,81.25775916372889,97.5144270054477,104.81452125705047,126.69288574309728,0.5757795668807486,0.6960591133004926,0.718605299520006,-4.446400736548228
update_1630,3,screen_2024,1240,103.69251449417712,87.70090688129015,141.88020631470297,127.54738026815949,0.4203400907686637,0.6895161290322581,43.24034625565442,7.522335051111977
