candidate,period,h,n,brier,mean_probability,event_rate
hazard_logit,early,1,1135,0.35363712367882466,0.28690519128039027,0.5744493392070484
hazard_logit,early,3,1135,0.35474879701718076,0.15124914377397025,0.45198237885462555
hazard_logit,early,5,1135,0.3270726658622206,0.11246766927566193,0.3894273127753304
hazard_logit,early,10,1135,0.2789985879654703,0.07742949333985832,0.31541850220264317
hazard_logit,early,20,1135,0.24421200295539575,0.05096421734767476,0.2669603524229075
hazard_logit,later,1,3280,0.220803231908759,0.5344251750730156,0.5161585365853658
hazard_logit,later,3,3270,0.2113165926104251,0.3679006997687862,0.354434250764526
hazard_logit,later,5,3260,0.20241141487480857,0.3045021749301694,0.294478527607362
hazard_logit,later,10,3235,0.17867813256263396,0.23195424038346826,0.22812982998454404
hazard_logit,later,20,3185,0.14815079892098415,0.1712126285981694,0.16577708006279435
hazard_hist,early,1,1135,0.19847769332018234,0.5743560533864115,0.5744493392070484
hazard_hist,early,3,1135,0.21953361614540615,0.4168593403178669,0.45198237885462555
hazard_hist,early,5,1135,0.22250025790477024,0.3389986766042656,0.3894273127753304
hazard_hist,early,10,1135,0.2182650799485789,0.2596498762479535,0.31541850220264317
hazard_hist,early,20,1135,0.21713118598787592,0.1855153062153477,0.2669603524229075
hazard_hist,later,1,3280,0.19511862481865774,0.5033511322024358,0.5161585365853658
hazard_hist,later,3,3270,0.19524453588365934,0.3445697053974389,0.354434250764526
hazard_hist,later,5,3260,0.1882768668416019,0.2686601781688216,0.294478527607362
hazard_hist,later,10,3235,0.17159393252408753,0.1925346705686162,0.22812982998454404
hazard_hist,later,20,3185,0.1413297108120427,0.1336424939685078,0.16577708006279435
hazard_local,early,1,1135,0.3785605585864834,0.30994859401857533,0.5744493392070484
hazard_local,early,3,1135,0.37696671940251425,0.19071106151211792,0.45198237885462555
hazard_local,early,5,1135,0.34356963885650915,0.15694299930425124,0.3894273127753304
hazard_local,early,10,1135,0.2948929423687816,0.12625674577401455,0.31541850220264317
hazard_local,early,20,1135,0.2526006033286089,0.10113918296969601,0.2669603524229075
hazard_local,later,1,3280,0.24416903461082326,0.5219695318733134,0.5161585365853658
hazard_local,later,3,3270,0.24196313848162204,0.36511928418836836,0.354434250764526
hazard_local,later,5,3260,0.23105100710767087,0.30608370660765355,0.294478527607362
hazard_local,later,10,3235,0.20352585636480927,0.24064626708784814,0.22812982998454404
hazard_local,later,20,3185,0.17106933905322033,0.1861453600432829,0.16577708006279435
market_hist,early,5,1135,0.2169734266725476,0.3334069688408694,0.3894273127753304
market_extra,early,5,1135,0.20674671544529777,0.37426049867905625,0.3894273127753304
market_hist,later,5,3260,0.18813240554943836,0.28504454947372293,0.294478527607362
market_extra,later,5,3260,0.18056645470715865,0.30884340419756495,0.294478527607362
