policy,kind,rate,memory,horizon_lift_min,horizon_lift_mean,symmetric_benefit_min,future_benefit_min,frequency,corridor_frequency_min,quarter_frequency_min
rolling_r20_m015,rolling,0.2,15,1.5598233147685807,1.6421374553503063,17.575888648506375,66.2273955656266,1.2220338983050847,1.1864406779661016,1.101123595505618
rolling_r20_m020,rolling,0.2,20,1.6106004661272162,1.6745153655817462,15.370289455617888,67.40564325339955,1.1192090395480228,1.0677966101694916,1.0022727272727272
rolling_r20_m030,rolling,0.2,30,1.4500501169395255,1.553389373627327,15.510874491638122,68.6929112769146,1.0084745762711864,0.9491525423728814,0.77
rolling_r20_m040,rolling,0.2,40,1.3813800159145162,1.4893384569089743,15.93996868223992,62.69261126907868,1.0361581920903955,0.9689265536723164,0.8225
rolling_r20_m060,rolling,0.2,60,1.4826010941289267,1.5619521382935264,17.843116483320944,67.3599129453715,1.0480225988700564,1.0282485875706215,0.8113636363636363
rolling_r22_m015,rolling,0.22,15,1.5274642243846597,1.6069984985530117,15.91892318309641,63.85835764852335,1.2813559322033898,1.265536723163842,1.1325842696629214
rolling_r22_m020,rolling,0.22,20,1.6070113281432101,1.6525626470683599,14.992506486230345,64.71342053415641,1.257627118644068,1.2062146892655368,1.065909090909091
rolling_r22_m030,rolling,0.22,30,1.4768416409351566,1.568329682232401,12.61839351220031,63.332652227937345,1.1468926553672316,1.0875706214689267,1.015
rolling_r22_m040,rolling,0.22,40,1.4532017103943409,1.5332551224580124,15.571808587131583,65.5942162795101,1.1192090395480228,1.0875706214689267,0.9450000000000001
rolling_r22_m060,rolling,0.22,60,1.3487083941789617,1.4604517700060922,15.545355252601679,61.30291619672095,1.1706214689265537,1.0875706214689267,0.8431818181818181
rolling_r24_m015,rolling,0.24,15,1.5323013776390193,1.6057704142118925,14.701710634564375,62.649621668142956,1.344632768361582,1.3248587570621468,1.1797752808988764
rolling_r24_m020,rolling,0.24,20,1.5778920308483293,1.6307098424086124,14.764655489323946,62.02945755202463,1.368361581920904,1.3248587570621468,1.1772727272727272
rolling_r24_m030,rolling,0.24,30,1.490657258591402,1.569312986920699,12.30989053495457,59.558555990410774,1.289265536723164,1.2062146892655368,1.19
rolling_r24_m040,rolling,0.24,40,1.4339510748702744,1.5203947708815386,14.674164598860932,63.61115048779266,1.1943502824858758,1.1468926553672316,1.0325
rolling_r24_m060,rolling,0.24,60,1.3699134597679983,1.477122835584973,13.520264172482285,57.832311918867624,1.2813559322033898,1.2062146892655368,0.875
rolling_r26_m015,rolling,0.26,15,1.5107778819119027,1.5967770331048068,12.646432225133065,57.961429062172904,1.5028248587570623,1.4830508474576272,1.3842696629213485
rolling_r26_m020,rolling,0.26,20,1.525483304042179,1.5717864429404202,13.549261842501716,59.863921517024046,1.4790960451977402,1.423728813559322,1.2269662921348314
rolling_r26_m030,rolling,0.26,30,1.4844743733632622,1.5578423717983267,11.76708696885144,57.17798350397245,1.3525423728813561,1.305084745762712,1.19
rolling_r26_m040,rolling,0.26,40,1.4149194123520181,1.502997393087364,14.330284499490531,61.66522799787778,1.2418079096045198,1.1864406779661016,1.0325
rolling_r26_m060,rolling,0.26,60,1.4118677468797893,1.5025502756163387,12.580317164828047,57.83554761650595,1.348587570621469,1.305084745762712,0.9386363636363637
exponential_r20_m010,exponential,0.2,10,1.4824191279887482,1.602452562416023,21.868453823850068,74.61217953887818,1.0084745762711864,0.9293785310734464,0.8494382022471911
exponential_r20_m020,exponential,0.2,20,1.5438172367943912,1.622855815828871,20.01689977281293,73.78220385212222,0.9768361581920904,0.9293785310734464,0.7865168539325843
exponential_r20_m040,exponential,0.2,40,1.493197475829329,1.5834761861589954,18.70715776790598,67.77638655788849,1.0203389830508476,0.9887005649717514,0.7795454545454547
exponential_r22_m010,exponential,0.22,10,1.487945892876623,1.6029076463883871,21.00514699638215,75.31597509233863,1.0836158192090395,1.0480225988700564,0.9275
exponential_r22_m020,exponential,0.22,20,1.4850299401197602,1.5878476334478466,18.3021642958463,69.32206211008369,1.0559322033898306,1.0282485875706215,0.8909090909090909
exponential_r22_m040,exponential,0.22,40,1.464226289517471,1.5490386449494835,17.004380491228257,64.32844754728883,1.0994350282485876,1.0480225988700564,0.7954545454545455
exponential_r24_m010,exponential,0.24,10,1.4639905548996457,1.5803198841032,19.135674534898456,72.05326383559883,1.1508474576271188,1.1073446327683616,0.9450000000000001
exponential_r24_m020,exponential,0.24,20,1.4156852661352533,1.5181887755979262,14.7889704176407,62.443658539637816,1.1508474576271188,1.1468926553672316,0.9450000000000001
exponential_r24_m040,exponential,0.24,40,1.443525110640754,1.522682093769736,13.211359565190298,58.89504563466874,1.225988700564972,1.1468926553672316,0.8590909090909091
exponential_r26_m010,exponential,0.26,10,1.4075430245331382,1.5192261979807236,14.41429130335446,62.02187892727918,1.289265536723164,1.225988700564972,1.1375
exponential_r26_m020,exponential,0.26,20,1.351999651096864,1.4588823839412401,11.213074467093167,54.93513742107894,1.356497175141243,1.3248587570621468,1.065909090909091
exponential_r26_m040,exponential,0.26,40,1.4270965558094268,1.5095155630995,11.205895278883808,54.90853750895201,1.396045197740113,1.344632768361582,0.9704545454545455
