candidate,period,kind,rate,memory,horizon,case_lift,matched_random_day_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps,n_signals
default,retrospective_2025,rolling,0.22,20,1,1.8347461330070785,0.4617402181661668,1.8353510850699404,24.645037408020855,71.29138445737554,301
default,retrospective_2025,rolling,0.22,20,3,2.069109947643979,0.2825937832057783,2.0709309702054446,47.59459511616479,81.64049710986345,301
default,retrospective_2025,rolling,0.22,20,5,2.1130461350443017,0.22011648082639515,2.124213916850311,53.1069972012376,73.1672772624637,301
default,retrospective_2025,rolling,0.22,20,10,2.0723769131477043,0.14588349227272115,2.102016965254662,55.94244880452312,43.57682773389214,301
default,retrospective_2025,rolling,0.22,20,20,2.09588459906661,0.09510807430024076,2.15307309205965,69.99286598592711,8.01790336485358,301
default,retrospective_2026,rolling,0.22,20,1,1.7125014129083307,0.5497592045984153,1.7210003266590437,17.7783057798972,86.89331334122015,205
default,retrospective_2026,rolling,0.22,20,3,1.9579676674364892,0.4036041634301694,1.9607419968031077,32.2355118842437,110.97700850435014,205
default,retrospective_2026,rolling,0.22,20,5,1.9957018747142206,0.3397545440422557,2.000840914826152,40.274638046774186,127.55265299738797,205
default,retrospective_2026,rolling,0.22,20,10,1.954432664110083,0.2916447368421053,1.9576620502689686,53.992945723654664,161.3612069060955,200
default,retrospective_2026,rolling,0.22,20,20,1.8230471771075019,0.2460982108869433,1.8295290435867688,93.13427170963708,195.10865339815422,185
default,combined_2025_2026,rolling,0.22,20,1,1.7800067233117465,0.49740008421085247,1.778175705864492,21.863061155520167,77.61232402494105,506
default,combined_2025_2026,rolling,0.22,20,3,2.0143077561432894,0.3316197277630909,2.015836483504277,41.372041632876595,93.52584263529778,506
default,combined_2025_2026,rolling,0.22,20,5,2.0529084958019066,0.26858644714902646,2.0625274158382316,47.9081165161289,95.20087810368796,506
default,combined_2025_2026,rolling,0.22,20,10,2.0050884539613714,0.2040716138573056,2.029839507761815,55.16420406166146,90.5965399782847,501
default,combined_2025_2026,rolling,0.22,20,20,1.9283750433017024,0.15258374357707197,1.991301067823209,78.80183730050807,79.23557570263263,486
selected,retrospective_2025,rolling,0.2,20,1,1.850844610962178,0.4625394027219625,1.8587939945136072,26.102173704694692,74.25352111989099,271
selected,retrospective_2025,rolling,0.2,20,3,2.0721257848361736,0.2831468395655617,2.0832866630248787,50.23692620946413,85.98340844400761,271
selected,retrospective_2025,rolling,0.2,20,5,2.140410263353869,0.22067018241032613,2.1625419454998074,56.55633005062587,78.69278409055666,271
selected,retrospective_2025,rolling,0.2,20,10,2.093434085571327,0.14630174641827387,2.130505688004882,60.89033271564064,50.453656273340584,271
selected,retrospective_2025,rolling,0.2,20,20,2.0886313811462576,0.09540314026622046,2.152512356309299,75.04890588939739,14.844990388118118,271
selected,retrospective_2026,rolling,0.2,20,1,1.71104832199285,0.5495452672941027,1.719026786921754,17.848478354089814,87.55720881935486,201
selected,retrospective_2026,rolling,0.2,20,3,1.9477072864321605,0.4035871597426879,1.9501380094975123,32.394751201866285,111.39064151095286,201
selected,retrospective_2026,rolling,0.2,20,5,1.9764080566952633,0.33982951484615137,1.9804671531202847,40.129358896427355,127.19014109428544,201
selected,retrospective_2026,rolling,0.2,20,10,1.9415420023014962,0.2916890440386681,1.9446423187952238,53.50508425149332,159.84166618802274,196
selected,retrospective_2026,rolling,0.2,20,20,1.808206256877849,0.24613062993344687,1.8152976525032856,92.52480712877481,194.17718454635053,182
selected,combined_2025_2026,rolling,0.2,20,1,1.7853600545298403,0.4995906289486578,1.7889103907176807,22.587358523610835,79.91886270377286,472
selected,combined_2025_2026,rolling,0.2,20,3,2.0081871620163514,0.334436043708787,2.0167123362611954,42.63888134394047,96.8030140509059,472
selected,combined_2025_2026,rolling,0.2,20,5,2.0529657046523915,0.27141388118066695,2.0715045493100464,49.56094614809643,99.34526027222928,472
selected,combined_2025_2026,rolling,0.2,20,10,2.003742538444651,0.20732082636173702,2.0375740034000525,57.79074235381436,96.36382745808942,467
selected,combined_2025_2026,rolling,0.2,20,20,1.9108273314664894,0.15596032154532688,1.9839050044062922,82.0701289038934,86.89456949804814,453
