comparison,metric,block_dates,mean_delta,ci_low,ci_high
t25,brier,20,0.0,0.0,0.0
t25,logloss,20,0.0,0.0,0.0
t25,auc,20,0.0,0.0,0.0
t25,brier,50,0.0,0.0,0.0
t25,logloss,50,0.0,0.0,0.0
t25,auc,50,0.0,0.0,0.0
identity,brier,20,-0.006057774210035491,-0.012498126704021364,0.0010967131502398874
identity,logloss,20,-0.015663963275102215,-0.04675320038674127,0.018498724803224283
identity,auc,20,0.1817540707701949,0.08620971560666778,0.28083927765096406
identity,brier,50,-0.006030470577454667,-0.013849736420923879,0.002967435603978416
identity,logloss,50,-0.015619963000059082,-0.05044683700926237,0.027160768245394762
identity,auc,50,0.17651023415583258,0.06042469839608519,0.29057659830501464
