candidate,n,lift,lift_ci_low,lift_ci_high,p_lift_le_1,benefit_ci_low,benefit_ci_high
negative_direct_basis,540,1.127062367358116,0.9013673751003373,1.4026303065565473,0.13071732066983255,-19.748630362802135,51.712497198505424
negative_usd_basis,500,1.0678743068391865,0.8483316425829102,1.2694755982830397,0.2986753311672082,-25.916236563420277,45.29345829920772
negative_cny_basis,420,0.9334565619223659,0.6581261981432136,1.194425113674171,0.6995751062234441,-47.465790813172624,32.168376663714774
negative_consensus_basis,520,1.077065263756576,0.8209596908067798,1.386609926147258,0.2651837040739815,-23.863679525759053,53.06073886289322
inverse_rub_momentum_1,575,0.9935224624286747,0.8094587045580492,1.1945936721924706,0.4891277180704824,-32.816787999533545,24.127518146170743
inverse_rub_momentum_2,565,0.9978898467276265,0.7808959916941423,1.2254644671085733,0.4958760309922519,-43.34911464225729,31.24143190638742
inverse_rub_momentum_5,565,1.0111069307902443,0.7858711066578785,1.244158069819239,0.4281429642589353,-60.896114202282064,28.78138858910998
inverse_rub_momentum_mean,560,1.0668074993398466,0.8600166271805116,1.3062846273393995,0.23319170207448137,-42.51265567193558,32.692627453414275
direct_usd_disagreement,495,0.8976269161112044,0.6463485254586722,1.166890028171565,0.8060484878780305,-59.77401991585974,14.771024984075218
direct_cny_disagreement,485,0.9315319092173714,0.6399602146900281,1.2465780227297987,0.7240689827543114,-49.21996821530523,22.368575577074832
usd_cny_disagreement,455,0.919095691738945,0.6809248587340119,1.0914145339912928,0.8292926768307923,-48.3935016860682,23.333461505526383
primary90_negative_usd_basis10,520,1.795108772927627,1.5231593194711055,2.066911985297962,0.00024993751562109475,34.0203561739062,112.00665341595185
primary75_negative_usd_basis25,496,1.8443294973466102,1.565423771795087,2.184310968192681,0.00024993751562109475,49.37658524168842,111.33622236829834
primary60_negative_usd_basis40,481,1.6844912593526271,1.4114684323753661,1.9978064463291,0.00024993751562109475,40.061298837237025,102.87667703280287
