stage,metric,block_dates,draws,mean_delta,ci_low,ci_high
screen_2019_2022,brier,20,1000,0.0,0.0,0.0
screen_2019_2022,logloss,20,1000,0.0,0.0,0.0
screen_2019_2022,auc,20,1000,0.0,0.0,0.0
screen_2019_2022,brier,50,1000,0.0,0.0,0.0
screen_2019_2022,logloss,50,1000,0.0,0.0,0.0
screen_2019_2022,auc,50,1000,0.0,0.0,0.0
validation_2023_2024,brier,20,1000,-0.0009747876169946389,-0.0035353614086930277,0.0010100933170490507
validation_2023_2024,logloss,20,1000,-0.003555403757085468,-0.013396187686098796,0.00427412124716775
validation_2023_2024,auc,20,1000,0.1265709452063342,-0.0011568657135168842,0.26434910140683493
validation_2023_2024,brier,50,1000,-0.001034303542818412,-0.00346788665959158,0.0011248269761622018
validation_2023_2024,logloss,50,1000,-0.0037776591988006184,-0.01310378013878684,0.004215482933187375
validation_2023_2024,auc,50,1000,0.12120664987470398,-0.004125099028113461,0.25810220714255355
