stage,pooled_pass,local_pass,pass,local_groups,local_noninferior,brier_delta,logloss_delta,ece_delta,auc_delta,worst_brier_ci_high,worst_auc_ci_low
screen_2019_2022,False,True,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0
validation_2023_2024,False,True,False,7,7,-0.000979043958683562,-0.003570342354840661,-0.0074850935047832,0.12835181117433742,0.0011248269761622018,-0.004125099028113461
