candidate,horizon,case_lift,matched_random_day_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps,n_signals
availability_router,1,1.6070113281432101,0.5439997971190911,1.6098899247664096,14.992506486230345,64.71342053415641,318
availability_router,3,1.7062015503875967,0.39257455873402314,1.7056190133500866,31.129936885679466,84.74878290007928,318
availability_router,5,1.662123708252209,0.33865895719212824,1.657358897088439,34.7379141514272,87.88680058159747,318
availability_router,10,1.6414589494437402,0.2701232501521607,1.6373634439063562,38.136486461088204,97.98917406218028,318
availability_router,20,1.6460176991150444,0.18913572732805842,1.642875934763995,40.08470381277035,108.03235086523607,318
route_beta_60_basis,1,1.5756791100242156,0.54427654243658,1.5769519471026494,13.62006525700098,62.48231048956258,309
route_beta_60_basis,3,1.6964303503237588,0.392982044054703,1.695814685814364,28.44875207620347,79.90725449116512,309
route_beta_60_basis,5,1.6889572912658712,0.3391533563002401,1.6817873731032968,32.651838260940984,82.9268403877962,309
route_beta_60_basis,10,1.5918150668404036,0.2703961791418728,1.5901775472953203,37.53821297679227,92.58122545582576,309
route_beta_60_basis,20,1.5894149266074011,0.18935953648606327,1.5939229330450897,38.587497763908225,104.50792608241045,309
route_beta_120_basis,1,1.595487284678679,0.5439871170622844,1.5963885572862706,14.762109242792341,64.19859814334133,318
route_beta_120_basis,3,1.7301766738800428,0.39258723879082974,1.7289613619530482,30.854773711412555,83.83038266243652,318
route_beta_120_basis,5,1.7363435546070614,0.33867163724893484,1.72889784326809,35.975404917693524,88.97013914919546,318
route_beta_120_basis,10,1.6659933292619906,0.26992036924325424,1.6638227100542438,41.38148239436854,100.07873589661918,318
route_beta_120_basis,20,1.6798336798336795,0.18907232704402518,1.6751345472185328,43.167369694388434,113.24411221697868,318
route_cross_reversion_60,1,1.0728151075977161,0.5416785612332287,1.0727738720091404,1.9687558634219127,5.211817349340732,339
route_cross_reversion_60,3,1.158736944970378,0.3894994766390713,1.1591786187849151,12.982300662455858,11.804922339573396,339
route_cross_reversion_60,5,1.2155567394778903,0.3348915215529546,1.212218010472333,22.17956871699669,18.66708601945429,339
route_cross_reversion_60,10,1.2277227722772277,0.26669997145304025,1.2296534735354876,33.40199507746136,35.32653780852369,339
route_cross_reversion_60,20,1.4688574703859378,0.18676848415643735,1.4701653535718648,51.4913993586338,64.10647517918173,339
route_cross_reversion_120,1,1.074623767514271,0.5414746543778801,1.0775921783657332,0.00884756474366783,7.0957260597274665,287
route_cross_reversion_120,3,1.07425188607732,0.38921827582331125,1.0742033061336982,7.454178086068136,7.759021771232785,287
route_cross_reversion_120,5,1.0836064196286028,0.3344104754411599,1.0748125463156837,14.611372169808796,12.679545421565418,287
route_cross_reversion_120,10,1.0464686956063083,0.2663678768124087,1.039305858882813,20.226857708075155,26.66253463205216,287
route_cross_reversion_120,20,1.2512048192771084,0.1865797459817916,1.2574633236114823,39.6443888063151,61.64458751119999,287
route_projected_60,1,1.5195117800092393,0.5437466948704389,1.5193698437308754,15.360902634797151,62.24720476320148,305
route_projected_60,3,1.6714969333423197,0.3923056583818086,1.667244921141264,35.98970853060145,80.59543143204499,305
route_projected_60,5,1.64745418311125,0.3383262823902697,1.6404968088681897,44.67079943665415,82.05799349096594,305
route_projected_60,10,1.61662500612655,0.2697382337387626,1.6156207157032572,53.40053875701525,85.99515043427401,305
route_projected_60,20,1.8928646453329598,0.18880222104706504,1.8772779412760094,69.57584256513736,108.9633463487281,305
route_projected_120,1,1.513276445630929,0.5439529094492274,1.511885188542693,14.691456052769896,62.86109871704627,311
route_projected_120,3,1.6699234222339583,0.39280157659993775,1.6584667141473244,33.676830641651975,80.70635062974989,311
route_projected_120,5,1.6982402448355012,0.3389171247795872,1.67710787092801,42.32868490172898,85.03632250860448,311
route_projected_120,10,1.7366780181303663,0.2703168758427549,1.7160116525996887,53.46050748354219,96.34605982163357,311
route_projected_120,20,1.9586566856671932,0.18879006327144487,1.9234640767111464,70.95043995353416,121.71289385899338,311
router75_cross_reversion_60_25,1,1.5847593518895244,0.5434833506763788,1.5865009715299059,15.768070604512873,68.7798573761004,310
router75_cross_reversion_60_25,3,1.737663545194926,0.3917013527575442,1.7347917058916373,33.24352879118143,86.20302935829113,310
router75_cross_reversion_60_25,5,1.7388758331086023,0.3376300728407909,1.7324104618745206,40.762610455886524,89.88059514422065,310
router75_cross_reversion_60_25,10,1.7265519241926128,0.2690426638917794,1.7223160956336003,50.28240858406697,100.6338053695665,310
router75_cross_reversion_60_25,20,1.8966515088879703,0.18878772112382936,1.8902359291186908,61.87399096124096,118.71711337237132,310
router75_projected_60_25,1,1.6261709179997117,0.5432978390228625,1.627160076171626,18.14093698336774,71.49678238198682,309
router75_projected_60_25,3,1.8015328223925358,0.39161185927549846,1.7973316548914724,37.12256607368039,91.7051377645845,309
router75_projected_60_25,5,1.8026600680482525,0.33750913456519466,1.7950645272040469,46.02907911167514,99.04400449439684,309
router75_projected_60_25,10,1.7324148636848746,0.2689998956049692,1.7296953184125083,53.928700839366506,109.75559522737026,309
router75_projected_60_25,20,1.8203725503773975,0.1884460799665936,1.8184047499235199,59.285424734090185,121.74757400560138,309
