candidate,period,horizon,n_scope,n_signals,case_lift,lift_ci_low,lift_ci_high,lift_familywise_lower,p_lift_le_1p30,symmetric_benefit_bps,symmetric_ci_low,symmetric_ci_high,symmetric_familywise_lower,p_symmetric_le_zero,future_only_benefit_bps,future_ci_low,future_ci_high,future_familywise_lower,p_future_le_zero,p_lift_holm_15,p_symmetric_holm_15,p_future_holm_15,lift_1p30_supported_holm,symmetric_positive_supported_holm,future_positive_supported_holm
geometry75_cba_consensus_basis25,retrospective_2025,1,1235,316,1.6320081831250692,1.3929969739131027,1.917589983461853,1.3234749522920881,0.001999500124968758,18.45935618673006,9.466372500693614,30.590248372843334,6.581224915875672,0.00024993751562109475,66.6909721255278,45.69173136204359,91.8383354636915,37.36501336997606,0.00024993751562109475,0.007998000499875032,0.003749062734316421,0.003749062734316421,True,True,True
geometry75_cba_consensus_basis25,retrospective_2026,1,785,219,1.612046152217635,1.3887129413955543,1.9283262055834411,1.3385798950233434,0.0004998750312421895,17.35559496507539,11.313215220160789,21.950035386385252,9.346248961744577,0.00024993751562109475,75.46700153640572,56.64909413055819,93.18177212652338,51.57358431640278,0.00024993751562109475,0.003999000249937516,0.003749062734316421,0.003749062734316421,True,True,True
geometry75_cba_consensus_basis25,combined_2025_2026,1,2020,535,1.6230036627345803,1.4557435791007003,1.8257165380376459,1.397313475975811,0.00024993751562109475,18.007536172632168,11.955556523293097,24.953061298160236,9.925523088312033,0.00024993751562109475,70.28340285633575,54.59760340039116,85.7692106903361,47.991815180306766,0.00024993751562109475,0.003749062734316421,0.003749062734316421,0.003749062734316421,True,True,True
geometry75_cba_consensus_basis25,retrospective_2025,3,1235,316,2.036264528335886,1.611730003082242,2.5930165484367245,1.474325165964437,0.00024993751562109475,34.24545115341266,17.008991839146685,56.17059259358102,12.3827629098843,0.00024993751562109475,70.17735775246841,40.0948471935582,99.15544527929512,30.633440379823075,0.00024993751562109475,0.003749062734316421,0.003749062734316421,0.003749062734316421,True,True,True
geometry75_cba_consensus_basis25,retrospective_2026,3,785,219,1.7884643114635903,1.4573796745768166,2.244111777577052,1.3861061592598662,0.00024993751562109475,27.082538428996706,16.89295362179364,33.740542506192305,13.680072255568358,0.00024993751562109475,97.80766158055724,61.811737472584966,132.2572867153039,50.2154102405238,0.00024993751562109475,0.003749062734316421,0.003749062734316421,0.003749062734316421,True,True,True
geometry75_cba_consensus_basis25,combined_2025_2026,3,2020,535,1.9134256869073194,1.6157867570648152,2.2568005736485532,1.5276014834516005,0.00024993751562109475,31.313342954072297,19.71960104884742,43.71503844502926,16.206290120973094,0.00024993751562109475,81.4877064222842,57.75438031861331,103.93671554315546,47.92708451869656,0.00024993751562109475,0.003749062734316421,0.003749062734316421,0.003749062734316421,True,True,True
geometry75_cba_consensus_basis25,retrospective_2025,5,1235,316,2.065574715958244,1.6042905116416755,2.5948729446935728,1.4607982767940304,0.00024993751562109475,41.07254728398513,22.513111514728717,65.61964166004667,15.763886769757693,0.00024993751562109475,64.1844585857615,23.694144542276284,99.53961808107363,9.307508010608087,0.000999750062484379,0.003749062734316421,0.003749062734316421,0.005998500374906274,True,True,True
geometry75_cba_consensus_basis25,retrospective_2026,5,785,219,1.8030510798765853,1.4410850206478083,2.184471421345473,1.363109423731581,0.0004998750312421895,33.91184360769942,19.708618911427415,43.92824855425774,14.375701028789239,0.00024993751562109475,115.74108977325565,66.29758329742974,158.97217558396164,50.224405235144545,0.00024993751562109475,0.003999000249937516,0.003749062734316421,0.003749062734316421,True,True,True
geometry75_cba_consensus_basis25,combined_2025_2026,5,2020,535,1.9305707003955412,1.6172551884366246,2.2869417832449894,1.5408274710541636,0.00024993751562109475,38.141343349206494,24.435532197321443,51.91263757864297,20.334439913293743,0.00024993751562109475,85.28894873540864,51.04183311662822,113.7384002520217,38.708227757204526,0.00024993751562109475,0.003749062734316421,0.003749062734316421,0.003749062734316421,True,True,True
geometry75_cba_consensus_basis25,retrospective_2025,10,1235,316,2.164786532454009,1.6245640119513267,2.8681276545540353,1.4565714877402252,0.000999750062484379,49.02196414868605,23.79270179979377,81.49051481649155,13.415629158531178,0.0004998750312421895,45.90956617704427,-27.87212425232018,109.69590276209443,-59.73252526736756,0.09347663084228942,0.004998750312421895,0.003749062734316421,0.18695326168457885,True,True,False
geometry75_cba_consensus_basis25,retrospective_2026,10,760,214,1.7482325630473778,1.324968118970746,2.220087561481225,1.2368719683297584,0.012496875781054736,44.1879314135016,16.89920640154319,70.59137909226091,2.093803207206286,0.0032491877030742314,149.0058434424759,70.02397724593939,209.1885779210549,43.262563977082166,0.00024993751562109475,0.02499375156210947,0.006498375406148463,0.003749062734316421,True,True,True
geometry75_cba_consensus_basis25,combined_2025_2026,10,1995,530,1.9265250031338068,1.5674416515822425,2.3508545120717774,1.4665495459749989,0.0004998750312421895,47.07010942164931,27.952450410898415,69.0491459492275,21.10155835699982,0.00024993751562109475,87.53711963893554,27.5198944861194,136.02616695578325,-2.8488281786995566,0.00424893776555861,0.003999000249937516,0.003749062734316421,0.02124468882779305,True,True,True
geometry75_cba_consensus_basis25,retrospective_2025,20,1235,316,2.132987910189983,1.554512532579455,3.0214828924944293,1.3673008245708393,0.001999500124968758,62.98428476592117,28.220060826419232,109.94918754767448,12.621428768582643,0.000999750062484379,10.081362220821005,-102.54936744155857,110.6767265598526,-143.99059101089307,0.3761559610097476,0.007998000499875032,0.003749062734316421,0.3761559610097476,True,True,False
geometry75_cba_consensus_basis25,retrospective_2026,20,710,192,1.7154362416107383,1.2816031200257447,2.3772967535622604,1.2004560866756693,0.033741564608847786,82.34207651596454,6.779915613804322,139.0928704370232,-20.380915589584145,0.01949512621844539,193.49728753618788,38.81847111801956,283.6163295751261,-31.277997304744385,0.00899775056235941,0.033741564608847786,0.01949512621844539,0.03599100224943764,True,True,True
geometry75_cba_consensus_basis25,combined_2025_2026,20,1945,508,1.8792155066718188,1.5056002874938281,2.4437615224804246,1.3940247597646982,0.00024993751562109475,70.30061550609504,32.907779929885436,103.50417946749862,16.516621124705498,0.0004998750312421895,79.40391667072346,-21.03862797332966,151.45670423491953,-59.727060352480066,0.06198450387403149,0.003749062734316421,0.003749062734316421,0.18595351162209448,True,True,False
