hypothesis,control,challenger,control_lift,challenger_lift,lift_difference,lift_difference_ci_low,lift_difference_ci_high,p_challenger_not_better,control_benefit_bps,challenger_benefit_bps,benefit_difference_bps,benefit_difference_ci_low,benefit_difference_ci_high,circular_p_unadjusted,p_holm_three_hypotheses
shadow_freshness,shadow_close_stale20,shadow_close_basis,0.8401109057301294,1.6413277880468267,0.8012168823166973,0.44035439962673856,1.1434544698545268,0.00024993751562109475,-23.916608852694022,68.8103790884441,92.72698794113812,57.00169840890497,120.51416651293579,0.00024993751562109475,0.0007498125468632842
cross_correction,shadow_close_basis,shadow_close_cross5,1.6413277880468267,1.642883548983364,0.0015557609365373093,-0.06992541194502763,0.11510309877548727,0.3971507123219195,68.8103790884441,67.61859888292771,-1.1917802055163804,-9.724209190962691,8.052639089682879,0.5243689077730568,0.656835791052237
primary_increment,logit50_extra50,primary75_shadow25,1.8463221702729151,1.884360910048888,0.03803873977597294,-0.09962644228738737,0.22877129346169842,0.3284178955261185,71.28443344868988,81.91352973177518,10.629096283085303,-5.057024635981704,32.136420462973945,0.23944013996500874,0.656835791052237
