rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,year
0.22,315,1.2457627118644068,20,0,0.473015873015873,0.21700404858299596,2.179755981994788,0.7897598357745913,13.900870093706178,2.179755981994788,2.179755981994788,1,1,1.225988700564972,1.2853107344632768,1.9581738655002732,0.7677419354838709,2.179755981994788,1.2457627118644068,1.2457627118644068,1.12,1.4000000000000001,4,control,2017
0.22,311,1.2299435028248589,20,0,0.4533762057877814,0.28825910931174087,1.5728079049098596,0.7394047756004652,62.860345925518956,1.5728079049098596,1.5728079049098596,1,1,1.1468926553672316,1.305084745762712,1.4305019305019304,0.8169934640522876,1.5728079049098596,1.2299435028248589,1.2299435028248589,1.0818181818181818,1.6674157303370787,4,control,2018
0.22,269,1.0608450704225352,20,0,0.4200743494423792,0.2105691056910569,1.9949476826800248,0.6788110016740295,25.778917616490485,1.9949476826800248,1.9949476826800248,1,1,1.0450704225352112,1.084507042253521,1.6565656565656566,0.696969696969697,1.9949476826800248,1.0608450704225352,1.0608450704225352,0.8590909090909091,1.240506329113924,4,control,2019
0.22,284,1.0893150684931505,20,0,0.4507042253521127,0.2674897119341564,1.6849404117009752,0.717761452031115,71.8494122883309,1.6849404117009752,1.6849404117009752,1,1,1.0164383561643835,1.1506849315068493,1.5093167701863355,0.6344086021505376,1.6849404117009752,1.0893150684931505,1.0893150684931505,0.9833333333333334,1.2461538461538462,4,control,2020
0.22,309,1.1884615384615385,20,0,0.4401294498381877,0.2314516129032258,1.9016045916353754,0.7527156129003951,48.13306562944289,1.9016045916353754,1.9016045916353754,1,1,1.1538461538461537,1.2307692307692308,1.7617486338797812,0.6875,1.9016045916353754,1.1884615384615385,1.1884615384615385,0.9123595505617977,1.5076923076923079,4,control,2021
0.22,354,1.4,20,0,0.4293785310734463,0.2777327935222672,1.5460130783548285,0.6469998954097975,77.40413272366052,1.5460130783548285,1.5460130783548285,1,1,1.364406779661017,1.4435028248587571,1.47704475308642,0.8424068767908309,1.5460130783548285,1.4,1.4,1.2227848101265824,1.6333333333333333,4,control,2022
0.22,314,1.2418079096045198,20,0,0.5859872611464968,0.3781376518218624,1.5496665257300288,0.7641584136331192,96.71800017324824,1.5496665257300288,1.5496665257300288,1,1,1.225988700564972,1.265536723163842,1.3812499999999999,0.8025889967637541,1.5496665257300288,1.2418079096045198,1.2418079096045198,1.0675,1.4477272727272728,4,control,2023
0.22,315,1.2457627118644068,20,0,0.5492063492063493,0.3379032258064516,1.6253362124483846,0.6762228959967906,69.07768827646522,1.6253362124483846,1.6253362124483846,1,1,1.1271186440677967,1.305084745762712,1.539247900693684,0.8258064516129032,1.6253362124483846,1.2457627118644068,1.2457627118644068,0.9068181818181819,1.940909090909091,4,control,2024
0.22,331,1.3053521126760563,20,0,0.4078549848942598,0.22186234817813766,1.8383244757095287,0.7406176656007657,41.709708520480184,1.8383244757095287,1.8383244757095287,1,1,1.2225352112676056,1.3408450704225352,1.6958208955223881,0.8496932515337423,1.8383244757095287,1.3053521126760563,1.3053521126760563,1.1384615384615384,1.6,4,control,2025
0.22,213,1.3253333333333333,20,0,0.6291079812206573,0.3401273885350318,1.8496245889820824,0.7497867048428846,117.24327829018004,1.8496245889820824,1.8496245889820824,1,1,1.2755555555555553,1.4,1.410783055198973,0.8605769230769231,1.8496245889820824,1.3253333333333333,1.3253333333333333,1.011111111111111,1.5636363636363635,3,control,2026
0.22,306,1.2101694915254237,20,0,0.5,0.21700404858299596,2.3041044776119404,0.7901707851641482,13.543494876918505,2.3041044776119404,2.3041044776119404,1,1,1.1468926553672316,1.265536723163842,2.0589052514587385,0.7674418604651163,2.3041044776119404,1.2101694915254237,1.2101694915254237,1.12,1.2886363636363636,4,gap_modifier,2017
0.22,309,1.2220338983050847,20,0,0.459546925566343,0.28825910931174087,1.594214755827061,0.7378708568214646,66.00715501018901,1.594214755827061,1.594214755827061,1,1,1.1666666666666667,1.305084745762712,1.3679663269827205,0.8256578947368421,1.594214755827061,1.2220338983050847,1.2220338983050847,1.05,1.6988764044943823,4,gap_modifier,2018
0.22,262,1.0332394366197182,20,0,0.42366412213740456,0.2105691056910569,2.0119956379498363,0.6765743233302451,24.854322614097196,2.0119956379498363,2.0119956379498363,1,1,0.9661971830985915,1.1042253521126761,1.6645299145299144,0.6653696498054474,2.0119956379498363,1.0332394366197182,1.0332394366197182,0.7954545454545455,1.1846153846153846,4,gap_modifier,2019
0.22,291,1.116164383561644,20,0,0.44673539518900346,0.2674897119341564,1.6701030927835052,0.7168349178910977,61.69716811258489,1.6701030927835052,1.6701030927835052,1,1,1.0356164383561643,1.16986301369863,1.5519528371407516,0.6608391608391608,1.6701030927835052,1.116164383561644,1.116164383561644,1.0,1.2615384615384615,4,gap_modifier,2020
0.22,302,1.1615384615384614,20,0,0.44039735099337746,0.2314516129032258,1.9027620739783555,0.7449298200072392,46.99044721692953,1.9027620739783555,1.9027620739783555,1,1,1.1153846153846154,1.1923076923076923,1.7333333333333334,0.6734006734006734,1.9027620739783555,1.1615384615384614,1.1615384615384614,0.9438202247191012,1.4307692307692308,4,gap_modifier,2021
0.22,369,1.459322033898305,20,0,0.42276422764227645,0.2777327935222672,1.5221977292659226,0.6505968178430885,88.28887746452575,1.5221977292659226,1.5221977292659226,1,1,1.4435028248587571,1.4830508474576272,1.4500978473581212,0.8461538461538461,1.5221977292659226,1.459322033898305,1.459322033898305,1.3384615384615384,1.5866666666666664,4,gap_modifier,2022
