candidate,breakdown,group,n_scope,n_signals,frequency,base_rate,hit_rate,lift,forward_benefit_bps
incumbent,overall,all,2020,535,1.2630691399662732,0.26782178217821784,0.5214953271028038,1.9471729403838514,85.28894873540864
incumbent,year,2025,1235,316,1.2461971830985916,0.22186234817813766,0.4588607594936709,2.068222766330962,64.1844585857615
incumbent,quarter,2025Q1,285,65,1.1666666666666667,0.15087719298245614,0.4307692307692308,2.855098389982111,20.185228231261572
incumbent,quarter,2025Q2,295,80,1.2727272727272727,0.16610169491525423,0.2875,1.7308673469387754,22.90562940794846
incumbent,quarter,2025Q3,330,95,1.4615384615384615,0.34545454545454546,0.5578947368421052,1.6149584487534625,104.69398198738985
incumbent,quarter,2025Q4,325,76,1.169230769230769,0.20923076923076922,0.5394736842105263,2.5783668730650158,94.62987416619372
incumbent,year,2026,785,219,1.3626666666666665,0.3401273885350318,0.6118721461187214,1.7989499427086006,115.74108977325565
incumbent,quarter,2026Q1,270,82,1.4909090909090907,0.2851851851851852,0.5121951219512195,1.7960088691796008,103.5618094525545
incumbent,quarter,2026Q2,310,69,1.0733333333333333,0.3032258064516129,0.5362318840579711,1.7684242984890535,104.29941692269712
incumbent,quarter,2026Q3,205,68,1.7,0.4682926829268293,0.8088235294117647,1.727175245098039,142.0378017289326
incumbent,currency,TJS,404,109,1.2866779089376055,0.2995049504950495,0.5871559633027523,1.9604215634240656,91.34079890739842
incumbent,currency,UZS,404,103,1.2158516020236088,0.2698019801980198,0.5048543689320388,1.871203349069208,84.46778786916629
incumbent,currency,KGS,404,106,1.2512647554806071,0.24257425742574257,0.5283018867924528,2.1778975741239894,84.08147880034109
incumbent,currency,AMD,404,110,1.2984822934232716,0.2623762376237624,0.5363636363636364,2.044253859348199,87.03467194066658
incumbent,currency,KZT,404,107,1.2630691399662732,0.26485148514851486,0.4485981308411215,1.693772381867412,79.3159595860148
revision_selected,overall,all,2020,525,1.239460370994941,0.26782178217821784,0.24761904761904763,0.9245664994278673,-17.613061918783785
revision_selected,year,2025,1235,330,1.3014084507042254,0.22186234817813766,0.1606060606060606,0.7238995797389958,-55.26978550794281
revision_selected,quarter,2025Q1,285,70,1.2564102564102564,0.15087719298245614,0.1,0.6627906976744187,-97.97173200581452
revision_selected,quarter,2025Q2,295,110,1.75,0.16610169491525423,0.11818181818181818,0.7115027829313544,-39.40276838454746
revision_selected,quarter,2025Q3,330,65,1.0,0.34545454545454546,0.4153846153846154,1.202429149797571,38.44445349656234
revision_selected,quarter,2025Q4,325,85,1.3076923076923077,0.20923076923076922,0.07058823529411765,0.3373702422145329,-112.30109331988758
revision_selected,year,2026,785,195,1.2133333333333332,0.3401273885350318,0.39487179487179486,1.1609526553346778,46.11370107825457
revision_selected,quarter,2026Q1,270,70,1.2727272727272727,0.2851851851851852,0.37142857142857144,1.302411873840445,77.82615170969501
revision_selected,quarter,2026Q2,310,80,1.2444444444444445,0.3032258064516129,0.3,0.9893617021276595,-5.690776201204119
revision_selected,quarter,2026Q3,205,45,1.125,0.4682926829268293,0.6,1.2812499999999998,88.88007081505155
revision_selected,currency,TJS,404,105,1.239460370994941,0.2995049504950495,0.2761904761904762,0.9221566312475404,-5.008903318607082
revision_selected,currency,UZS,404,105,1.239460370994941,0.2698019801980198,0.21904761904761905,0.8118829183049366,-23.168781157601035
revision_selected,currency,KGS,404,105,1.239460370994941,0.24257425742574257,0.24761904761904763,1.0207968901846454,-22.53158702004821
revision_selected,currency,AMD,404,105,1.239460370994941,0.2623762376237624,0.2571428571428571,0.980053908355795,-16.58575817593887
revision_selected,currency,KZT,404,105,1.239460370994941,0.26485148514851486,0.23809523809523808,0.8989764129951044,-20.770279921723727
incumbent95_revision5,overall,all,2020,522,1.2323777403035414,0.26782178217821784,0.5172413793103449,1.9312894384600676,81.6037019113095
incumbent95_revision5,year,2025,1235,320,1.2619718309859154,0.22186234817813766,0.453125,2.0423699817518246,60.446715924924106
incumbent95_revision5,quarter,2025Q1,285,64,1.1487179487179489,0.15087719298245614,0.40625,2.6925872093023258,5.869780859563429
incumbent95_revision5,quarter,2025Q2,295,84,1.3363636363636364,0.16610169491525423,0.2857142857142857,1.7201166180758019,20.163661864523128
incumbent95_revision5,quarter,2025Q3,330,94,1.4461538461538461,0.34545454545454546,0.574468085106383,1.6629339305711088,108.07113915413395
incumbent95_revision5,quarter,2025Q4,325,78,1.2,0.20923076923076922,0.5256410256410257,2.5122549019607847,91.21600569045023
incumbent95_revision5,year,2026,785,202,1.2568888888888887,0.3401273885350318,0.6188118811881188,1.819353283642971,115.11971931548437
incumbent95_revision5,quarter,2026Q1,270,75,1.3636363636363635,0.2851851851851852,0.5466666666666666,1.9168831168831166,102.82063527689455
incumbent95_revision5,quarter,2026Q2,310,66,1.0266666666666666,0.3032258064516129,0.5606060606060606,1.8488072211476465,113.81116589213771
incumbent95_revision5,quarter,2026Q3,205,61,1.525,0.4682926829268293,0.7704918032786885,1.6453210382513659,131.65735585376495
incumbent95_revision5,currency,TJS,404,108,1.2748735244519394,0.2995049504950495,0.5740740740740741,1.9167431894704623,87.12319863513939
incumbent95_revision5,currency,UZS,404,101,1.1922428330522767,0.2698019801980198,0.504950495049505,1.8715596330275228,83.58574194833139
incumbent95_revision5,currency,KGS,404,102,1.2040472175379429,0.24257425742574257,0.5196078431372549,2.1420568227290917,77.34925852047749
incumbent95_revision5,currency,AMD,404,107,1.2630691399662732,0.2623762376237624,0.5420560747663551,2.065949567977429,87.72595652113979
