candidate,period,horizon,case_lift,symmetric_benefit_bps,future_only_benefit_bps
long_selected,retrospective_2025,1,1.424653200292042,14.429085727365173,46.450835045999746
long_selected,retrospective_2025,3,1.6552202704310242,27.019236751364645,36.65474511300596
long_selected,retrospective_2025,5,1.517414703493095,34.52675341401683,28.47208993692309
long_selected,retrospective_2025,10,1.7362469437652812,47.813388931668975,13.174397466922544
long_selected,retrospective_2025,20,1.6453196213626269,56.56187925424446,-22.696577149758667
long_selected,retrospective_2026,1,1.4942068965517243,10.974370652743053,60.22046473824433
long_selected,retrospective_2026,3,1.6715726185257092,17.99439066237981,80.91129311267166
long_selected,retrospective_2026,5,1.7284832254705051,27.449934138484018,103.05889169564351
long_selected,retrospective_2026,10,1.7280458329603436,45.890439857093476,146.5113548194255
long_selected,retrospective_2026,20,1.5818789454140365,76.05484091469404,184.85650112209134
long_selected,combined_2025_2026,1,1.4562566711042022,13.004227791514479,52.12996218584531
long_selected,combined_2025_2026,3,1.6633803740039514,23.297041637740783,54.9078549262887
long_selected,combined_2025_2026,5,1.626703632935492,31.60799980119479,59.2345679126965
long_selected,combined_2025_2026,10,1.7314815926250464,47.020290459012635,68.16770884635093
long_selected,combined_2025_2026,20,1.605888855284998,64.19386932808149,58.565729766847
incumbent,retrospective_2025,1,1.6320081831250692,18.45935618673006,66.6909721255278
incumbent,retrospective_2025,3,2.036264528335886,34.24545115341266,70.17735775246841
incumbent,retrospective_2025,5,2.065574715958244,41.07254728398513,64.1844585857615
incumbent,retrospective_2025,10,2.164786532454009,49.02196414868605,45.90956617704427
incumbent,retrospective_2025,20,2.132987910189983,62.98428476592117,10.081362220821005
incumbent,retrospective_2026,1,1.612046152217635,17.35559496507539,75.46700153640572
incumbent,retrospective_2026,3,1.7884643114635903,27.082538428996706,97.80766158055724
incumbent,retrospective_2026,5,1.8030510798765853,33.91184360769942,115.74108977325565
incumbent,retrospective_2026,10,1.7482325630473778,44.1879314135016,149.0058434424759
incumbent,retrospective_2026,20,1.7154362416107383,82.34207651596454,193.49728753618788
incumbent,combined_2025_2026,1,1.6230036627345803,18.007536172632168,70.28340285633575
incumbent,combined_2025_2026,3,1.9134256869073194,31.313342954072297,81.4877064222842
incumbent,combined_2025_2026,5,1.9305707003955412,38.141343349206494,85.28894873540864
incumbent,combined_2025_2026,10,1.9265250031338068,47.07010942164931,87.53711963893554
incumbent,combined_2025_2026,20,1.8792155066718188,70.30061550609504,79.40391667072346
incumbent90_long10,retrospective_2025,1,1.6119785212722013,18.04038652709547,65.81364014999454
incumbent90_long10,retrospective_2025,3,2.005157875852171,34.52474951068854,69.25595750743759
incumbent90_long10,retrospective_2025,5,2.026797498135078,41.25738366837273,62.91091362129604
incumbent90_long10,retrospective_2025,10,2.152644749331263,50.11470442239767,44.345426992677965
incumbent90_long10,retrospective_2025,20,2.0547999471807743,62.67431559373851,5.033861260043259
incumbent90_long10,retrospective_2026,1,1.607160691101568,17.370336598866867,74.6937335585296
incumbent90_long10,retrospective_2026,3,1.7839695175886234,26.826474911395177,96.97824260099831
incumbent90_long10,retrospective_2026,5,1.8024092489287733,33.24891703510733,113.9038541433239
incumbent90_long10,retrospective_2026,10,1.7525096908855975,42.92998553728417,148.0847236122818
incumbent90_long10,retrospective_2026,20,1.7234933035714284,78.57766328733021,192.98554116226535
incumbent90_long10,combined_2025_2026,1,1.6097404205551966,17.757232459064443,69.56624792919334
incumbent90_long10,combined_2025_2026,3,1.8925522860459332,31.27156243047713,80.97102151783119
incumbent90_long10,combined_2025_2026,5,1.9084212860172587,37.873113615699545,84.45984294936609
incumbent90_long10,combined_2025_2026,10,1.9184895192501288,47.116669152322736,87.63369966299061
incumbent90_long10,combined_2025_2026,20,1.8486841596676158,68.91988317455517,78.84630260095425
incumbent75_long25,retrospective_2025,1,1.5820179552458797,18.4670952828945,64.74019277004551
incumbent75_long25,retrospective_2025,3,1.9745325878035993,37.60362512741481,68.88325482775126
incumbent75_long25,retrospective_2025,5,1.990040843730767,46.057385982044224,63.81325330974769
incumbent75_long25,retrospective_2025,10,2.1845518867924527,59.05730144803829,49.78162188102512
incumbent75_long25,retrospective_2025,20,2.101043948962495,71.25001412618224,9.827318774352571
incumbent75_long25,retrospective_2026,1,1.614474194800155,18.86231090284021,74.93068816267797
incumbent75_long25,retrospective_2026,3,1.7945820944829862,28.908407988869893,97.7099139731014
incumbent75_long25,retrospective_2026,5,1.8119651409280049,36.18228807973272,115.48464426960432
incumbent75_long25,retrospective_2026,10,1.7737486739319128,47.205516648544815,153.02597393243954
incumbent75_long25,retrospective_2026,20,1.7630229419703103,82.52284477784482,202.09673974231424
incumbent75_long25,combined_2025_2026,1,1.5971104615479306,18.634274987614898,69.05086250250419
incumbent75_long25,combined_2025_2026,3,1.8827866333878358,33.92547132898607,81.07718674941265
incumbent75_long25,combined_2025_2026,5,1.8959172392936947,41.880132179119535,85.67070895471359
incumbent75_long25,combined_2025_2026,10,1.9435529849024906,54.104948513964224,92.92301184536615
incumbent75_long25,combined_2025_2026,20,1.8900413635793143,75.69209609300839,85.59147722269434
