candidate,horizon,case_lift,symmetric_benefit_bps,future_only_benefit_bps
long_logit_direct_h5,1,1.3825340548609817,7.4646271847626755,35.941273331228096
long_logit_direct_h5,3,1.4838292367399741,19.36999094787422,54.40303070585595
long_logit_direct_h5,5,1.5441281272270357,28.890283631743046,65.18079483226123
long_logit_direct_h5,10,1.4352797252152636,33.23120508128756,72.39935340338147
long_logit_direct_h5,20,1.6161236143768891,52.48503784732061,90.02700475695207
long_logit_geometric,1,1.40406668594006,6.996355359786105,38.09797667254796
long_logit_geometric,3,1.5165408006415824,17.718522380699444,55.618177962618574
long_logit_geometric,5,1.5670039151839363,27.476884891762314,67.96712565737867
long_logit_geometric,10,1.4115586690017512,29.46590666491419,68.55101777813647
long_logit_geometric,20,1.6532185264912158,42.17070428721239,83.46494303580793
long_logit_harmonic,1,1.295463796300484,6.118405994722021,31.763424126918753
long_logit_harmonic,3,1.39976795961243,15.524825828822308,46.11976102823956
long_logit_harmonic,5,1.4519800720026184,24.630657162982747,59.89944965991542
long_logit_harmonic,10,1.3241454844156435,30.891493078551353,71.16595980448034
long_logit_harmonic,20,1.4694621695533274,45.09008544605857,89.58809203473389
long_logit_minimum,1,1.2449223918842285,5.247031272831659,28.416430618984634
long_logit_minimum,3,1.3501018922852985,14.19910082711559,44.2267002237871
long_logit_minimum,5,1.397772527843402,23.523409958409097,60.859582556417294
long_logit_minimum,10,1.291393251767495,33.33494675405904,78.28010511435679
long_logit_minimum,20,1.3791102514506768,49.730409741308804,103.25929558024475
long_logit_weighted,1,1.3781346393840213,8.827353649943005,37.568177884035926
long_logit_weighted,3,1.4814427941896524,20.368763265273454,53.96136623084683
long_logit_weighted,5,1.5395563630857751,30.665906863967198,66.91032479565445
long_logit_weighted,10,1.4132396238959066,37.09088966662343,74.66185699299653
long_logit_weighted,20,1.6319109965402618,53.249234220188455,92.77266602711796
long_extra_direct_h5,1,1.4079531691562372,-5.1838878189071105,36.917537689255894
long_extra_direct_h5,3,1.5360604682086991,-2.3802761686864593,43.41273429409218
long_extra_direct_h5,5,1.5501258219011285,1.5489947913056912,49.74735752104288
long_extra_direct_h5,10,1.4646912071686777,4.815451130287183,59.86728468933151
long_extra_direct_h5,20,1.405711794201003,14.942139375509353,67.55008541845585
long_extra_geometric,1,1.4184355200552228,-4.420182232622263,37.511570373086855
long_extra_geometric,3,1.526728000273607,4.748601666947976,53.00749644853395
long_extra_geometric,5,1.5449567494643281,12.55343196013531,61.58171854268818
long_extra_geometric,10,1.4695015684907633,22.67717595057339,76.43359894345468
long_extra_geometric,20,1.5327129359948852,42.273593791356326,91.06269515031984
long_extra_weighted,1,1.3883961029518685,-3.481161845801181,37.38412280869442
long_extra_weighted,3,1.4749504384933305,4.028085729116639,50.09576067995006
long_extra_weighted,5,1.4785488836067493,11.196225548451354,55.15458173912298
long_extra_weighted,10,1.4303030303030304,21.083876571236388,67.0044606001753
long_extra_weighted,20,1.6436444816520164,46.99607120181119,94.0486756823512
long_logit_geometric_stale20,1,1.1144043755531854,-0.2583857889043221,25.010397141481253
long_logit_geometric_stale20,3,1.1245748834865852,6.766450252926965,35.92016261289435
long_logit_geometric_stale20,5,1.1689137345171545,19.53365605131133,56.04591658010481
long_logit_geometric_stale20,10,1.0915593049378753,43.26385906825998,75.02965744198158
long_logit_geometric_stale20,20,0.8756947623095535,39.37922063565869,63.83507540908563
