kind,quarter,n_train,last_resolved,regime_weight_mean,n_features,objective
logit,2024-01-01,1135,2023-12-30,0.6947882325850797,42,equal
logit,2024-04-01,1420,2024-03-30,0.6441067737488431,42,equal
logit,2024-07-01,1720,2024-06-29,0.30876763344003105,42,equal
logit,2024-10-01,2045,2024-09-28,0.5532609602055389,42,equal
logit,2025-01-01,2375,2024-12-29,0.5077519156738639,42,equal
logit,2025-04-01,2660,2025-03-29,0.7607418516849122,42,equal
logit,2025-07-01,2955,2025-06-28,0.6952657211309766,42,equal
logit,2025-10-01,3285,2025-09-30,0.5536397971448406,42,equal
logit,2026-01-01,3610,2025-12-31,0.5041773751282359,42,equal
logit,2026-04-01,3880,2026-03-31,0.669982951008658,42,equal
logit,2026-07-01,4190,2026-06-30,0.49899798702562775,42,equal
hist,2024-01-01,1135,2023-12-30,0.5466561449919815,42,equal
hist,2024-04-01,1420,2024-03-30,0.6052442325332128,42,equal
hist,2024-07-01,1720,2024-06-29,0.4177711039309595,42,equal
hist,2024-10-01,2045,2024-09-28,0.5538041102753263,42,equal
hist,2025-01-01,2375,2024-12-29,0.5402646378876373,42,equal
hist,2025-04-01,2660,2025-03-29,0.6550275083962567,42,equal
hist,2025-07-01,2955,2025-06-28,0.6170484001779166,42,equal
hist,2025-10-01,3285,2025-09-30,0.5698648000968757,42,equal
hist,2026-01-01,3610,2025-12-31,0.5276781077704666,42,equal
hist,2026-04-01,3880,2026-03-31,0.6254079690556874,42,equal
hist,2026-07-01,4190,2026-06-30,0.560565227468914,42,equal
tree,2024-01-01,1135,2023-12-30,0.5716383490377297,42,equal
tree,2024-04-01,1420,2024-03-30,0.612691438111317,42,equal
tree,2024-07-01,1720,2024-06-29,0.44795596547341354,42,equal
tree,2024-10-01,2045,2024-09-28,0.5626662458046241,42,equal
tree,2025-01-01,2375,2024-12-29,0.5339223645078577,42,equal
tree,2025-04-01,2660,2025-03-29,0.6460630962252693,42,equal
tree,2025-07-01,2955,2025-06-28,0.5922922968806997,42,equal
tree,2025-10-01,3285,2025-09-30,0.5530312426699173,42,equal
tree,2026-01-01,3610,2025-12-31,0.5211350117056585,42,equal
tree,2026-04-01,3880,2026-03-31,0.6364356622428404,42,equal
tree,2026-07-01,4190,2026-06-30,0.5482912162448647,42,equal
logit,2024-01-01,1135,2023-12-30,0.6861015766413477,42,tail
logit,2024-04-01,1420,2024-03-30,0.6646373360163701,42,tail
logit,2024-07-01,1720,2024-06-29,0.2998289852856221,42,tail
logit,2024-10-01,2045,2024-09-28,0.5571750810199658,42,tail
logit,2025-01-01,2375,2024-12-29,0.4730960734023996,42,tail
logit,2025-04-01,2660,2025-03-29,0.7776462746564249,42,tail
logit,2025-07-01,2955,2025-06-28,0.7359290678226954,42,tail
logit,2025-10-01,3285,2025-09-30,0.5955093259145945,42,tail
logit,2026-01-01,3610,2025-12-31,0.5193001984323508,42,tail
logit,2026-04-01,3880,2026-03-31,0.7279360820753555,42,tail
logit,2026-07-01,4190,2026-06-30,0.5305487258176156,42,tail
hist,2024-01-01,1135,2023-12-30,0.51698015132506,42,tail
hist,2024-04-01,1420,2024-03-30,0.6353553415371005,42,tail
hist,2024-07-01,1720,2024-06-29,0.39114507902486745,42,tail
hist,2024-10-01,2045,2024-09-28,0.564438619791422,42,tail
hist,2025-01-01,2375,2024-12-29,0.5083183836308041,42,tail
hist,2025-04-01,2660,2025-03-29,0.6956332262095639,42,tail
hist,2025-07-01,2955,2025-06-28,0.6536296209955608,42,tail
hist,2025-10-01,3285,2025-09-30,0.6044528580982715,42,tail
hist,2026-01-01,3610,2025-12-31,0.549110347079013,42,tail
hist,2026-04-01,3880,2026-03-31,0.6935185501012449,42,tail
hist,2026-07-01,4190,2026-06-30,0.6097756659331706,42,tail
tree,2024-01-01,1135,2023-12-30,0.5702937726024857,42,tail
tree,2024-04-01,1420,2024-03-30,0.622407931121047,42,tail
tree,2024-07-01,1720,2024-06-29,0.44265615748330445,42,tail
tree,2024-10-01,2045,2024-09-28,0.5723688483443131,42,tail
tree,2025-01-01,2375,2024-12-29,0.5570227270237851,42,tail
tree,2025-04-01,2660,2025-03-29,0.6877231712940801,42,tail
tree,2025-07-01,2955,2025-06-28,0.609796897489397,42,tail
tree,2025-10-01,3285,2025-09-30,0.6076665848787334,42,tail
tree,2026-01-01,3610,2025-12-31,0.5933008385531394,42,tail
tree,2026-04-01,3880,2026-03-31,0.6757233956839579,42,tail
tree,2026-07-01,4190,2026-06-30,0.5633741106850975,42,tail
logit,2024-01-01,1035,2023-12-30,0.6055608332907604,42,equal_stale20
logit,2024-04-01,1320,2024-03-30,0.5549409166881678,42,equal_stale20
logit,2024-07-01,1620,2024-06-29,0.41761989561655616,42,equal_stale20
logit,2024-10-01,1945,2024-09-28,0.6284711953477411,42,equal_stale20
logit,2025-01-01,2275,2024-12-29,0.584796313049488,42,equal_stale20
logit,2025-04-01,2560,2025-03-29,0.6937177306761518,42,equal_stale20
logit,2025-07-01,2855,2025-06-28,0.40065144520376034,42,equal_stale20
logit,2025-10-01,3185,2025-09-30,0.5104785249643331,42,equal_stale20
logit,2026-01-01,3510,2025-12-31,0.568474165221278,42,equal_stale20
logit,2026-04-01,3780,2026-03-31,0.6075247984879816,42,equal_stale20
logit,2026-07-01,4090,2026-06-30,0.45550614085086677,42,equal_stale20
