period,policy,observed_lift,circular_shift_p_unadjusted,circular_shift_p_max_adjusted,n_recorded_policies,observed_max_lift,null_max_lift_q95
cba_geometry_router_h5,incumbent,1.9471729403838514,0.00024993751562109475,0.00024993751562109475,16,1.9471729403838514,1.2350897530598035
cba_geometry_router_h5,geometry,1.9271361278397232,0.00024993751562109475,0.00024993751562109475,16,1.9471729403838514,1.2350897530598035
cba_geometry_router_h5,incumbent50_geometry50,1.9204574773010816,0.00024993751562109475,0.00024993751562109475,16,1.9471729403838514,1.2350897530598035
cba_geometry_router_h5,router_equal_logit_soft,1.90161411127679,0.00024993751562109475,0.00024993751562109475,16,1.9471729403838514,1.2350897530598035
cba_geometry_router_h5,router_equal_logit_hard,1.920444682951391,0.00024993751562109475,0.00024993751562109475,16,1.9471729403838514,1.2350897530598035
cba_geometry_router_h5,router_equal_hist_soft,1.905442287751471,0.00024993751562109475,0.00024993751562109475,16,1.9471729403838514,1.2350897530598035
cba_geometry_router_h5,router_equal_hist_hard,1.9245129842900321,0.00024993751562109475,0.00024993751562109475,16,1.9471729403838514,1.2350897530598035
cba_geometry_router_h5,router_equal_tree_soft,1.9051552921171566,0.00024993751562109475,0.00024993751562109475,16,1.9471729403838514,1.2350897530598035
cba_geometry_router_h5,router_equal_tree_hard,1.9182960538588072,0.00024993751562109475,0.00024993751562109475,16,1.9471729403838514,1.2350897530598035
cba_geometry_router_h5,router_tail_logit_soft,1.898086070254013,0.00024993751562109475,0.00024993751562109475,16,1.9471729403838514,1.2350897530598035
cba_geometry_router_h5,router_tail_logit_hard,1.9243046665307364,0.00024993751562109475,0.00024993751562109475,16,1.9471729403838514,1.2350897530598035
cba_geometry_router_h5,router_tail_hist_soft,1.9158584117357924,0.00024993751562109475,0.00024993751562109475,16,1.9471729403838514,1.2350897530598035
cba_geometry_router_h5,router_tail_hist_hard,1.9080950309883655,0.00024993751562109475,0.00024993751562109475,16,1.9471729403838514,1.2350897530598035
cba_geometry_router_h5,router_tail_tree_soft,1.9122773679755385,0.00024993751562109475,0.00024993751562109475,16,1.9471729403838514,1.2350897530598035
cba_geometry_router_h5,router_tail_tree_hard,1.9182960538588072,0.00024993751562109475,0.00024993751562109475,16,1.9471729403838514,1.2350897530598035
cba_geometry_router_h5,router_equal_logit_soft_stale20,1.9129660092526664,0.00024993751562109475,0.00024993751562109475,16,1.9471729403838514,1.2350897530598035
