hypothesis,subset,n,share,target_rate,lift,benefit_bps
regime_freshness,control,525,0.2599009900990099,0.41523809523809524,1.5504268990405774,54.92390220010046
regime_freshness,challenger,521,0.25792079207920793,0.4740882917466411,1.7701633074458687,59.848705599427525
regime_freshness,intersection,303,0.15,0.4884488448844885,1.8237831176833026,74.77069019704616
regime_freshness,control_only,222,0.1099009900990099,0.3153153153153153,1.177332600622804,27.835718582647505
regime_freshness,challenger_only,218,0.10792079207920792,0.4541284403669725,1.6956366904644813,39.108515998150224
regime_freshness,neither,1277,0.6321782178217822,0.1754111198120595,0.654954643290869,-40.524237761075845
logit_stack_increment,control,544,0.2693069306930693,0.4944852941176471,1.8463221702729151,71.28443344868988
logit_stack_increment,challenger,531,0.2628712871287129,0.519774011299435,1.9407458462566705,81.68743814660326
logit_stack_increment,intersection,480,0.2376237623762376,0.5020833333333333,1.8746919285274182,79.84771780286647
logit_stack_increment,control_only,64,0.031683168316831684,0.4375,1.6335489833641403,7.0598007923654595
logit_stack_increment,challenger_only,51,0.02524752475247525,0.6862745098039216,2.5624297778261025,99.00245314647877
logit_stack_increment,neither,1425,0.7054455445544554,0.16631578947368422,0.6209942601420372,-40.85375676126463
hist_stack_increment,control,544,0.2693069306930693,0.4944852941176471,1.8463221702729151,71.28443344868988
hist_stack_increment,challenger,525,0.2599009900990099,0.5104761904761905,1.9060293988205264,77.60524211843618
hist_stack_increment,intersection,480,0.2376237623762376,0.5083333333333333,1.8980283425754774,79.6630796018043
hist_stack_increment,control_only,64,0.031683168316831684,0.390625,1.4585258780036967,8.444587300331744
hist_stack_increment,challenger_only,45,0.022277227722772276,0.5333333333333333,1.991373998767714,55.65497562917625
hist_stack_increment,neither,1431,0.7084158415841584,0.17330538085255065,0.6470921798930727,-38.9042293344826
