clock,candidate,mean_brier,max_brier,mean_auc,min_auc,mean_ece
early_0730,cny_rank,0.21817692831163785,0.27798961678153367,0.43816490529406965,0.40241844769403823,0.14237167170261744
early_0730,history_hist,0.19123358261678605,0.24495833786057442,0.514857570778806,0.3764302813796627,0.03233408373821295
early_0730,hybrid_hgb,0.18735685698191884,0.24304818051995905,0.569757689230598,0.429562376131555,0.026220500381718737
early_0800,cny_rank,0.21555602259743187,0.2772073825010464,0.43011150414924365,0.390325998344649,0.13495741500441744
early_0800,history_hist,0.19123358261678605,0.24495833786057442,0.514857570778806,0.3764302813796627,0.03233408373821295
early_0800,hybrid_hgb,0.18787293945866107,0.24366650330868506,0.5662750837057019,0.4276876104772618,0.02355215518997608
early_0830,cny_rank,0.21528678414007585,0.27761894508612606,0.43051639604781966,0.3908246261458327,0.1337708827272553
early_0830,history_hist,0.19123358261678605,0.24495833786057442,0.514857570778806,0.3764302813796627,0.03233408373821295
early_0830,hybrid_hgb,0.18841916252586213,0.24464362672926246,0.5610652510979819,0.4312991095893233,0.023378657475154135
early_0900,cny_rank,0.21495767203488675,0.27773812391040775,0.42863012608299245,0.3832985356989501,0.13244621885828634
early_0900,history_hist,0.19123358261678605,0.24495833786057442,0.514857570778806,0.3764302813796627,0.03233408373821295
early_0900,hybrid_hgb,0.1876765705126776,0.24331042594149904,0.5685440464495344,0.4350836639925504,0.022502337429060233
early_0930,cny_rank,0.21317153515734216,0.2767923973030709,0.4202271323999963,0.36998882949262873,0.12644916914721038
early_0930,history_hist,0.19123358261678605,0.24495833786057442,0.514857570778806,0.3764302813796627,0.03233408373821295
early_0930,hybrid_hgb,0.1879010020755119,0.24404817543257248,0.5644714455099448,0.4232643996423524,0.024600913908463647
early_1000,cny_rank,0.16540416098537708,0.19430629486787304,0.7152856306979516,0.6299655537563299,0.04627920030583443
early_1000,history_hist,0.19123358261678605,0.24495833786057442,0.514857570778806,0.3764302813796627,0.03233408373821295
early_1000,hybrid_hgb,0.1637787332429116,0.19139273413241592,0.69581238627422,0.5196912199161918,0.028370839309144226
