clock,candidate,h,origin,n_train,n_positive,weighted_prior,n_query,constant_prediction,intercept,coefficients,last_target_maturity,min_train_date
early_0730,history_hist,1,2023-01-01,0,0,0.5,280,True,0.0,[],,2022-02-24
early_0730,history_hist,1,2023-04-01,265,166,0.6271075723359139,305,False,0.3800678544747304,"[0.39304969945756457, -0.1018797663287108, 0.03422236619315462, -0.09514886369383092, 0.21858909896611353, -0.04770028824254956]",2023-03-29,2022-02-24
early_0730,history_hist,1,2023-07-01,570,340,0.5959699680195713,330,False,0.17578582263608386,"[0.5742927410643895, -0.033914452262802895, 0.0602954707877825, -0.06671223723473305, 0.11572129880888853, 0.0811450382110963]",2023-06-28,2022-02-24
early_0730,history_hist,1,2023-10-01,900,544,0.6046294279664249,320,False,0.23493673834773837,"[0.6510540893160947, 0.036424300761854926, -0.002592304770945221, 0.04212890150104144, 0.1792820642555305, -0.03454080884822669]",2023-09-28,2022-02-24
early_0730,history_hist,1,2024-01-01,1225,694,0.561658819661889,285,False,0.06880284126456146,"[0.49077316746890953, 0.004010657332493212, -0.011011306904062781, -0.010977700414781666, 0.028855507024431817, 0.054467230474030764]",2023-12-29,2022-02-24
early_0730,history_hist,1,2024-04-01,1510,853,0.56112265328675,300,False,0.06921017920345394,"[0.49977930558334166, 0.004740429231008537, 0.009731728008533641, -0.008496799151666047, 0.021385291576574404, 0.038948597377422636]",2024-03-29,2022-02-24
early_0730,history_hist,1,2024-07-01,1810,993,0.5416688446128535,325,False,0.02986682557787124,"[0.45661840301659357, -0.012671135935219919, -0.03700569338238885, -0.011801737114635245, 0.04250732413760766, 0.04754819340088556]",2024-06-28,2022-02-24
early_0730,history_hist,1,2024-10-01,2140,1183,0.5484719746228418,330,False,0.06288866688998235,"[0.40059365044053585, -0.015502783906846278, -0.0326797238745334, 0.0429385123956834, 0.06638466630550077, -0.0003329129989004684]",2024-09-28,2022-02-24
early_0730,history_hist,1,2025-01-01,2470,1369,0.550746503843964,285,False,0.06108055744702552,"[0.43574382465513095, 0.015643134749789026, -0.010217575071920164, 0.03994258324058475, 0.049514453007945006, -0.03568972990427033]",2024-12-29,2022-02-24
early_0730,history_hist,1,2025-04-01,2755,1482,0.5287753946933379,295,False,-0.0019254599937646413,"[0.508539504494982, 0.003913080425968803, -0.027168681824973277, 0.0032761861157291914, 0.026287791246801417, -0.008495284834883219]",2025-03-29,2022-02-24
early_0730,history_hist,1,2025-07-01,3050,1613,0.5173067096602852,330,False,-0.015135812662523453,"[0.4943027601613993, 0.0855853855475603, -0.02643342669159738, -0.05561776038090245, 0.006547581117456273, -0.025049211249690978]",2025-06-28,2022-02-24
early_0730,history_hist,1,2025-10-01,3375,1809,0.5296435475937666,325,False,0.014206635940282583,"[0.5025146558861538, 0.09400329260823448, -0.01694280723812489, -0.023923131916675115, 0.02536755382552149, -0.06493342377662803]",2025-09-27,2022-02-24
early_0730,history_hist,1,2026-01-01,3695,1937,0.5124544652580139,270,False,-0.027281381072751403,"[0.534270830542857, 0.06698271847921267, -0.014481049823551263, -0.0622345254438578, 0.006868164514195912, -0.023928074384480292]",2025-12-27,2022-02-24
early_0730,history_hist,1,2026-04-01,3970,2081,0.5138306035648486,310,False,-0.00139632621205734,"[0.47063364084472936, 0.050810802021278294, -0.008187848168127386, -0.06601072632176487, 0.027821523618031148, -0.0059307331549676235]",2026-03-28,2022-02-24
early_0730,history_hist,1,2026-07-01,4280,2231,0.5107816998411556,230,False,0.002089441464094223,"[0.46284389312039464, 0.04482456706695237, 0.019050052365137182, -0.08822156930531423, 0.023599807415363664, 0.002689631259567718]",2026-06-27,2022-02-24
early_0730,cny_rank,1,2023-01-01,1060,521,0.5001386579556547,280,False,-0.24479077935793236,"[0.12940539452352873, 0.09238025711053904, -0.1011369821524671, -0.05604592757591048, 0.009444322006537402, -0.17857652088303175]",2022-12-29,2022-02-24
early_0730,cny_rank,1,2023-04-01,1340,692,0.5271279726756413,305,False,-0.07676799654153679,"[0.10973838853100547, 0.07114647964540932, -0.04331188551838453, -0.041866638166204076, 0.07730003791179536, -0.13775827144303385]",2023-03-29,2022-02-24
early_0730,cny_rank,1,2023-07-01,1645,866,0.5368781053141253,330,False,-0.07845052021520463,"[0.1591326766349792, 0.05641501091076981, -0.034128015934244804, -0.048170074976257866, 0.06036081997615971, -0.11091173257572769]",2023-06-28,2022-02-24
early_0730,cny_rank,1,2023-10-01,1975,1070,0.5537010690152834,320,False,0.0004387279959542662,"[0.1853635068870137, 0.07434655439625319, -0.03885379363356051, 0.0024086325445991296, 0.1036720098353696, -0.14124134579819245]",2023-09-28,2022-02-24
early_0730,cny_rank,1,2024-01-01,2300,1220,0.5367216198398527,285,False,-0.07223311646837273,"[0.24995177627375426, 0.05922557511574233, -0.04735894173222534, -0.01303911470139033, 0.014008666755667289, -0.08344151971519681]",2023-12-29,2022-02-24
early_0730,cny_rank,1,2024-04-01,2585,1379,0.540081234024251,300,False,-0.0387597931720173,"[0.2747940265743079, 0.05786216765816309, -0.02253829852963139, -0.004333075071724964, 0.018945682290152432, -0.08786876196320649]",2024-03-29,2022-02-24
early_0730,cny_rank,1,2024-07-01,2885,1519,0.5291862141819745,325,False,-0.057283650234619274,"[0.29973695114572374, 0.03530222247979067, -0.054859154457008924, -0.007531305594446419, 0.031024770631039936, -0.06009979144948139]",2024-06-28,2022-02-24
early_0730,cny_rank,1,2024-10-01,3215,1709,0.5362125890750702,330,False,-0.024894305230607726,"[0.298602857188792, 0.025006369602599596, -0.051863634227887666, 0.036240524646848495, 0.05089890774645631, -0.08478284179420109]",2024-09-28,2022-02-24
early_0730,cny_rank,1,2025-01-01,3545,1895,0.5397306043579462,285,False,-0.02831759547728508,"[0.2922978094538519, 0.044869327080363654, -0.029797760521118766, 0.03638555245645074, 0.039778592604332405, -0.11911463111482043]",2024-12-29,2022-02-24
early_0730,cny_rank,1,2025-04-01,3830,2008,0.5230572782554305,295,False,-0.09029801591483833,"[0.24587556977848454, 0.029265443095271553, -0.04379242052429572, 0.004741523844056297, 0.016478048049727842, -0.09555224473002936]",2025-03-29,2022-02-24
early_0730,cny_rank,1,2025-07-01,4125,2139,0.5141024443810583,330,False,-0.052990139868760826,"[0.09168317470182905, 0.09219325103487629, -0.03395595056224745, -0.032389996338423176, 0.009354005621523508, -0.08742484175337037]",2025-06-28,2022-02-24
early_0730,cny_rank,1,2025-10-01,4450,2335,0.5250827703528255,325,False,-0.02261595626198797,"[0.045488977349786894, 0.10587650405959219, -0.026113032059379118, -0.010321596587745863, 0.026308760228104355, -0.11813075910367478]",2025-09-27,2022-02-24
early_0730,cny_rank,1,2026-01-01,4770,2463,0.5105758396565354,270,False,1.6817825893067786e-06,"[0.010287075107365363, 0.09372531575414032, -0.016385892707082825, -0.03168571989051733, 0.02284541785587096, -0.06849707717541291]",2025-12-27,2022-02-24
early_0730,cny_rank,1,2026-04-01,5045,2607,0.5119813835553849,310,False,0.0004988011903891557,"[0.009326650548782393, 0.07074156034851532, -0.012854633444128941, -0.04069551776053282, 0.0356261978279115, -0.05232736301268571]",2026-03-28,2022-02-24
early_0730,cny_rank,1,2026-07-01,5355,2757,0.5094385047944854,230,False,0.002796497741972981,"[0.005721360064199093, 0.06414051145368242, 0.009479256668866226, -0.06278915330220271, 0.032270933284180625, -0.04035184760042372]",2026-06-27,2022-02-24
early_0730,hybrid_hgb,1,2023-01-01,0,0,0.5,280,True,0.0,[],,2022-02-24
early_0730,hybrid_hgb,1,2023-04-01,265,166,0.6271075723359139,305,False,0.4486981112503307,"[0.7278427205506379, -0.1372970356728019, 0.04043339990770406, -0.12313278367094956, 0.23510235984820585, -0.015212435740823663]",2023-03-29,2022-02-24
early_0730,hybrid_hgb,1,2023-07-01,570,340,0.5959699680195713,330,False,0.17613323997491412,"[0.8191133364167502, -0.04166588624703759, 0.06738960652052453, -0.07327980737538736, 0.1454556810669011, 0.06109594299634522]",2023-06-28,2022-02-24
early_0730,hybrid_hgb,1,2023-10-01,900,544,0.6046294279664249,320,False,0.3126047874711546,"[0.8917350732027179, 0.048020816404798, 0.0064431292206550165, 0.06537910762139885, 0.2375922450856599, -0.06835193598733862]",2023-09-28,2022-02-24
early_0730,hybrid_hgb,1,2024-01-01,1225,694,0.561658819661889,285,False,0.09718375162823154,"[0.8826944572964005, 0.01900987160045089, -0.023667689884006297, 0.005135001288132838, 0.022619306411655344, 0.06856749049639117]",2023-12-29,2022-02-24
early_0730,hybrid_hgb,1,2024-04-01,1510,853,0.56112265328675,300,False,0.10958447258458391,"[0.9096787394032338, 0.018341076661084126, 0.013509800126437847, 0.0069648152187411876, 0.013681330343871145, 0.05166124836325227]",2024-03-29,2022-02-24
early_0730,hybrid_hgb,1,2024-07-01,1810,993,0.5416688446128535,325,False,0.112057666611444,"[0.9007257683904896, -0.0014540725669600222, -0.03701586160650636, 0.005165849601272111, 0.05742758029201203, 0.08316889413680999]",2024-06-28,2022-02-24
early_0730,hybrid_hgb,1,2024-10-01,2140,1183,0.5484719746228418,330,False,0.06923334701494148,"[0.8109808327859861, -0.02117818196522771, -0.04374297119386193, 0.047611757979651156, 0.0787252313970418, 0.005064913509878661]",2024-09-28,2022-02-24
early_0730,hybrid_hgb,1,2025-01-01,2470,1369,0.550746503843964,285,False,0.03395482835392115,"[0.8071330474336124, 0.0042976996507224806, -0.027311149488589467, 0.03645994075974793, 0.043993652731621626, -0.02493553297115079]",2024-12-29,2022-02-24
early_0730,hybrid_hgb,1,2025-04-01,2755,1482,0.5287753946933379,295,False,0.008298846456472216,"[0.8145561934200501, 0.0005639542591047413, -0.04048335098428505, 0.0057850581770419246, 0.021844743899489035, 0.020128855542987763]",2025-03-29,2022-02-24
early_0730,hybrid_hgb,1,2025-07-01,3050,1613,0.5173067096602852,330,False,0.001006690324202807,"[0.8016210420209264, 0.10398516018326198, -0.04072455013681593, -0.06510409623405652, 0.007927105155231835, -0.005212939526363586]",2025-06-28,2022-02-24
early_0730,hybrid_hgb,1,2025-10-01,3375,1809,0.5296435475937666,325,False,0.010621160734738396,"[0.7916211393977898, 0.10670987733242138, -0.02393446380377321, -0.04129516427123122, 0.019834195022374074, -0.05113964160595063]",2025-09-27,2022-02-24
