candidate,quarter,n_train,n_test,n_features,first_train,last_resolved
target_analogue_lcb,2023-01-01,1050,280,12,2022-02-25,2022-12-31
target_analogue_lcb,2023-04-01,1330,305,12,2022-02-25,2023-03-31
target_analogue_lcb,2023-07-01,1635,330,12,2022-02-25,2023-06-30
target_analogue_lcb,2023-10-01,1965,320,12,2022-02-25,2023-09-30
target_analogue_lcb,2024-01-01,2285,285,12,2022-02-25,2023-12-30
target_analogue_lcb,2024-04-01,2570,300,12,2022-02-25,2024-03-30
target_analogue_lcb,2024-07-01,2870,325,12,2022-02-25,2024-06-29
target_analogue_lcb,2024-10-01,3195,330,12,2022-02-25,2024-09-28
target_analogue_lcb,2025-01-01,3525,285,12,2022-02-25,2024-12-29
target_analogue_lcb,2025-04-01,3810,295,12,2022-02-25,2025-03-29
target_analogue_lcb,2025-07-01,4105,330,12,2022-02-25,2025-06-28
target_analogue_lcb,2025-10-01,4435,325,12,2022-02-25,2025-09-30
target_analogue_lcb,2026-01-01,4760,270,12,2022-02-25,2025-12-31
target_analogue_lcb,2026-04-01,5030,310,12,2022-02-25,2026-03-31
target_analogue_lcb,2026-07-01,5340,205,12,2022-02-25,2026-06-30
cny_analogue_lcb,2023-01-01,1050,280,13,2022-02-25,2022-12-31
cny_analogue_lcb,2023-04-01,1330,305,13,2022-02-25,2023-03-31
cny_analogue_lcb,2023-07-01,1635,330,13,2022-02-25,2023-06-30
cny_analogue_lcb,2023-10-01,1965,320,13,2022-02-25,2023-09-30
cny_analogue_lcb,2024-01-01,2285,285,13,2022-02-25,2023-12-30
cny_analogue_lcb,2024-04-01,2570,300,13,2022-02-25,2024-03-30
cny_analogue_lcb,2024-07-01,2870,325,13,2022-02-25,2024-06-29
cny_analogue_lcb,2024-10-01,3195,330,13,2022-02-25,2024-09-28
cny_analogue_lcb,2025-01-01,3525,285,13,2022-02-25,2024-12-29
cny_analogue_lcb,2025-04-01,3810,295,13,2022-02-25,2025-03-29
cny_analogue_lcb,2025-07-01,4105,330,13,2022-02-25,2025-06-28
cny_analogue_lcb,2025-10-01,4435,325,13,2022-02-25,2025-09-30
cny_analogue_lcb,2026-01-01,4760,270,13,2022-02-25,2025-12-31
cny_analogue_lcb,2026-04-01,5030,310,13,2022-02-25,2026-03-31
cny_analogue_lcb,2026-07-01,5340,205,13,2022-02-25,2026-06-30
joint_analogue_lcb,2023-01-01,1050,280,25,2022-02-25,2022-12-31
joint_analogue_lcb,2023-04-01,1330,305,25,2022-02-25,2023-03-31
joint_analogue_lcb,2023-07-01,1635,330,25,2022-02-25,2023-06-30
joint_analogue_lcb,2023-10-01,1965,320,25,2022-02-25,2023-09-30
joint_analogue_lcb,2024-01-01,2285,285,25,2022-02-25,2023-12-30
joint_analogue_lcb,2024-04-01,2570,300,25,2022-02-25,2024-03-30
joint_analogue_lcb,2024-07-01,2870,325,25,2022-02-25,2024-06-29
joint_analogue_lcb,2024-10-01,3195,330,25,2022-02-25,2024-09-28
joint_analogue_lcb,2025-01-01,3525,285,25,2022-02-25,2024-12-29
joint_analogue_lcb,2025-04-01,3810,295,25,2022-02-25,2025-03-29
joint_analogue_lcb,2025-07-01,4105,330,25,2022-02-25,2025-06-28
joint_analogue_lcb,2025-10-01,4435,325,25,2022-02-25,2025-09-30
joint_analogue_lcb,2026-01-01,4760,270,25,2022-02-25,2025-12-31
joint_analogue_lcb,2026-04-01,5030,310,25,2022-02-25,2026-03-31
joint_analogue_lcb,2026-07-01,5340,205,25,2022-02-25,2026-06-30
