model,currency,year,feature,min,mean,max
context_logit,ALL,2022,announced_range20,-0.6270619390039246,-0.4064510461298476,-0.2495523188652676
context_logit,ALL,2022,announced_range90,-0.4051998748456951,-0.18030047231492843,-0.0427222374838818
context_logit,ALL,2022,announced_ret20_z,-0.3317440611852828,-0.2643132762179139,-0.1721072261520286
context_logit,ALL,2022,announced_ret5_z,-0.0697787999646709,0.018886646602667968,0.0875792365991548
context_logit,ALL,2022,cny_basis_last_z,0.3739716154585396,0.39312251536718334,0.4061192787873069
context_logit,ALL,2022,cny_last_missing,0.0,0.0,0.0
context_logit,ALL,2022,cny_late_z,-0.1795358142076502,-0.06554390923458166,0.0108978419327489
context_logit,ALL,2022,cny_quality,-8.642615215610667e-11,-4.2136898891740866e-11,-1.7462457762121134e-12
context_logit,ALL,2022,currency_AMD,0.1026959274449119,0.12304006186859373,0.1354175298644341
context_logit,ALL,2022,currency_KGS,-0.1330139613881247,-0.11647432498859021,-0.092775888573963
context_logit,ALL,2022,currency_KZT,-0.123178832038152,-0.099505347827726,-0.0526090297503591
context_logit,ALL,2022,currency_TJS,0.1087093781591985,0.15421503267430023,0.1963484335011539
context_logit,ALL,2022,currency_UZS,-0.0849540063237532,-0.06127542172657787,-0.0447791435388304
context_logit,ALL,2022,dow_cos,-0.1403138721349983,-0.06139976272540736,0.057507590770255
context_logit,ALL,2022,dow_sin,-0.1083457990989951,-0.07783253876862663,-0.0594973989796284
context_logit,ALL,2022,known_change_z,0.1990414176574114,0.25883855572882014,0.3732360084767662
context_logit,ALL,2022,local_basis_last_z,-0.0686286947515771,-0.04696910934178627,-0.0157186719655377
context_logit,ALL,2022,local_last_missing,0.0163562671031999,0.09000042472174623,0.1402318411465913
context_logit,ALL,2022,local_minus_common_z,0.0493656299855593,0.09004801246596256,0.1423792459946873
context_logit,ALL,2022,local_quality,0.0164588747801742,0.040490383000383094,0.075334485685001
context_logit,ALL,2022,log_vol20,-0.2231329998555434,0.08264091327096389,0.3340151464052197
context_logit,ALL,2022,month_end,0.0141947736940399,0.0529677830664494,0.1122249521225423
context_logit,ALL,2022,peer_change_std_z,-0.2853085799651059,-0.22128249259793906,-0.1384494401687432
context_logit,ALL,2022,pre_new_year14,0.0,0.0,0.0
context_logit,ALL,2023,announced_range20,-0.2102223433747931,-0.071572897869659,0.0261513163805735
context_logit,ALL,2023,announced_range90,-0.1489696387631649,-0.027675564439912453,0.0879355144925881
context_logit,ALL,2023,announced_ret20_z,-0.382867194909076,-0.11966465088356042,0.0146960201215537
context_logit,ALL,2023,announced_ret5_z,-0.0132681678441377,0.12194754933535194,0.2064428303971965
context_logit,ALL,2023,cny_basis_last_z,0.5291653691359103,0.9999257395203668,1.2452828460891312
context_logit,ALL,2023,cny_last_missing,0.0,0.0,0.0
context_logit,ALL,2023,cny_late_z,-0.5076921697803125,-0.3410580932782039,-0.1207742646503001
context_logit,ALL,2023,cny_quality,-2.858009454531082e-10,7.872828164473069e-10,2.2604621657243053e-09
context_logit,ALL,2023,currency_AMD,-0.0590336987759199,0.038646254515335425,0.1344844244300379
context_logit,ALL,2023,currency_KGS,-0.1040523174829918,-0.05131815523355426,0.020535928403755
context_logit,ALL,2023,currency_KZT,-0.1571911329864101,-0.054186416781617314,0.0080605647180539
context_logit,ALL,2023,currency_TJS,0.0274177370891721,0.0781184714274571,0.1436330612141169
context_logit,ALL,2023,currency_UZS,-0.0844705784956112,-0.01126015392762096,0.0595822477705567
context_logit,ALL,2023,dow_cos,-0.2116816004408068,-0.09123227399103141,-0.0357241156903618
context_logit,ALL,2023,dow_sin,-0.3744027282134898,-0.29145471680573537,-0.1879086520982935
context_logit,ALL,2023,known_change_z,0.2585549659608331,0.380200915898184,0.4820820061773423
context_logit,ALL,2023,local_basis_last_z,-0.0522854935980227,0.10379728835909717,0.1675702546341935
context_logit,ALL,2023,local_last_missing,-0.1641569356994685,-0.02983318655775831,0.0841687415182153
context_logit,ALL,2023,local_minus_common_z,-0.0653765778401145,-0.005065084050353757,0.0662651107037503
context_logit,ALL,2023,local_quality,-0.0621209633441603,0.027435928514767643,0.1453187293210979
context_logit,ALL,2023,log_vol20,-0.2300053684601019,-0.11467154541489603,0.2501640941738558
context_logit,ALL,2023,month_end,0.1373259125264438,0.26401997405465205,0.3548172449253556
context_logit,ALL,2023,peer_change_std_z,-0.3833621284955724,-0.23156246699039115,-0.0896277676175187
context_logit,ALL,2023,pre_new_year14,-0.3833440440251658,-0.28266276218890235,0.0
context_logit,ALL,2024,announced_range20,-0.094712446102791,-0.041209752139382834,0.0193861666051087
context_logit,ALL,2024,announced_range90,0.0581496970358852,0.11703141855474804,0.2421253411883546
context_logit,ALL,2024,announced_ret20_z,-0.1246661161810643,0.008074385747351384,0.103472455343225
context_logit,ALL,2024,announced_ret5_z,0.0751371216224811,0.13831182383188242,0.1824168709843276
context_logit,ALL,2024,cny_basis_last_z,1.2436451713964245,1.2858128982220298,1.35850876095836
context_logit,ALL,2024,cny_last_missing,0.0,0.0,0.0
context_logit,ALL,2024,cny_late_z,-0.5628292566971759,-0.4885019563445619,-0.4265968648189804
context_logit,ALL,2024,cny_quality,-9.136600118642548e-09,-5.2665837847470565e-09,-1.029405454198511e-09
context_logit,ALL,2024,currency_AMD,0.042966701005205,0.053306999896612216,0.0693486082026401
context_logit,ALL,2024,currency_KGS,-0.0461420140168359,-0.026858608769467832,0.0050450710568959
context_logit,ALL,2024,currency_KZT,-0.0089089327412721,0.016951294699687768,0.0466503943839464
context_logit,ALL,2024,currency_TJS,-0.030673102842947,-0.014486305436108292,0.0016914237566811
context_logit,ALL,2024,currency_UZS,-0.059791911743106,-0.028913380390723997,-0.0110807677631353
context_logit,ALL,2024,dow_cos,-0.0313688034165477,-0.007751670014929925,0.0176328214739279
context_logit,ALL,2024,dow_sin,-0.2121516103870918,-0.13667750720647384,-0.0948635645125913
context_logit,ALL,2024,known_change_z,0.0971759978131329,0.21080883519768587,0.3242286459645521
context_logit,ALL,2024,local_basis_last_z,0.059064216416537,0.14045695430645036,0.1935421004173214
context_logit,ALL,2024,local_last_missing,-0.0638878120432268,0.011709328851453092,0.0550728875948655
context_logit,ALL,2024,local_minus_common_z,0.0079181560635413,0.036336718200894465,0.060523259255952
context_logit,ALL,2024,local_quality,-0.1844824195751715,-0.12753163754400196,-0.0843589585926365
context_logit,ALL,2024,log_vol20,-0.0540080639512983,0.016843406489668533,0.0613513700736286
context_logit,ALL,2024,month_end,0.1788409988587559,0.2412752390951376,0.3268460922750977
context_logit,ALL,2024,peer_change_std_z,-0.1106688562685439,-0.09301517554685072,-0.0682280386575608
context_logit,ALL,2024,pre_new_year14,-0.3070885611970154,-0.2644439884729281,-0.2055939982124945
context_logit,ALL,2025,announced_range20,0.007732280763744,0.04145361877387651,0.0809205585976482
context_logit,ALL,2025,announced_range90,0.1025303430274147,0.2083268366907657,0.283682948519546
context_logit,ALL,2025,announced_ret20_z,0.0199482303004716,0.04022565270595168,0.0732635055507506
context_logit,ALL,2025,announced_ret5_z,-0.142454892897782,-0.055668198217464965,0.0236733841524212
context_logit,ALL,2025,cny_basis_last_z,1.2546908447369112,1.2990360365499327,1.3316191800473949
context_logit,ALL,2025,cny_last_missing,0.0,0.0,0.0
context_logit,ALL,2025,cny_late_z,-0.533458363427974,-0.5024059019127549,-0.4722897542089102
context_logit,ALL,2025,cny_quality,-1.9170190309963617e-08,-1.4736307748640926e-08,-9.51614390793528e-09
context_logit,ALL,2025,currency_AMD,0.0441753836707877,0.0633091732256408,0.0804125172906613
context_logit,ALL,2025,currency_KGS,-0.0244370730788288,-0.01983965487606994,-0.016013693268737
context_logit,ALL,2025,currency_KZT,-0.0009823236790554,0.010818373132009966,0.019232209040082
context_logit,ALL,2025,currency_TJS,-0.0238867583816011,-0.009497175830567172,0.0137808554964215
context_logit,ALL,2025,currency_UZS,-0.0554286146769851,-0.04479071565101369,-0.0381476107126592
context_logit,ALL,2025,dow_cos,-0.0340947769717886,-0.02028242190195685,-0.0047196819091831
context_logit,ALL,2025,dow_sin,-0.1462367584963495,-0.11633855593019626,-0.0784789151290154
context_logit,ALL,2025,known_change_z,0.06731086237292,0.10363945886435504,0.1362477819412781
context_logit,ALL,2025,local_basis_last_z,0.0163702561978861,0.047192877700869044,0.0597262546265032
context_logit,ALL,2025,local_last_missing,-0.0387474926480812,-0.009489393562841324,0.0109880299405512
context_logit,ALL,2025,local_minus_common_z,0.0452135830338793,0.059679835491325085,0.0769128631214545
context_logit,ALL,2025,local_quality,-0.1938808442335888,-0.14790014604984222,-0.1129840639551401
context_logit,ALL,2025,log_vol20,-0.0595057361747046,-0.038255485528919775,-0.0199008440972025
context_logit,ALL,2025,month_end,0.1581728797811108,0.20335315138582633,0.2328747245695053
context_logit,ALL,2025,peer_change_std_z,-0.0915069875814344,-0.06647724598197062,-0.0302388024049429
context_logit,ALL,2025,pre_new_year14,-0.2776352890914593,-0.1823716224175899,-0.1459095152532966
context_logit,ALL,2026,announced_range20,0.0457240801957952,0.10091161888906278,0.1723546209945056
context_logit,ALL,2026,announced_range90,0.123997050572501,0.19199520409508913,0.2295647163660478
context_logit,ALL,2026,announced_ret20_z,0.0223715137560097,0.06443212240088636,0.0937159265873886
context_logit,ALL,2026,announced_ret5_z,-0.1439004652147845,-0.12507848906602304,-0.1130457953373719
context_logit,ALL,2026,cny_basis_last_z,1.2582037686305276,1.3044156570683254,1.3399690661638024
context_logit,ALL,2026,cny_last_missing,0.0,0.0,0.0
context_logit,ALL,2026,cny_late_z,-0.5347215450755148,-0.486842612282538,-0.4566148433520228
context_logit,ALL,2026,cny_quality,-3.0725143575580674e-08,-2.4093254668030015e-08,-2.0640327261266985e-08
context_logit,ALL,2026,currency_AMD,0.0225960762666249,0.04621005652702873,0.0624623033315238
context_logit,ALL,2026,currency_KGS,-0.0242561038167879,-0.015244520844142358,-5.194124888252964e-05
context_logit,ALL,2026,currency_KZT,-0.0325645520281466,-0.0008917164309686112,0.0172744738018769
context_logit,ALL,2026,currency_TJS,-0.0089652994865037,0.0006113688258932577,0.0134972167899485
context_logit,ALL,2026,currency_UZS,-0.0465153738301078,-0.030685188077810108,-0.0034767997795408
context_logit,ALL,2026,dow_cos,-0.050532962029953,-0.04363380338460318,-0.0376689581326575
context_logit,ALL,2026,dow_sin,-0.0884300099220885,-0.07690244731132848,-0.0634023599655278
context_logit,ALL,2026,known_change_z,0.0288382656635587,0.049526319857425886,0.066398951628592
context_logit,ALL,2026,local_basis_last_z,0.0208842029464311,0.04821640895388528,0.0701781092749701
