model,regime,period,n,mean_prediction,mean_target,brier_or_mse
local_residual,cny_down_own_down,2023_validation_descriptive,194,0.14452684133665997,0.1134020618556701,0.10398000023212002
local_residual,cny_down_own_up,2023_validation_descriptive,241,0.18730453482087522,0.22821576763485477,0.19546251942968895
local_residual,cny_up_own_down,2023_validation_descriptive,294,0.4459707376406457,0.40476190476190477,0.2936719595408865
local_residual,cny_up_own_up,2023_validation_descriptive,406,0.5945670206331352,0.6059113300492611,0.2560903289757827
context_logit,cny_down_own_down,2023_validation_descriptive,194,0.24840391989472801,0.1134020618556701,0.13079079078153832
context_logit,cny_down_own_up,2023_validation_descriptive,241,0.2854079487781625,0.22821576763485477,0.18034097549856754
context_logit,cny_up_own_down,2023_validation_descriptive,294,0.3912754286399235,0.40476190476190477,0.24497769930294688
context_logit,cny_up_own_up,2023_validation_descriptive,406,0.5229045187537621,0.6059113300492611,0.22312665375654592
context_hist,cny_down_own_down,2023_validation_descriptive,194,0.18694423619262251,0.1134020618556701,0.10582396452497841
context_hist,cny_down_own_up,2023_validation_descriptive,241,0.22664367642043826,0.22821576763485477,0.1795242404928142
context_hist,cny_up_own_down,2023_validation_descriptive,294,0.37341029248860846,0.40476190476190477,0.23334889721759827
context_hist,cny_up_own_up,2023_validation_descriptive,406,0.5430626585398202,0.6059113300492611,0.22796331792622915
