model,origin,currency,n_train,n_test,fitted,last_train_date,last_train_maturity,n_pairs,last_local_origin
local_logit,2025-06-01,KZT,702,19,True,2025-04-25,2025-05-29,0,
hist_experts,2025-06-01,ALL,3510,95,True,2025-04-25,2025-05-29,0,
hist_context,2025-06-01,ALL,3510,95,True,2025-04-25,2025-05-29,0,
hist_context730,2025-06-01,ALL,2370,95,True,2025-04-25,2025-05-29,0,
context_hist,2025-06-01,ALL,3510,95,True,2025-04-25,2025-05-29,0,
hist_multi,2025-06-01,ALL,3510,95,True,2025-04-25,2025-05-29,0,
pairwise_context,2025-06-01,ALL,3510,95,True,2025-04-25,2025-05-29,9296,
equal_residual,2025-06-01,ALL,3510,95,True,2025-04-25,2025-05-29,0,
local_residual,2025-06-01,ALL,3510,95,True,2025-04-25,2025-05-29,0,2025-04-01
positive_exp,2025-07-01,ALL,3605,115,True,2025-05-28,2025-06-27,0,
positive_730,2025-07-01,ALL,2365,115,True,2025-05-28,2025-06-27,0,
logit_exp,2025-07-01,ALL,3605,115,True,2025-05-28,2025-06-27,0,
logit_context_exp,2025-07-01,ALL,3605,115,True,2025-05-28,2025-06-27,0,
logit_context730,2025-07-01,ALL,2365,115,True,2025-05-28,2025-06-27,0,
context_logit,2025-07-01,ALL,3605,115,True,2025-05-28,2025-06-27,0,
local_logit,2025-07-01,TJS,721,23,True,2025-05-28,2025-06-27,0,
local_logit,2025-07-01,UZS,721,23,True,2025-05-28,2025-06-27,0,
local_logit,2025-07-01,KGS,721,23,True,2025-05-28,2025-06-27,0,
local_logit,2025-07-01,AMD,721,23,True,2025-05-28,2025-06-27,0,
local_logit,2025-07-01,KZT,721,23,True,2025-05-28,2025-06-27,0,
hist_experts,2025-07-01,ALL,3605,115,True,2025-05-28,2025-06-27,0,
hist_context,2025-07-01,ALL,3605,115,True,2025-05-28,2025-06-27,0,
hist_context730,2025-07-01,ALL,2365,115,True,2025-05-28,2025-06-27,0,
context_hist,2025-07-01,ALL,3605,115,True,2025-05-28,2025-06-27,0,
hist_multi,2025-07-01,ALL,3605,115,True,2025-05-28,2025-06-27,0,
pairwise_context,2025-07-01,ALL,3605,115,True,2025-05-28,2025-06-27,9400,
equal_residual,2025-07-01,ALL,3605,115,True,2025-05-28,2025-06-27,0,
local_residual,2025-07-01,ALL,3605,115,True,2025-05-28,2025-06-27,0,2025-05-01
positive_exp,2025-08-01,ALL,3715,105,True,2025-07-01,2025-07-29,0,
positive_730,2025-08-01,ALL,2365,105,True,2025-07-01,2025-07-29,0,
logit_exp,2025-08-01,ALL,3715,105,True,2025-07-01,2025-07-29,0,
logit_context_exp,2025-08-01,ALL,3715,105,True,2025-07-01,2025-07-29,0,
logit_context730,2025-08-01,ALL,2365,105,True,2025-07-01,2025-07-29,0,
context_logit,2025-08-01,ALL,3715,105,True,2025-07-01,2025-07-29,0,
local_logit,2025-08-01,TJS,743,21,True,2025-07-01,2025-07-29,0,
local_logit,2025-08-01,UZS,743,21,True,2025-07-01,2025-07-29,0,
local_logit,2025-08-01,KGS,743,21,True,2025-07-01,2025-07-29,0,
local_logit,2025-08-01,AMD,743,21,True,2025-07-01,2025-07-29,0,
local_logit,2025-08-01,KZT,743,21,True,2025-07-01,2025-07-29,0,
hist_experts,2025-08-01,ALL,3715,105,True,2025-07-01,2025-07-29,0,
hist_context,2025-08-01,ALL,3715,105,True,2025-07-01,2025-07-29,0,
hist_context730,2025-08-01,ALL,2365,105,True,2025-07-01,2025-07-29,0,
context_hist,2025-08-01,ALL,3715,105,True,2025-07-01,2025-07-29,0,
hist_multi,2025-08-01,ALL,3715,105,True,2025-07-01,2025-07-29,0,
pairwise_context,2025-08-01,ALL,3715,105,True,2025-07-01,2025-07-29,9640,
equal_residual,2025-08-01,ALL,3715,105,True,2025-07-01,2025-07-29,0,
local_residual,2025-08-01,ALL,3715,105,True,2025-07-01,2025-07-29,0,2025-07-01
positive_exp,2025-09-01,ALL,3830,110,True,2025-08-01,2025-08-29,0,
positive_730,2025-09-01,ALL,2365,110,True,2025-08-01,2025-08-29,0,
logit_exp,2025-09-01,ALL,3830,110,True,2025-08-01,2025-08-29,0,
logit_context_exp,2025-09-01,ALL,3830,110,True,2025-08-01,2025-08-29,0,
logit_context730,2025-09-01,ALL,2365,110,True,2025-08-01,2025-08-29,0,
context_logit,2025-09-01,ALL,3830,110,True,2025-08-01,2025-08-29,0,
local_logit,2025-09-01,TJS,766,22,True,2025-08-01,2025-08-29,0,
local_logit,2025-09-01,UZS,766,22,True,2025-08-01,2025-08-29,0,
local_logit,2025-09-01,KGS,766,22,True,2025-08-01,2025-08-29,0,
local_logit,2025-09-01,AMD,766,22,True,2025-08-01,2025-08-29,0,
local_logit,2025-09-01,KZT,766,22,True,2025-08-01,2025-08-29,0,
hist_experts,2025-09-01,ALL,3830,110,True,2025-08-01,2025-08-29,0,
hist_context,2025-09-01,ALL,3830,110,True,2025-08-01,2025-08-29,0,
hist_context730,2025-09-01,ALL,2365,110,True,2025-08-01,2025-08-29,0,
context_hist,2025-09-01,ALL,3830,110,True,2025-08-01,2025-08-29,0,
hist_multi,2025-09-01,ALL,3830,110,True,2025-08-01,2025-08-29,0,
pairwise_context,2025-09-01,ALL,3830,110,True,2025-08-01,2025-08-29,9880,
equal_residual,2025-09-01,ALL,3830,110,True,2025-08-01,2025-08-29,0,
local_residual,2025-09-01,ALL,3830,110,True,2025-08-01,2025-08-29,0,2025-08-01
positive_exp,2025-10-01,ALL,3930,115,True,2025-08-29,2025-09-26,0,
positive_730,2025-10-01,ALL,2365,115,True,2025-08-29,2025-09-26,0,
logit_exp,2025-10-01,ALL,3930,115,True,2025-08-29,2025-09-26,0,
logit_context_exp,2025-10-01,ALL,3930,115,True,2025-08-29,2025-09-26,0,
logit_context730,2025-10-01,ALL,2365,115,True,2025-08-29,2025-09-26,0,
context_logit,2025-10-01,ALL,3930,115,True,2025-08-29,2025-09-26,0,
local_logit,2025-10-01,TJS,786,23,True,2025-08-29,2025-09-26,0,
local_logit,2025-10-01,UZS,786,23,True,2025-08-29,2025-09-26,0,
local_logit,2025-10-01,KGS,786,23,True,2025-08-29,2025-09-26,0,
local_logit,2025-10-01,AMD,786,23,True,2025-08-29,2025-09-26,0,
local_logit,2025-10-01,KZT,786,23,True,2025-08-29,2025-09-26,0,
hist_experts,2025-10-01,ALL,3930,115,True,2025-08-29,2025-09-26,0,
hist_context,2025-10-01,ALL,3930,115,True,2025-08-29,2025-09-26,0,
hist_context730,2025-10-01,ALL,2365,115,True,2025-08-29,2025-09-26,0,
context_hist,2025-10-01,ALL,3930,115,True,2025-08-29,2025-09-26,0,
hist_multi,2025-10-01,ALL,3930,115,True,2025-08-29,2025-09-26,0,
pairwise_context,2025-10-01,ALL,3930,115,True,2025-08-29,2025-09-26,10168,
equal_residual,2025-10-01,ALL,3930,115,True,2025-08-29,2025-09-26,0,
local_residual,2025-10-01,ALL,3930,115,True,2025-08-29,2025-09-26,0,2025-08-01
positive_exp,2025-11-01,ALL,4045,95,True,2025-10-01,2025-10-29,0,
positive_730,2025-11-01,ALL,2365,95,True,2025-10-01,2025-10-29,0,
logit_exp,2025-11-01,ALL,4045,95,True,2025-10-01,2025-10-29,0,
logit_context_exp,2025-11-01,ALL,4045,95,True,2025-10-01,2025-10-29,0,
logit_context730,2025-11-01,ALL,2365,95,True,2025-10-01,2025-10-29,0,
context_logit,2025-11-01,ALL,4045,95,True,2025-10-01,2025-10-29,0,
local_logit,2025-11-01,TJS,809,19,True,2025-10-01,2025-10-29,0,
local_logit,2025-11-01,UZS,809,19,True,2025-10-01,2025-10-29,0,
local_logit,2025-11-01,KGS,809,19,True,2025-10-01,2025-10-29,0,
local_logit,2025-11-01,AMD,809,19,True,2025-10-01,2025-10-29,0,
local_logit,2025-11-01,KZT,809,19,True,2025-10-01,2025-10-29,0,
hist_experts,2025-11-01,ALL,4045,95,True,2025-10-01,2025-10-29,0,
hist_context,2025-11-01,ALL,4045,95,True,2025-10-01,2025-10-29,0,
hist_context730,2025-11-01,ALL,2365,95,True,2025-10-01,2025-10-29,0,
context_hist,2025-11-01,ALL,4045,95,True,2025-10-01,2025-10-29,0,
hist_multi,2025-11-01,ALL,4045,95,True,2025-10-01,2025-10-29,0,
pairwise_context,2025-11-01,ALL,4045,95,True,2025-10-01,2025-10-29,10528,
equal_residual,2025-11-01,ALL,4045,95,True,2025-10-01,2025-10-29,0,
local_residual,2025-11-01,ALL,4045,95,True,2025-10-01,2025-10-29,0,2025-10-01
positive_exp,2025-12-01,ALL,4150,110,True,2025-10-30,2025-11-28,0,
positive_730,2025-12-01,ALL,2365,110,True,2025-10-30,2025-11-28,0,
logit_exp,2025-12-01,ALL,4150,110,True,2025-10-30,2025-11-28,0,
logit_context_exp,2025-12-01,ALL,4150,110,True,2025-10-30,2025-11-28,0,
logit_context730,2025-12-01,ALL,2365,110,True,2025-10-30,2025-11-28,0,
context_logit,2025-12-01,ALL,4150,110,True,2025-10-30,2025-11-28,0,
local_logit,2025-12-01,TJS,830,22,True,2025-10-30,2025-11-28,0,
local_logit,2025-12-01,UZS,830,22,True,2025-10-30,2025-11-28,0,
local_logit,2025-12-01,KGS,830,22,True,2025-10-30,2025-11-28,0,
local_logit,2025-12-01,AMD,830,22,True,2025-10-30,2025-11-28,0,
local_logit,2025-12-01,KZT,830,22,True,2025-10-30,2025-11-28,0,
hist_experts,2025-12-01,ALL,4150,110,True,2025-10-30,2025-11-28,0,
hist_context,2025-12-01,ALL,4150,110,True,2025-10-30,2025-11-28,0,
hist_context730,2025-12-01,ALL,2365,110,True,2025-10-30,2025-11-28,0,
context_hist,2025-12-01,ALL,4150,110,True,2025-10-30,2025-11-28,0,
hist_multi,2025-12-01,ALL,4150,110,True,2025-10-30,2025-11-28,0,
pairwise_context,2025-12-01,ALL,4150,110,True,2025-10-30,2025-11-28,10776,
equal_residual,2025-12-01,ALL,4150,110,True,2025-10-30,2025-11-28,0,
local_residual,2025-12-01,ALL,4150,110,True,2025-10-30,2025-11-28,0,2025-10-01
positive_exp,2026-01-01,ALL,4255,75,True,2025-12-01,2025-12-29,0,
positive_730,2026-01-01,ALL,2370,75,True,2025-12-01,2025-12-29,0,
logit_exp,2026-01-01,ALL,4255,75,True,2025-12-01,2025-12-29,0,
logit_context_exp,2026-01-01,ALL,4255,75,True,2025-12-01,2025-12-29,0,
logit_context730,2026-01-01,ALL,2370,75,True,2025-12-01,2025-12-29,0,
context_logit,2026-01-01,ALL,4255,75,True,2025-12-01,2025-12-29,0,
local_logit,2026-01-01,TJS,851,15,True,2025-12-01,2025-12-29,0,
local_logit,2026-01-01,UZS,851,15,True,2025-12-01,2025-12-29,0,
local_logit,2026-01-01,KGS,851,15,True,2025-12-01,2025-12-29,0,
local_logit,2026-01-01,AMD,851,15,True,2025-12-01,2025-12-29,0,
local_logit,2026-01-01,KZT,851,15,True,2025-12-01,2025-12-29,0,
hist_experts,2026-01-01,ALL,4255,75,True,2025-12-01,2025-12-29,0,
hist_context,2026-01-01,ALL,4255,75,True,2025-12-01,2025-12-29,0,
hist_context730,2026-01-01,ALL,2370,75,True,2025-12-01,2025-12-29,0,
context_hist,2026-01-01,ALL,4255,75,True,2025-12-01,2025-12-29,0,
hist_multi,2026-01-01,ALL,4255,75,True,2025-12-01,2025-12-29,0,
pairwise_context,2026-01-01,ALL,4255,75,True,2025-12-01,2025-12-29,10872,
equal_residual,2026-01-01,ALL,4255,75,True,2025-12-01,2025-12-29,0,
local_residual,2026-01-01,ALL,4255,75,True,2025-12-01,2025-12-29,0,2025-12-01
positive_exp,2026-02-01,ALL,4330,95,True,2025-12-22,2026-01-29,0,
positive_730,2026-02-01,ALL,2355,95,True,2025-12-22,2026-01-29,0,
logit_exp,2026-02-01,ALL,4330,95,True,2025-12-22,2026-01-29,0,
logit_context_exp,2026-02-01,ALL,4330,95,True,2025-12-22,2026-01-29,0,
logit_context730,2026-02-01,ALL,2355,95,True,2025-12-22,2026-01-29,0,
context_logit,2026-02-01,ALL,4330,95,True,2025-12-22,2026-01-29,0,
local_logit,2026-02-01,TJS,866,19,True,2025-12-22,2026-01-29,0,
local_logit,2026-02-01,UZS,866,19,True,2025-12-22,2026-01-29,0,
local_logit,2026-02-01,KGS,866,19,True,2025-12-22,2026-01-29,0,
local_logit,2026-02-01,AMD,866,19,True,2025-12-22,2026-01-29,0,
local_logit,2026-02-01,KZT,866,19,True,2025-12-22,2026-01-29,0,
hist_experts,2026-02-01,ALL,4330,95,True,2025-12-22,2026-01-29,0,
hist_context,2026-02-01,ALL,4330,95,True,2025-12-22,2026-01-29,0,
hist_context730,2026-02-01,ALL,2355,95,True,2025-12-22,2026-01-29,0,
context_hist,2026-02-01,ALL,4330,95,True,2025-12-22,2026-01-29,0,
hist_multi,2026-02-01,ALL,4330,95,True,2025-12-22,2026-01-29,0,
pairwise_context,2026-02-01,ALL,4330,95,True,2025-12-22,2026-01-29,11024,
equal_residual,2026-02-01,ALL,4330,95,True,2025-12-22,2026-01-29,0,
local_residual,2026-02-01,ALL,4330,95,True,2025-12-22,2026-01-29,0,2025-12-01
positive_exp,2026-03-01,ALL,4425,105,True,2026-01-28,2026-02-26,0,
positive_730,2026-03-01,ALL,2355,105,True,2026-01-28,2026-02-26,0,
logit_exp,2026-03-01,ALL,4425,105,True,2026-01-28,2026-02-26,0,
logit_context_exp,2026-03-01,ALL,4425,105,True,2026-01-28,2026-02-26,0,
logit_context730,2026-03-01,ALL,2355,105,True,2026-01-28,2026-02-26,0,
context_logit,2026-03-01,ALL,4425,105,True,2026-01-28,2026-02-26,0,
local_logit,2026-03-01,TJS,885,21,True,2026-01-28,2026-02-26,0,
local_logit,2026-03-01,UZS,885,21,True,2026-01-28,2026-02-26,0,
local_logit,2026-03-01,KGS,885,21,True,2026-01-28,2026-02-26,0,
local_logit,2026-03-01,AMD,885,21,True,2026-01-28,2026-02-26,0,
local_logit,2026-03-01,KZT,885,21,True,2026-01-28,2026-02-26,0,
hist_experts,2026-03-01,ALL,4425,105,True,2026-01-28,2026-02-26,0,
hist_context,2026-03-01,ALL,4425,105,True,2026-01-28,2026-02-26,0,
hist_context730,2026-03-01,ALL,2355,105,True,2026-01-28,2026-02-26,0,
context_hist,2026-03-01,ALL,4425,105,True,2026-01-28,2026-02-26,0,
hist_multi,2026-03-01,ALL,4425,105,True,2026-01-28,2026-02-26,0,
pairwise_context,2026-03-01,ALL,4425,105,True,2026-01-28,2026-02-26,11088,
equal_residual,2026-03-01,ALL,4425,105,True,2026-01-28,2026-02-26,0,
local_residual,2026-03-01,ALL,4425,105,True,2026-01-28,2026-02-26,0,2026-01-01
positive_exp,2026-04-01,ALL,4525,110,True,2026-02-26,2026-03-27,0,
positive_730,2026-04-01,ALL,2355,110,True,2026-02-26,2026-03-27,0,
logit_exp,2026-04-01,ALL,4525,110,True,2026-02-26,2026-03-27,0,
logit_context_exp,2026-04-01,ALL,4525,110,True,2026-02-26,2026-03-27,0,
logit_context730,2026-04-01,ALL,2355,110,True,2026-02-26,2026-03-27,0,
context_logit,2026-04-01,ALL,4525,110,True,2026-02-26,2026-03-27,0,
local_logit,2026-04-01,TJS,905,22,True,2026-02-26,2026-03-27,0,
local_logit,2026-04-01,UZS,905,22,True,2026-02-26,2026-03-27,0,
local_logit,2026-04-01,KGS,905,22,True,2026-02-26,2026-03-27,0,
local_logit,2026-04-01,AMD,905,22,True,2026-02-26,2026-03-27,0,
local_logit,2026-04-01,KZT,905,22,True,2026-02-26,2026-03-27,0,
hist_experts,2026-04-01,ALL,4525,110,True,2026-02-26,2026-03-27,0,
hist_context,2026-04-01,ALL,4525,110,True,2026-02-26,2026-03-27,0,
hist_context730,2026-04-01,ALL,2355,110,True,2026-02-26,2026-03-27,0,
context_hist,2026-04-01,ALL,4525,110,True,2026-02-26,2026-03-27,0,
hist_multi,2026-04-01,ALL,4525,110,True,2026-02-26,2026-03-27,0,
pairwise_context,2026-04-01,ALL,4525,110,True,2026-02-26,2026-03-27,11336,
equal_residual,2026-04-01,ALL,4525,110,True,2026-02-26,2026-03-27,0,
local_residual,2026-04-01,ALL,4525,110,True,2026-02-26,2026-03-27,0,2026-02-01
positive_exp,2026-05-01,ALL,4635,95,True,2026-03-31,2026-04-28,0,
positive_730,2026-05-01,ALL,2360,95,True,2026-03-31,2026-04-28,0,
logit_exp,2026-05-01,ALL,4635,95,True,2026-03-31,2026-04-28,0,
logit_context_exp,2026-05-01,ALL,4635,95,True,2026-03-31,2026-04-28,0,
logit_context730,2026-05-01,ALL,2360,95,True,2026-03-31,2026-04-28,0,
context_logit,2026-05-01,ALL,4635,95,True,2026-03-31,2026-04-28,0,
local_logit,2026-05-01,TJS,927,19,True,2026-03-31,2026-04-28,0,
local_logit,2026-05-01,UZS,927,19,True,2026-03-31,2026-04-28,0,
local_logit,2026-05-01,KGS,927,19,True,2026-03-31,2026-04-28,0,
local_logit,2026-05-01,AMD,927,19,True,2026-03-31,2026-04-28,0,
local_logit,2026-05-01,KZT,927,19,True,2026-03-31,2026-04-28,0,
hist_experts,2026-05-01,ALL,4635,95,True,2026-03-31,2026-04-28,0,
hist_context,2026-05-01,ALL,4635,95,True,2026-03-31,2026-04-28,0,
hist_context730,2026-05-01,ALL,2360,95,True,2026-03-31,2026-04-28,0,
context_hist,2026-05-01,ALL,4635,95,True,2026-03-31,2026-04-28,0,
hist_multi,2026-05-01,ALL,4635,95,True,2026-03-31,2026-04-28,0,
pairwise_context,2026-05-01,ALL,4635,95,True,2026-03-31,2026-04-28,11688,
equal_residual,2026-05-01,ALL,4635,95,True,2026-03-31,2026-04-28,0,
local_residual,2026-05-01,ALL,4635,95,True,2026-03-31,2026-04-28,0,2026-03-01
positive_exp,2026-06-01,ALL,4740,105,True,2026-04-29,2026-05-29,0,
positive_730,2026-06-01,ALL,2365,105,True,2026-04-29,2026-05-29,0,
logit_exp,2026-06-01,ALL,4740,105,True,2026-04-29,2026-05-29,0,
logit_context_exp,2026-06-01,ALL,4740,105,True,2026-04-29,2026-05-29,0,
logit_context730,2026-06-01,ALL,2365,105,True,2026-04-29,2026-05-29,0,
context_logit,2026-06-01,ALL,4740,105,True,2026-04-29,2026-05-29,0,
local_logit,2026-06-01,TJS,948,21,True,2026-04-29,2026-05-29,0,
local_logit,2026-06-01,UZS,948,21,True,2026-04-29,2026-05-29,0,
local_logit,2026-06-01,KGS,948,21,True,2026-04-29,2026-05-29,0,
local_logit,2026-06-01,AMD,948,21,True,2026-04-29,2026-05-29,0,
local_logit,2026-06-01,KZT,948,21,True,2026-04-29,2026-05-29,0,
hist_experts,2026-06-01,ALL,4740,105,True,2026-04-29,2026-05-29,0,
hist_context,2026-06-01,ALL,4740,105,True,2026-04-29,2026-05-29,0,
hist_context730,2026-06-01,ALL,2365,105,True,2026-04-29,2026-05-29,0,
context_hist,2026-06-01,ALL,4740,105,True,2026-04-29,2026-05-29,0,
hist_multi,2026-06-01,ALL,4740,105,True,2026-04-29,2026-05-29,0,
pairwise_context,2026-06-01,ALL,4740,105,True,2026-04-29,2026-05-29,11808,
equal_residual,2026-06-01,ALL,4740,105,True,2026-04-29,2026-05-29,0,
local_residual,2026-06-01,ALL,4740,105,True,2026-04-29,2026-05-29,0,2026-04-01
positive_exp,2026-07-01,ALL,4835,115,True,2026-05-28,2026-06-26,0,
positive_730,2026-07-01,ALL,2365,115,True,2026-05-28,2026-06-26,0,
logit_exp,2026-07-01,ALL,4835,115,True,2026-05-28,2026-06-26,0,
logit_context_exp,2026-07-01,ALL,4835,115,True,2026-05-28,2026-06-26,0,
logit_context730,2026-07-01,ALL,2365,115,True,2026-05-28,2026-06-26,0,
context_logit,2026-07-01,ALL,4835,115,True,2026-05-28,2026-06-26,0,
local_logit,2026-07-01,TJS,967,23,True,2026-05-28,2026-06-26,0,
local_logit,2026-07-01,UZS,967,23,True,2026-05-28,2026-06-26,0,
local_logit,2026-07-01,KGS,967,23,True,2026-05-28,2026-06-26,0,
local_logit,2026-07-01,AMD,967,23,True,2026-05-28,2026-06-26,0,
local_logit,2026-07-01,KZT,967,23,True,2026-05-28,2026-06-26,0,
hist_experts,2026-07-01,ALL,4835,115,True,2026-05-28,2026-06-26,0,
hist_context,2026-07-01,ALL,4835,115,True,2026-05-28,2026-06-26,0,
hist_context730,2026-07-01,ALL,2365,115,True,2026-05-28,2026-06-26,0,
context_hist,2026-07-01,ALL,4835,115,True,2026-05-28,2026-06-26,0,
hist_multi,2026-07-01,ALL,4835,115,True,2026-05-28,2026-06-26,0,
pairwise_context,2026-07-01,ALL,4835,115,True,2026-05-28,2026-06-26,11888,
equal_residual,2026-07-01,ALL,4835,115,True,2026-05-28,2026-06-26,0,
local_residual,2026-07-01,ALL,4835,115,True,2026-05-28,2026-06-26,0,2026-05-01
positive_exp,2026-08-01,ALL,4950,105,True,2026-07-01,2026-07-29,0,
positive_730,2026-08-01,ALL,2365,105,True,2026-07-01,2026-07-29,0,
logit_exp,2026-08-01,ALL,4950,105,True,2026-07-01,2026-07-29,0,
logit_context_exp,2026-08-01,ALL,4950,105,True,2026-07-01,2026-07-29,0,
logit_context730,2026-08-01,ALL,2365,105,True,2026-07-01,2026-07-29,0,
context_logit,2026-08-01,ALL,4950,105,True,2026-07-01,2026-07-29,0,
local_logit,2026-08-01,TJS,990,21,True,2026-07-01,2026-07-29,0,
local_logit,2026-08-01,UZS,990,21,True,2026-07-01,2026-07-29,0,
local_logit,2026-08-01,KGS,990,21,True,2026-07-01,2026-07-29,0,
local_logit,2026-08-01,AMD,990,21,True,2026-07-01,2026-07-29,0,
local_logit,2026-08-01,KZT,990,21,True,2026-07-01,2026-07-29,0,
hist_experts,2026-08-01,ALL,4950,105,True,2026-07-01,2026-07-29,0,
hist_context,2026-08-01,ALL,4950,105,True,2026-07-01,2026-07-29,0,
hist_context730,2026-08-01,ALL,2365,105,True,2026-07-01,2026-07-29,0,
context_hist,2026-08-01,ALL,4950,105,True,2026-07-01,2026-07-29,0,
hist_multi,2026-08-01,ALL,4950,105,True,2026-07-01,2026-07-29,0,
pairwise_context,2026-08-01,ALL,4950,105,True,2026-07-01,2026-07-29,12448,
equal_residual,2026-08-01,ALL,4950,105,True,2026-07-01,2026-07-29,0,
local_residual,2026-08-01,ALL,4950,105,True,2026-07-01,2026-07-29,0,2026-07-01
positive_exp,2026-09-01,ALL,5060,5,True,2026-07-31,2026-08-28,0,
positive_730,2026-09-01,ALL,2365,5,True,2026-07-31,2026-08-28,0,
logit_exp,2026-09-01,ALL,5060,5,True,2026-07-31,2026-08-28,0,
logit_context_exp,2026-09-01,ALL,5060,5,True,2026-07-31,2026-08-28,0,
logit_context730,2026-09-01,ALL,2365,5,True,2026-07-31,2026-08-28,0,
context_logit,2026-09-01,ALL,5060,5,True,2026-07-31,2026-08-28,0,
local_logit,2026-09-01,TJS,1012,1,True,2026-07-31,2026-08-28,0,
local_logit,2026-09-01,UZS,1012,1,True,2026-07-31,2026-08-28,0,
local_logit,2026-09-01,KGS,1012,1,True,2026-07-31,2026-08-28,0,
local_logit,2026-09-01,AMD,1012,1,True,2026-07-31,2026-08-28,0,
local_logit,2026-09-01,KZT,1012,1,True,2026-07-31,2026-08-28,0,
hist_experts,2026-09-01,ALL,5060,5,True,2026-07-31,2026-08-28,0,
hist_context,2026-09-01,ALL,5060,5,True,2026-07-31,2026-08-28,0,
hist_context730,2026-09-01,ALL,2365,5,True,2026-07-31,2026-08-28,0,
context_hist,2026-09-01,ALL,5060,5,True,2026-07-31,2026-08-28,0,
hist_multi,2026-09-01,ALL,5060,5,True,2026-07-31,2026-08-28,0,
pairwise_context,2026-09-01,ALL,5060,5,True,2026-07-31,2026-08-28,12840,
equal_residual,2026-09-01,ALL,5060,5,True,2026-07-31,2026-08-28,0,
local_residual,2026-09-01,ALL,5060,5,True,2026-07-31,2026-08-28,0,2026-07-01
