n,frequency,hit_rate,base_rate,lift,auc,forward_benefit_bps,macro_year_lift,year_lift_min,year_frequency_min,year_frequency_max,corridor_lift_min,corridor_freq_min,corridor_freq_max,quarter_frequency_min,quarter_frequency_max,cluster_share_7d,candidate,history,strong,late,late_weekday,weekly_cap
255,1.0084745762711864,0.30980392156862746,0.3379032258064516,0.9168421545229071,0.5608039558254531,9.246511242625976,0.9168421545229071,0.9168421545229071,1.0084745762711864,1.0084745762711864,0.7736185383244207,1.0084745762711864,1.0084745762711864,1.0224719101123596,1.05,0.704,quarterly_reset_hist,10,0.75,0.0,3,1
408,1.6135593220338982,0.2916666666666667,0.3379032258064516,0.8631662688941926,0.5608039558254531,6.539697941255431,0.8631662688941926,0.8631662688941926,1.6135593220338982,1.6135593220338982,0.7654320987654321,1.5621468926553672,1.6610169491525424,1.4314606741573035,1.8772727272727274,0.913151364764268,quarterly_reset_hist,10,0.75,0.0,3,2
255,1.0084745762711864,0.3333333333333333,0.3379032258064516,0.9864757358790771,0.5608039558254531,12.653857995835795,0.9864757358790771,0.9864757358790771,1.0084745762711864,1.0084745762711864,0.9373966454051501,1.0084745762711864,1.0084745762711864,1.0224719101123596,1.05,0.708,quarterly_reset_hist,10,0.75,0.0,4,1
405,1.6016949152542375,0.3160493827160494,0.3379032258064516,0.9353251421668287,0.5608039558254531,6.954710643991681,0.9353251421668287,0.9353251421668287,1.6016949152542375,1.6016949152542375,0.9046015712682378,1.5621468926553672,1.6214689265536724,1.4314606741573035,1.8454545454545455,0.8925,quarterly_reset_hist,10,0.75,0.0,4,2
250,0.9887005649717514,0.324,0.3379032258064516,0.958854415274463,0.5608039558254531,9.914186094067515,0.958854415274463,0.958854415274463,0.9887005649717514,0.9887005649717514,0.8366265060240965,0.9887005649717514,0.9887005649717514,0.9595505617977528,1.0340909090909092,0.6122448979591837,quarterly_reset_hist,10,0.75,0.3,3,1
394,1.5581920903954802,0.3096446700507614,0.3379032258064516,0.9163708612480768,0.5608039558254531,8.73371672400044,0.9163708612480768,0.9163708612480768,1.5581920903954802,1.5581920903954802,0.8320878450510905,1.5028248587570623,1.5819209039548023,1.3213483146067417,1.8454545454545455,0.8611825192802056,quarterly_reset_hist,10,0.75,0.3,3,2
248,0.9807909604519774,0.3548387096774194,0.3379032258064516,1.0501193317422435,0.5608039558254531,17.315213796375694,1.0501193317422435,1.0501193317422435,0.9807909604519774,0.9807909604519774,0.8963855421686747,0.9689265536723164,0.9887005649717514,0.9438202247191012,1.0340909090909092,0.6131687242798354,quarterly_reset_hist,10,0.75,0.3,4,1
389,1.538418079096045,0.33161953727506427,0.3379032258064516,0.9814038811958943,0.5608039558254531,13.398807068312767,0.9814038811958943,0.9814038811958943,1.538418079096045,1.538418079096045,0.8925050852761697,1.4830508474576272,1.5819209039548023,1.30561797752809,1.8136363636363637,0.8411458333333334,quarterly_reset_hist,10,0.75,0.3,4,2
234,0.9254237288135593,0.33760683760683763,0.3379032258064516,0.9991228606980398,0.5608039558254531,11.043210943657185,0.9991228606980398,0.9991228606980398,0.9254237288135593,0.9254237288135593,0.8767676767676768,0.8898305084745763,0.9491525423728814,0.8808988764044944,1.0340909090909092,0.5764192139737991,quarterly_reset_hist,10,0.75,0.5,3,1
371,1.4672316384180792,0.32075471698113206,0.3379032258064516,0.9492502364119422,0.5608039558254531,11.788557916189722,0.9492502364119422,0.9492502364119422,1.4672316384180792,1.4672316384180792,0.8879202988792029,1.423728813559322,1.5225988700564972,1.2426966292134833,1.7340909090909091,0.8360655737704918,quarterly_reset_hist,10,0.75,0.5,3,2
228,0.9016949152542374,0.34210526315789475,0.3379032258064516,1.0124356236653687,0.5608039558254531,15.636578523277937,1.0124356236653687,1.0124356236653687,0.9016949152542374,0.9016949152542374,0.9607438016528924,0.8700564971751413,0.9293785310734464,0.8494382022471911,1.0340909090909092,0.5829596412556054,quarterly_reset_hist,10,0.75,0.5,4,1
358,1.415819209039548,0.32122905027932963,0.3379032258064516,0.9506539912801164,0.5608039558254531,13.81785289968335,0.9506539912801164,0.9506539912801164,1.415819209039548,1.415819209039548,0.9129321382842509,1.384180790960452,1.463276836158192,1.21123595505618,1.7340909090909091,0.8101983002832861,quarterly_reset_hist,10,0.75,0.5,4,2
189,0.747457627118644,0.32275132275132273,0.3379032258064516,0.95515904585117,0.5608039558254531,5.827232550969877,0.95515904585117,0.95515904585117,0.747457627118644,0.747457627118644,0.8225538971807629,0.711864406779661,0.7909604519774012,0.6449438202247191,0.9068181818181819,0.532608695652174,quarterly_reset_hist,10,0.75,0.65,3,1
315,1.2457627118644068,0.30793650793650795,0.3379032258064516,0.9113156798120999,0.5608039558254531,8.59845315521439,0.9113156798120999,0.9113156798120999,1.2457627118644068,1.2457627118644068,0.8888888888888888,1.1864406779661016,1.305084745762712,0.9910112359550562,1.590909090909091,0.7806451612903226,quarterly_reset_hist,10,0.75,0.65,3,2
185,0.731638418079096,0.32972972972972975,0.3379032258064516,0.9758111333290331,0.5608039558254531,7.512644165552143,0.9758111333290331,0.9758111333290331,0.731638418079096,0.731638418079096,0.8709394205443372,0.672316384180791,0.7711864406779662,0.6292134831460674,0.9068181818181819,0.5222222222222223,quarterly_reset_hist,10,0.75,0.65,4,1
310,1.225988700564972,0.31290322580645163,0.3379032258064516,0.9260143198090693,0.5608039558254531,9.389759513694806,0.9260143198090693,0.9260143198090693,1.225988700564972,1.225988700564972,0.8888888888888888,1.1468926553672316,1.305084745762712,0.9752808988764046,1.5750000000000002,0.7672131147540984,quarterly_reset_hist,10,0.75,0.65,4,2
255,1.0084745762711864,0.3137254901960784,0.3379032258064516,0.9284477514156021,0.5608039558254531,9.354243281209511,0.9284477514156021,0.9284477514156021,1.0084745762711864,1.0084745762711864,0.8288770053475936,1.0084745762711864,1.0084745762711864,1.0224719101123596,1.05,0.704,quarterly_reset_hist,10,0.8,0.0,3,1
