n,frequency,hit_rate,base_rate,lift,auc,forward_benefit_bps,macro_year_lift,year_lift_min,year_frequency_min,year_frequency_max,corridor_lift_min,corridor_freq_min,corridor_freq_max,quarter_frequency_min,quarter_frequency_max,cluster_share_7d,candidate,history,strong,late,late_weekday,weekly_cap,robustness,passed_2025
455,1.0741989881956155,0.34065934065934067,0.26782178217821784,1.2719627876744328,0.5732222776292619,14.966331913134114,1.2726213528938453,1.199784697789214,1.096338028169014,1.1013333333333333,1.0016528925619834,1.0387858347386172,1.0978077571669478,0.8866666666666667,1.4615384615384615,0.7444444444444445,quarterly_reset_hist_anchor50,20,0.9,0.3,4,2,1.0016528925619834,False
500,1.1804384485666106,0.316,0.26782178217821784,1.1798890942698705,0.5261048392841743,-8.301702441340483,1.1891833886687133,1.152025372542618,1.1635555555555555,1.2343661971830986,1.1014739712021813,1.1450252951096123,1.2158516020236088,0.9955555555555555,1.4923076923076921,0.7616161616161616,quarterly_reset_hist,20,0.75,0.3,4,2,1.1014739712021813,False
513,1.2111298482293424,0.2884990253411306,0.26782178217821784,1.0772052332515412,0.5619998525256237,15.485946144910496,1.0583455050131432,0.9680105814921863,1.1752112676056339,1.3377777777777777,0.9699048272314156,1.1568296795952784,1.2866779089376055,0.6461538461538462,1.65,0.8228346456692913,anchor_multiscale_locked,40,0.75,0.3,3,2,0.9699048272314156,False
