h,period,selected,availability,n,mae_model,mae_prior,rmse_model,rmse_prior,spearman,positive_sign_accuracy,mean_predicted_bps,mean_actual_bps
1,screen_2024,hybrid_hgb,0.7862903225806451,1240,162.34646042328455,61.71417108209789,394.9495077942183,96.25607846658144,0.2395413846837746,0.6193548387096774,30.623314119109846,3.3385230784683944
1,opened_2025_2026,hybrid_hgb,0.7921760391198044,2040,56.01306126935578,70.53748746584813,75.31947580754718,94.54792380715715,0.5887928987770338,0.707843137254902,4.089201176716513,-2.168175060830078
3,screen_2024,cny_rank,0.7862903225806451,1240,240.39437958070732,87.70090688129015,749.511857835482,127.54738026815949,0.11210818022543695,0.5790322580645161,147.99753499350143,7.522335051111977
3,opened_2025_2026,cny_rank,0.7921760391198044,2030,86.52770887484354,97.5144270054477,112.64503472464105,126.69288574309728,0.45761050702484524,0.6492610837438424,1.7318326230252898,-4.446400736548228
5,screen_2024,cny_rank,0.7862903225806451,1240,370.245119212101,102.65075907843051,738.2939812939005,146.30094646034277,0.010066605939394116,0.5629032258064516,320.1180456251211,12.333405078337561
5,opened_2025_2026,cny_rank,0.7921760391198044,2020,109.56642490046923,119.39212389026827,141.5011671991605,152.15036723649843,0.39674461946364836,0.647029702970297,2.773969758388055,-7.123141820913056
10,screen_2024,cny_rank,0.7862903225806451,1240,339.501385307625,131.76858487305697,495.2630060050788,174.0289053316229,0.053981934003557164,0.5725806451612904,273.85058125908216,23.812050926940604
10,opened_2025_2026,cny_rank,0.7921760391198044,1995,147.75665267584355,159.11082409901582,188.78332804832252,204.62155956242805,0.3997386376133841,0.6265664160401002,6.59228863859598,-14.588638443899937
20,screen_2024,cny_rank,0.7862903225806451,1240,1233.2319394329406,171.76393709088245,2090.4129656290734,216.8850521698082,0.0810513601547482,0.614516129032258,1196.5691905634542,40.448656579595195
20,opened_2025_2026,cny_rank,0.7921760391198044,1945,199.99028347822997,229.76061217339566,253.2196583321584,287.38053778652863,0.4163197046720562,0.6082262210796915,7.91668689918448,-29.532832655557606
