h,origin,n_train,n_query,constant_prediction,weighted_train_mean,target_clip_lo,target_clip_hi,coefficients,last_target_maturity,min_train_date
1,2023-01-01,1060,280,False,-7.813449920965287,-811.2107555796047,1002.985199990322,"[-40.317330904444376, -8.134615642027585, 16.58831149649788, -67.65226826289704, 17.188070043735117, 5.974734038518437, 17.029144508330102, 9.376070971348824, -16.863617206674732, 7.3231572311742035, 41.60966471948068, 23.737286700945056, 76.15825152416679, 48.152821684311895, -22.20910467602138, 27.390841671859807, -100.43184430280287, 11.600119798219811, -27.1094972803756, 107.01360582586022, 42.01238955921709, -18.70744662778974, 22.531734289484042, -35.16055481989619, 2.706564967927769, 16.916954591501856, -48.90923525434658, -12.141042651455342, -9.48658917824801, 34.14537861522473, -14.135555980735578, -4.570320173312107, 14.80145032458376, 13.77348258635545, -15.16591499925879, -52.481785188616676, 11.991826350070276, 80.25023426783385, 12.560038043347147, 53.58740145017965, 119.4814801723382, -35.216573511791985, -23.702602416878015, -19.87784779078702, -62.47498291793465, 87.27512973699056, 34.126052999994684, -19.687094939714306, 3.339901200490587, -3.5993061193566898, -9.24598325192142, 13.717835199770049, -4.212447028975038, 3.131566967695314, 9.573580406725354, 6.599407828367309, 2.958072649330538, -6.896578832837358, -4.2779190245034755, 16.277718956141328, -5.651327749964581, 11.608873872847552, -8.296834436277011, 3.082087494985988, 6.790220825306343, 33.45776557635261, -44.773048708085355, 59.07847310532765, 70.92504540953529, -6.978552073450567, -9.905034640700377, 13.973084170657136, -27.121836841725866, 8.888966197611367, 7.65257247855344, -21.88507422803244, 7.034545140749961, 5.523460732424792, -10.247610603242958, 55.27418909654354, -22.560561626555227, 25.96376955729231, 19.59726194751386, -13.487940650554432, 6.857724524490752, 0.0, 0.0]",2022-12-29,2022-02-24
1,2023-04-01,1340,305,False,-3.6627026526123005,-768.8603571441728,954.2564911601897,"[-31.39723515552076, -8.729436146665675, 48.26274270675444, -67.26573107938059, 19.528947568403822, -4.991429286195004, 1.0418965820965713, 8.011243044746823, -4.859710112125905, -9.431685465050215, 34.39434371586309, 22.99271300547452, 71.51986468926106, 39.72083222521971, -12.727008182787094, 24.279758503288104, -65.86014181923443, 18.340638871537877, -30.778047150844937, 56.79626355260384, 40.03843596811685, -23.8973529319278, 1.6657590540790532, -10.743592338809384, 1.016863637901713, 13.952446984370775, -42.01755911078034, -13.228405150030063, -10.666123852411316, 21.28403494746264, -8.122754812774298, -7.871110920971759, 6.542520405132758, 9.353070524311558, -7.805055124161401, -33.811233628377686, 5.70268964347858, 72.16801384118394, 36.56167237147375, 49.2822516587206, 119.99990894047635, -40.831200402952, -20.275300606005775, -12.151038735498464, -72.2886083655522, 82.87658360981293, 30.400922139787617, -20.275853040816887, 1.423693523684343, -2.7174633907963575, -2.6257179764609635, 6.267959894850852, -2.3484720512777617, -5.547137104864859, 9.001829307626084, 4.2705528794727945, 13.079311947753826, -11.469833071593673, 12.89174630812787, 22.650898942493434, -18.156496839121697, 25.732038948798802, -3.778646509509825, -5.269673141911341, 8.552910179361778, 32.11823100060301, -48.76986299360199, 53.36854963768719, 68.50181821783373, -7.195305110630251, -9.63038285444641, 15.639415815798419, -26.738805302750077, 0.7022063297797605, -4.424877452091536, -17.101007132069387, 3.377456497724028, 2.353588653769474, -8.165676414713676, 54.52987302490879, -26.05414289350141, 18.918633546932863, 19.12024572023099, -21.157555565432336, 15.808730934522154, 2.6202658856192733, 0.0]",2023-03-29,2022-02-24
1,2023-07-01,1645,330,False,1.0041464797272954,-734.3629108374951,913.109757003617,"[-33.04484060064699, -4.165217873861757, 44.29630196851828, -75.22893229910683, 13.575730407079451, 7.012029851988741, -6.5914024362771055, 5.66240983951918, -7.6599633698110114, 0.32464202827632005, 28.8557154154666, 21.594657927382386, 66.75830312037841, 32.66217958284149, -6.232087575735806, 17.98592940778043, -45.0830842174211, 5.831438655326233, -21.98547482626624, 35.86069152284657, 34.63156014167658, -18.694977094607783, 1.7774161684066614, -13.044930185002526, -1.9684739000350167, 16.386764745630376, -33.06734375191958, -3.868810948154928, -4.169171245044418, 15.614572904223355, -7.657021352980495, -9.97186048713019, 6.771608670407118, 9.457020079956665, -1.8188653273906605, -20.731981343096702, 5.478469125149442, 68.29170273171182, 42.05720777420034, 48.557485773872, 107.58696518756402, -47.81512822256276, -21.809715580392947, -10.595284149358672, -55.60604080845311, 77.05120192031424, 28.15357308702257, -18.48925139530706, 0.16517712882572874, -1.666530463773354, -0.4874272453467345, 3.9467504683584087, -1.957969888063702, -6.720346183762, 8.477130553784635, 0.6548188807247544, 2.6075137446069756, -5.634203459135441, 19.21307517468404, 10.606234816771554, 7.929789652434066, 6.523055511354025, 3.2922843343042874, -11.412215143793178, -0.7251743367839207, 25.964240354237873, -49.334435259177965, 48.159846370293394, 64.91173691155693, -9.56662202371013, -18.82025153065371, 12.360459176154142, -24.06893861905722, 3.918134430750527, -2.9569619371289138, -14.950557806674064, 6.394622631186837, 9.245841752638194, -0.1287291064269102, 52.938691209451406, -21.971927935489493, 16.446530812803065, 15.375167134754314, -15.45273079479847, 12.007406344174935, 2.412572548674509, -2.737327587607014]",2023-06-28,2022-02-24
1,2023-10-01,1975,320,False,3.6390231442486236,-680.6877433086208,778.1458882285799,"[1.0634943936459325, -7.944549556202223, 23.4704642308645, -39.79432071243991, 3.510478550112419, 10.519646724701333, -9.01894603697548, 6.914207628965488, -1.5729310183363616, -7.281995087797253, 23.79099704242139, 16.37103126018726, 59.28609984871588, 32.04086205476045, -2.2440415983393898, 16.56583495775724, -21.250347628363105, 8.839683502669445, -31.88658600056086, 19.858831626458212, 20.624633802432488, -23.95330400712064, 2.933979988880746, -13.582800455255631, -0.5922157274341071, 18.95022167289935, -5.384676184140501, -2.6582706150688606, -1.0308689066593224, 9.584378603433507, -9.218888823965786, -6.963992720241549, 14.954721017615565, 4.459467248548343, 8.185007586232325, -11.087903026227682, 15.548224634916364, 59.4857945792247, 39.75547957309546, 36.045507940103526, 100.89576820790037, -50.45296699899401, -18.739905052660603, -7.760669891698479, -28.630695500580885, 68.28312290549879, 19.311993265118172, -16.46298639304068, 1.187736315562348, -1.8143512237188435, 0.1516730702364799, 2.7029840980598645, -2.2280422601394436, 0.0267403093133744, 1.9696324971315677, -3.3103410369103865, 5.922107252246811, -0.9284419935667916, 8.057248955364257, 12.245333538519494, -5.004599730771006, -9.46795407732028, -9.222012172151864, -5.135999665322716, -0.18812818409567983, 19.37145106743898, -45.84143872309911, 52.53234792715534, 56.47070864401248, -20.351209778753955, -17.554785702321123, 9.212393342289316, -11.052406560822863, -1.663036216056382, 3.7489198962533856, 1.3995477859001988, 10.070145512227521, 6.815480300733752, -6.221189858629552, 50.12412122692527, -14.611091926069452, 16.39459154235742, 11.732491551972256, -9.067734998359612, 14.773199669925642, 3.309476271189396, -4.354356894471838]",2023-09-28,2022-02-24
1,2024-01-01,2300,285,False,0.9864000264069666,-588.132555381778,719.038058343921,"[-6.080245365146356, -7.2462518387035795, 11.788592245684068, -32.05871038966057, -1.4581488755419705, -4.7711822829965636, -1.9516174063801555, 3.8092537594358817, 7.083118666044172, -28.267135804117572, 16.42980279285333, 14.055153933635987, 55.390621817105, 27.58607187441994, -2.6067798792630916, 6.770982617613941, -22.685992860281072, 15.024448844745985, -29.943644278827406, 20.545247120076525, 19.444362508739744, -23.089026059556655, 3.304318523086833, -14.281147377071493, -1.0764435630246176, 19.029422325591362, 4.9597546807466735, -10.621253909807873, -2.258841471796313, 10.297075534533699, -10.038121455955402, -7.2725185239711765, 10.089710235824352, 4.27306153820438, 8.588792372872811, -9.721696651950763, 16.917010245732925, 55.660585731453125, 43.56625311960517, 26.821877412725303, 84.6766850625705, -49.51526719980292, -15.497908518538038, 0.7686710844588406, -24.783448762195583, 63.30803238603594, 9.784856169137099, -13.743818140802448, 2.591225944529156, -2.0105053428027024, -0.08884059245769951, 1.6520828306923516, -2.1439628399646304, 0.30670088231908915, -0.5434424573382403, 4.13897866279566, 3.633973320090493, 1.453234386610784, 5.594652974071257, 6.271842108977713, 3.3210030947431726, -5.7600764371798805, -3.681472219919144, -9.242013340135525, 0.4517720396274821, 13.799063642633255, -42.70064316589616, 50.21313876528225, 52.248602989635216, -16.492723170756346, -12.556144256776363, 9.04659777730684, -10.925892943912983, 5.342079637820412, -1.3476795216926052, 0.42180664264191564, 7.781942783612994, 6.480823501606003, -3.2225370753035185, 45.802617448607265, -10.212596878612635, 13.481479803050394, 6.743970161791081, -6.534614138674608, 10.635969447549073, 5.683377548696391, -9.567900072428719]",2023-12-29,2022-02-24
1,2024-04-01,2585,300,False,1.4734116565533273,-574.0766050293174,699.2758240653219,"[-9.8003255001873, -4.809623066901268, 15.072009272655592, -26.150262332752877, 1.2827801921667321, -7.129470996766107, 2.8764546797611006, 5.345438131386053, 7.625187700618657, -31.151076798268843, 15.024343467983146, 13.122590100619103, 50.28995163517547, 26.749480635110135, -4.4936957872247305, 5.561507720415132, -20.322876505228717, 15.389392908654688, -27.22580258017061, 17.507038328266187, 17.440023434504173, -21.128996558394302, -1.5843387013239432, -8.415162370209075, -1.0770171159655957, 16.764727267668764, 2.5895911284374256, -10.734921582722137, -1.8345834885447083, 7.338605343559275, -9.009934080820699, -5.615837235484268, 10.154195249133624, 3.4000216653084885, 7.436946228028106, -7.813453583571285, 17.979541049633117, 53.70729586072274, 34.36392667007622, 22.545988423100674, 78.57963999660129, -49.27559747883481, -14.9425577895275, -2.0722352919291676, -14.633216429652373, 57.38785079308521, 10.643626518853623, -12.282849115166714, 2.6427360244500453, -1.8307192788083628, 0.1740197903036226, 1.0598262606206548, -2.0458627965696516, -0.5329174886691262, -0.757272177288101, 4.327745707049841, 5.18545116226154, -0.4267840371923051, 6.648278659198002, 8.408961921913187, 4.362130244729253, -5.557588759995964, -3.757684882782521, -8.654566943138194, 7.7923276562703485, 13.666080252749511, -41.24318897589344, 47.88638535634037, 51.121541594700034, -17.045364874630923, -11.30124741769769, 6.411761660750257, -11.476505396459306, 4.209427990607699, -0.5268473555012767, -1.7449466479823714, 4.791782121345868, 8.394072313230513, -10.239817376108352, 44.4634860834174, -10.035932570241464, 13.723078349480565, 6.361005041992733, -6.690666950822944, 11.38586069904155, 4.364550953455601, -7.465192818182692]",2024-03-29,2022-02-24
1,2024-07-01,2885,325,False,-0.6722179133877,-560.1584358130037,679.8868303478612,"[-9.338096171455202, 0.6903886937358098, 23.16722782217048, -17.56487779958259, -14.866151074795773, -2.4414518457832166, 2.698621182254639, 19.981990976593668, -21.869058407326218, -18.1214547313241, 16.04700179033396, 10.06168505406197, 51.464472580965676, 22.405219178909764, -1.3420484786512648, 8.583029375310357, -13.590938912248731, 16.430473658067005, -17.749658341505263, 14.749928230065319, 18.225882944384907, -20.88640867497534, -2.38148869314083, -7.700468663366548, -4.692773749514426, 17.974000903209063, -3.813659932576484, -3.463604864136808, -0.8999346221811407, 9.425083606010844, -6.583518243454986, -5.933285324023141, 8.691850785444386, 4.329963769508294, 4.191234321611608, -6.955074481256466, 14.171481420159637, 47.85905626966356, 24.397548628917534, 21.44503265324579, 72.48287931495922, -45.635626827181724, -14.224831854308366, 6.301174394249204, -5.672908024345081, 58.310849038360885, 11.864502589559466, -11.499573536391637, 1.500892176987721, -0.869441795846792, -0.5947794246402273, 0.7757059674263425, -0.812376923924019, 46.10176286943665, 45.108268618584056, 7.099664296213263, 6.1846267776454384, -1.220978629122659, 4.562137853569051, 10.744212146445257, 3.477898441873832, -3.382162703778132, -6.007665494857559, -6.218514167437343, 4.374248007906665, 38.56335799903662, -65.45474610994275, 4.104482018059655, 13.523911125883133, -16.477299355029768, -9.83569136874159, 5.317787379126873, -9.678245565835688, 1.999637062911953, -0.9372397678880742, -1.3581781249683427, 6.129699239144275, 4.823310024420094, -6.040114628450272, -14.726481481027268, 30.235412037852356, 46.9658671708868, 35.876029397878554, -6.8391430987269715, 11.466761082468054, 1.9400822974319116, -5.310967896151506]",2024-06-28,2022-02-24
1,2024-10-01,3215,330,False,1.2751865533509523,-543.014717113217,639.6397748380173,"[-6.349820916176736, -1.1108259504106173, 14.338755858699164, -12.282560423817177, -9.527376180709394, -8.824556843606642, 10.97325950393257, 13.0346724843264, -17.5220883016824, -19.875736259981352, 12.506749132281994, 8.679566662580964, 56.662385283304054, 19.219425333543327, 2.0736305453608046, 4.528830201418085, -9.34480407281256, 13.737146977904297, -18.42689713847098, 10.4721508658981, 11.650467417307585, -16.595668961489054, -1.2869751622778323, -8.358795869329407, -10.244513397626624, 18.391651632967804, 0.19447053167943384, -5.6032786458962605, 0.5141202096442047, 13.058270385683437, -7.576334304315968, -6.237739468127487, 9.729370290135913, 9.473457440198576, -0.7179506223268135, -12.742241443657976, -5.939529403569077, 41.59507018359419, 26.61964040880146, 39.215853162266356, 74.8776761603344, -43.86363386290791, -14.969354838841928, 16.933471295075456, -4.679943746968705, 63.78325294610491, 11.654523445421484, -11.738652085290084, 1.5873711620987048, -0.7368561656166631, -0.35053451275851927, 1.1423952208987362, -1.642375704612558, 42.62851498578391, 39.04116096414471, 10.257865050866148, 6.457935504310715, -1.1429728084159472, 6.979469892543906, 10.290964576921658, 2.592644077224125, 1.9696852709784538, -5.599975571877257, -9.351936423184089, 2.818309737198448, 34.39513292692686, -41.64592909399944, 6.851282259744557, 14.587014205511885, -17.335051597867416, -10.952800201097022, 5.476233848465381, -11.079421413894107, 1.4567207850717199, -0.5741145838834527, -2.728443633786125, 6.669969648342249, 7.080978866649929, -1.2427775733549529, -2.5613027488921305, 5.347989615031588, 44.32512939307086, 31.067557609781687, -6.902176629151835, 12.404251755279939, 0.5075204532673067, -4.3552716930688735]",2024-09-28,2022-02-24
1,2025-01-01,3545,285,False,2.142348021667578,-520.5429212825818,597.1002151226269,"[0.9514914899746577, -0.04586712834795808, 15.889491766159567, -0.04007519043003123, -6.451825099567234, -7.6462275727245315, 13.367530024593961, 12.614682590495924, -11.38341201134746, -22.80177616901611, 9.895696491299027, 5.801609066359069, 41.189559284531754, 21.317955183408795, 0.6152646409800564, 3.621580637827366, 3.5545797150480376, 8.703200263681824, -23.133521945362357, -0.08332672056781355, 10.11020948793554, -14.532816486013267, -1.234336273224126, -8.198838104501904, -6.308546790118558, 14.5651903857075, -2.6860475917850954, -5.819430637344626, -0.7987296263538458, 10.87460581778348, -9.118765060109737, -4.348222291352885, 10.876063161894258, 8.699608640275862, -1.3965025517323015, -13.007070954604355, 0.9463097292874563, 34.577942389241976, 29.57939925048329, 30.527575844896553, 50.26934914438889, -38.295141402376636, -10.585081541683406, 10.38657432221458, -12.76082412926735, 46.04346443302399, 8.362058461646766, -7.902502216770801, 1.5294051525110208, -0.5699678820822175, -0.6448537326415481, 1.0361251398850688, -1.3507086776731618, 37.488065838220514, 32.68792632534204, 28.347132920369788, 12.182934442796912, -1.1305519338895613, 5.121259976441142, 13.461806141764795, 7.631653572682541, 4.28106341625767, -11.451322254560827, -8.734354397035062, 1.8522376264148608, 38.29831471340473, -43.6277590613991, 9.889990948194052, 14.993709735982875, -21.327322389642436, -11.285437089128854, 5.590001343940447, -9.670495154548846, -1.7386635652265154, -3.6310223342260413, -4.086744883103185, 10.592347891916852, 6.707352363720872, -2.9888445903848604, -5.981503992786631, 6.456781969405167, 39.21204406826624, 26.725970301721166, -7.006595528263647, 17.558147996593917, 0.9170532587545294, -5.119197104839079]",2024-12-29,2022-02-24
1,2025-04-01,3830,295,False,-1.905295181435635,-502.93101179483835,578.4897032754717,"[2.9514262014348676, 1.6388646858831006, 13.226281789250734, 2.1970480585127277, 3.665682239164678, -5.70615737497371, 15.358509666237442, 14.054014878338261, -8.317343021507055, -15.82284273441443, 6.7225003056774115, 10.103802529663755, 32.699350081301986, 25.259822115806955, 1.1481723749896457, -0.16647734545837667, 5.284256802516255, 3.5882096759977262, -18.33701495484624, 1.8191225830662683, 9.045821936283806, -14.365691949657776, 3.7585769462666625, -14.03217550809208, -5.494929361151099, 13.817406977498257, -2.1172008144842955, -6.828093327660829, -2.62779943528181, 13.60410195617171, -13.130999491314363, -5.797532014078378, 11.827841668636392, 9.31766112504065, -0.3422943359696051, -17.655248376705195, 1.7932435775086282, 28.102042361210106, 32.722346195781604, 18.33104922428693, 51.57309906169845, -46.33516672150805, -2.0556709630564676, 1.8326422901846269, -4.83966961504986, 36.95360955304791, 6.923314706944928, -7.48753810293495, 0.7850742889520136, -0.5491461865390391, 0.029335597312546938, 0.7512838007617676, -1.0165475004857674, 35.49074832758187, 33.09104799444226, 13.890545194527974, 7.072400979952452, -0.8145169098821372, 5.85986121298412, 10.93203615445855, 4.0822946177389285, 1.0150699934701906, -7.108908780573187, -7.11147996040767, 2.1391376157619284, 36.860579229765705, -41.577764614029704, 8.836260067315731, 15.278277408007797, -15.663337807230254, -9.340679316369421, 5.188545864658658, -9.357412397789016, -0.6347873900998123, -1.9739434103937137, -2.952444019228643, 8.323453944027985, 4.214287018864536, -1.4849741715647233, -5.847942065624859, 5.183462011689979, 36.036654312597236, 25.266977651032622, -6.19670887889774, 11.93610414442043, 4.071525502428965, -6.623794986738786]",2025-03-29,2022-02-24
