period,currency,expert,mean_weight,mean_loss,last_local_count
early,TJS,ap26_y20,0.4293801897536465,0.30484492820028597,175
early,TJS,ridge_survival,0.16794365622479598,0.35051405125062207,175
early,TJS,distributional_cat,0.40267615402155754,0.30738038598677353,175
early,UZS,ap26_y20,0.42504184815769835,0.3385844290450538,172
early,UZS,ridge_survival,0.24319971271150992,0.37061882685528247,172
early,UZS,distributional_cat,0.3317584391307917,0.34999371125388296,172
early,KGS,ap26_y20,0.44914092011531503,0.3096148252408702,172
early,KGS,ridge_survival,0.19421307137979443,0.35071476648337296,172
early,KGS,distributional_cat,0.35664600850489053,0.31914138322230995,172
early,AMD,ap26_y20,0.4639551399661114,0.298614104944392,177
early,AMD,ridge_survival,0.17594687986858834,0.3465863054994175,177
early,AMD,distributional_cat,0.36009798016530015,0.30937695816091565,177
early,KZT,ap26_y20,0.48422168536610183,0.32865712571516353,164
early,KZT,ridge_survival,0.2693912913127796,0.35917360096648077,164
early,KZT,distributional_cat,0.24638702332111848,0.3578688796121308,164
late,TJS,ap26_y20,0.521366495384983,0.3251384671342154,248
late,TJS,ridge_survival,0.35254516905458266,0.34303359699382857,248
late,TJS,distributional_cat,0.12608833556043425,0.39004574588165836,248
late,UZS,ap26_y20,0.5009049493857026,0.3528276470540785,242
late,UZS,ridge_survival,0.40703828686806615,0.363208692616152,242
late,UZS,distributional_cat,0.09205676374623122,0.4262935726909224,242
late,KGS,ap26_y20,0.6350410400280023,0.31155464551129963,222
late,KGS,ridge_survival,0.2668540062241392,0.3514414491339528,222
late,KGS,distributional_cat,0.09810495374785841,0.3937126190111942,222
late,AMD,ap26_y20,0.5896449152410459,0.3074880214272045,242
late,AMD,ridge_survival,0.3323378239993871,0.3332384282019313,242
late,AMD,distributional_cat,0.07801726075956694,0.40075100887999304,242
late,KZT,ap26_y20,0.6946954856152198,0.3234996283017772,237
late,KZT,ridge_survival,0.24513210157798407,0.3730520450600396,237
late,KZT,distributional_cat,0.06017241280679611,0.4311745679445369,237
