clock,h,period,n,mae_model,mae_prior,rmse_model,rmse_prior,spearman,positive_sign_accuracy,mean_predicted_bps,mean_actual_bps
1900,3,screen_2024,1240,56.694548409744804,57.03347985924582,78.10989667958472,78.9927493537169,0.7986806010854502,0.7870967741935484,-10.150723602134555,7.256533989141921
1900,3,opened_2025_2026,2030,54.73875541187021,56.41022346918532,70.8453182320168,72.87759380126064,0.8130044680802391,0.8059113300492611,-3.7954295983236475,-4.411496765229121
1900,5,screen_2024,1240,85.03155378739484,84.42689608110084,117.61567959710744,116.53185623157155,0.6664451377890822,0.7193548387096774,-8.865180746684622,11.693101668126104
1900,5,opened_2025_2026,2020,85.12057619935692,86.82821251598888,106.96460821509973,109.46108231808252,0.6939347289952343,0.753960396039604,-4.268884449434325,-7.332304159835645
1900,10,screen_2024,1240,127.51980834819591,126.66181589916859,172.34776765360826,170.4566543959243,0.4638735394095475,0.6661290322580645,4.366766339524401,23.397704837758397
1900,10,opened_2025_2026,1995,136.42282909632095,136.41937228024133,172.15937831693205,173.11748235242743,0.5361411505600321,0.7147869674185464,-1.4008652778607737,-14.620083631982645
1900,20,screen_2024,1240,172.1622231746557,169.68798006987043,231.2040253905646,225.26521835695152,0.3092759975234955,0.6451612903225806,74.58088359112094,40.93648818714773
1900,20,opened_2025_2026,1945,214.67285286149874,214.54456245828453,268.8386873306253,269.16599858965,0.3496150025749996,0.6354755784061696,11.529143297718734,-31.08511453275586
2000,3,screen_2024,1240,58.076866280176816,57.03347985924582,81.32669408411505,78.9927493537169,0.7792371008935193,0.7838709677419354,-8.538026206551807,7.256533989141921
2000,3,opened_2025_2026,2030,55.53430629143419,56.41022346918532,71.72542053461646,72.87759380126064,0.8066433782144125,0.7886699507389162,-3.9589799843468407,-4.411496765229121
2000,5,screen_2024,1240,87.87514671276244,84.42689608110084,121.69576012756228,116.53185623157155,0.6317885620960488,0.7120967741935483,-6.6361513475978695,11.693101668126104
2000,5,opened_2025_2026,2020,85.98929425070257,86.82821251598888,108.05114687483474,109.46108231808252,0.6848893526596223,0.7524752475247525,-4.385101439166793,-7.332304159835645
2000,10,screen_2024,1240,131.95591823040957,126.66181589916859,176.77184457095348,170.4566543959243,0.429764075616091,0.6491935483870968,6.825546084447945,23.397704837758397
2000,10,opened_2025_2026,1995,136.52481719494793,136.41937228024133,171.5793710194076,173.11748235242743,0.5372684298167,0.7162907268170426,-3.107807806717802,-14.620083631982645
2000,20,screen_2024,1240,176.2028322235762,169.68798006987043,235.56262918483384,225.26521835695152,0.2776654695971426,0.6330645161290323,75.6310308736366,40.93648818714773
2000,20,opened_2025_2026,1945,213.94768795507213,214.54456245828453,266.86135835790975,269.16599858965,0.3572512210984467,0.642159383033419,9.524293656990311,-31.08511453275586
