clock,h,origin,n_train,n_query,coefficients,last_target_maturity,min_train_date
1900,3,2023-01-01,630,285,"[0.1699343566327541, 0.6604879616748109, 0.7156254738556675, 0.00410235859834968, 0.12753870959134234, -0.08766407184663914, -0.0727477552166086, 0.018072188596268572, 0.018903287473989304]",2022-12-29,2022-02-24
1900,3,2023-04-01,910,305,"[0.38471948593669436, 0.540373491828231, 0.7802312160155315, -0.08721196173468514, 0.1898460111276152, -0.14166783831053434, -0.0979969326462497, -0.03210307628512493, -0.005290125620391728]",2023-03-29,2022-02-24
1900,3,2023-07-01,1215,325,"[0.5655462885916651, 0.5718471682222473, 1.061181133993871, 0.0018318977963524333, 0.16692703681988796, -0.11616601685357363, -0.07002135753850794, 0.02546779064543144, -0.004375555276894981]",2023-06-28,2022-02-24
1900,3,2023-10-01,1545,320,"[0.7023155471583936, 0.9767188644169833, 0.6811431565761776, -0.08887465833943915, 0.16151213612290716, -0.09193165896585535, -0.1425847448171132, 0.0038658771471145946, -0.019736267826491776]",2023-09-28,2022-02-24
1900,3,2024-01-01,1870,285,"[0.7396916986223181, 1.2575435313745325, 0.7165798466718967, -0.16657115700834346, 0.02681205819829309, -0.07047602366284125, -0.11286013578751303, 0.007605623626669952, -0.017652679382952383]",2023-12-29,2022-02-24
1900,3,2024-04-01,2155,300,"[0.7721655451095788, 1.2297128106388688, 0.4441759305553872, -0.14109511122806145, 0.06579908864160788, -0.06568496122834828, -0.15657744077766184, 0.004514606852006263, 0.010853595284334055]",2024-03-29,2022-02-24
1900,3,2024-07-01,2455,330,"[0.8075163462736581, 1.441543136324639, 0.44253438048646293, -0.17372589892263524, 0.02796058404722004, -0.0544224070929096, -0.09351350289055775, -0.012946349479304328, -0.04080422350708098]",2024-06-28,2022-02-24
1900,3,2024-10-01,2780,325,"[0.8666170009525734, 1.5735335736169969, 0.4137478297310015, -0.13781577625510377, 0.01776337969942622, 0.0217733251272745, -0.05903273586355191, -0.03561410528849804, -0.08270563992975512]",2024-09-27,2022-02-24
1900,3,2025-01-01,3110,290,"[0.8983134375770409, 1.7493895774550923, 0.037410934951390445, -0.11280244473012808, 0.02871195033829915, 0.008288087257836928, -0.10425545045925172, 0.012088682547611628, -0.05763571441462603]",2024-12-28,2022-02-24
1900,3,2025-04-01,3395,295,"[0.9539783475587716, 1.8061362291596907, -0.1251754123865139, -0.13515685887014614, 0.03340062169659279, -0.01329769758125515, -0.07723542968960953, -0.007070142015370084, -0.07095421128049959]",2025-03-28,2022-02-24
1900,3,2025-07-01,3690,330,"[0.9698686930850843, 1.9117710183848393, -0.003940616061686577, -0.16180006591709406, 0.002652924277433998, -0.0877301378627465, -0.08934502410879687, 0.07319248346120188, -0.06057031168418072]",2025-06-27,2022-02-24
1900,3,2025-10-01,4015,320,"[0.9742784854801281, 1.8068784855524382, -0.184619996043339, -0.1525193739004394, 0.00782129497057113, -0.05442917623053685, -0.09217788120232744, 0.07986217014082131, -0.09359578157897384]",2025-09-26,2022-02-24
1900,3,2026-01-01,4340,275,"[1.000290514480843, 1.836511093351341, -0.15257904437279224, -0.20852318537998085, -0.0053189007015775995, -0.08018799586340118, -0.06845368481736827, 0.053496460774612196, -0.10805906477225055]",2025-12-29,2022-02-24
1900,3,2026-04-01,4610,310,"[1.060941566169059, 1.9480084877802657, -0.2482258153542649, -0.18295833964335428, -0.0014386383497690162, -0.07628382517712713, -0.06971392427119139, 0.03327274803402545, -0.06879469987928133]",2026-03-27,2022-02-24
