period,candidate,control_lift,challenger_lift,lift_difference,lift_difference_ci_low,lift_difference_ci_high,p_challenger_not_better,control_benefit_bps,challenger_benefit_bps,benefit_difference_ci_low,benefit_difference_ci_high,observed_lift_difference,circular_p_unadjusted,circular_p_max_adjusted,null_max_difference_q95,n_challengers
screen_2024,pooled_hit_lcb,1.6253362124483846,1.6022376601857624,-0.02309855226262214,-0.17226490114992676,0.14690020610346183,0.6108472881779555,69.07768827646522,61.84960234168093,-22.63656191415084,7.445257623930935,-0.02309855226262214,0.5953511622094476,0.7933016745813547,0.16336540848952896,5
screen_2024,shrunk_hit_lcb,1.6253362124483846,1.6185864015880007,-0.0067498108603838425,-0.15549224122822147,0.17192700677568867,0.5328667833041739,69.07768827646522,62.18925192148233,-22.52131467359317,8.329358523978229,-0.0067498108603838425,0.5221194701324668,0.6983254186453387,0.16336540848952896,5
screen_2024,shrunk_benefit_lcb,1.6253362124483846,1.6276849642004776,0.0023487517520930368,-0.13514301721198138,0.13544488244004294,0.4891277180704824,69.07768827646522,67.24669628434143,-14.19262301825133,10.512475774279382,0.0023487517520930368,0.4931267183204199,0.6698325418645339,0.16336540848952896,5
screen_2024,reliability_benefit_equal,1.6253362124483846,1.619491110368257,-0.005845102080127562,-0.12400200651971537,0.15807755916164964,0.5346163459135216,69.07768827646522,63.73248985863812,-19.371647347584222,7.7600742335053745,-0.005845102080127562,0.5226193451637091,0.6938265433641589,0.16336540848952896,5
screen_2024,primary75_reliability25,1.6253362124483846,1.604624492452655,-0.020711719995729627,-0.062107204642118365,0.05043497805780904,0.7573106723319171,69.07768827646522,68.28601017726209,-7.9526845253395875,5.731768635801012,-0.020711719995729627,0.6590852286928268,0.7800549862534366,0.16336540848952896,5
retrospective_2025,pooled_hit_lcb,1.8383244757095287,1.940228162614202,0.10190368690467322,-0.14966921052004478,0.4668724885910713,0.24943764058985254,41.709708520480184,57.00565910941022,-9.44673183426742,53.5969258938492,0.10190368690467322,0.11072231942014496,0.17120719820044988,0.15860453691717505,5
retrospective_2025,shrunk_hit_lcb,1.8383244757095287,1.9813966589918188,0.1430721832822901,-0.10179350393651,0.5006426805816513,0.15246188452886777,41.709708520480184,61.46087631363728,-5.232377565947962,55.00627696899345,0.1430721832822901,0.04698825293676581,0.09322669332666833,0.15860453691717505,5
retrospective_2025,shrunk_benefit_lcb,1.8383244757095287,1.7681366911540357,-0.07018778455549302,-0.25693759667609506,0.08644063068099977,0.8072981754561359,41.709708520480184,46.63663087908955,-9.165583871883312,19.5525697646531,-0.07018778455549302,0.8137965508622844,0.9530117470632342,0.15860453691717505,5
retrospective_2025,reliability_benefit_equal,1.8383244757095287,1.872965575064115,0.03464109935458626,-0.17978146650240898,0.2915344497478567,0.40514871282179454,41.709708520480184,55.537345620124164,-8.259491711350417,43.1141269143373,0.03464109935458626,0.30167458135466135,0.45788552861784554,0.15860453691717505,5
retrospective_2025,primary75_reliability25,1.8383244757095287,1.8337149204334224,-0.004609555276106292,-0.11012578415800259,0.1310854781850289,0.5281179705073732,41.709708520480184,48.55860986281205,-1.623930114620077,17.086126093156707,-0.004609555276106292,0.48637840539865035,0.7323169207698076,0.15860453691717505,5
