candidate,n,lift,lift_ci_low,lift_ci_high,p_lift_le_1,benefit_ci_low,benefit_ci_high
imoex_aligned,507,1.7969499101306297,1.5083295217876516,2.1592264524917475,0.00024993751562109475,25.379586416459887,99.58467213431044
imoex_stale20,532,1.8248023015023693,1.512586407290189,2.2115412567816515,0.00024993751562109475,15.639972233677888,101.13612921762737
primary75_imoex25,533,1.8493998675234866,1.5584183225467165,2.162240952424943,0.00024993751562109475,29.195118134371643,106.22779677345997
rgbi_aligned,522,1.795383885383248,1.5059097239009873,2.14644979763491,0.00024993751562109475,19.2258326644565,103.15741281302724
rgbi_stale20,535,1.8006115362689377,1.4839777007976513,2.1912906265293133,0.00024993751562109475,11.078003653817012,100.01705415098782
primary75_rgbi25,540,1.8392551516396247,1.5482739054964156,2.1411127638328242,0.00024993751562109475,26.24888714065089,105.94669531169573
rusfar_aligned,528,1.7891250770178682,1.5039410638083022,2.1240443475870063,0.00024993751562109475,13.952136307017089,96.5310550500539
rusfar_stale20,517,1.8199694669588875,1.511166786342893,2.173877042935232,0.00024993751562109475,15.303610241081458,100.52081557046074
primary75_rusfar25,535,1.8006115362689377,1.5056423346939938,2.1185911708640486,0.00024993751562109475,23.848604755991513,103.25429625750219
gold_aligned,534,1.79699128400036,1.505462402801261,2.1314833721065853,0.00024993751562109475,20.441059289156595,98.81365101879635
gold_stale20,524,1.83128501079426,1.5250522218611788,2.2042116310922606,0.00024993751562109475,20.614826915631173,102.57399260437606
primary75_gold25,528,1.824483280120988,1.534576844815592,2.1168705397067917,0.00024993751562109475,26.08661115701195,107.35638869835047
