candidate,quarter,n_train,n_test,last_resolved,n_features,view,stale
logit,2024-01-01,2055,285,2023-12-30,40,spot,False
logit,2024-04-01,2340,300,2024-03-30,40,spot,False
logit,2024-07-01,2640,325,2024-06-29,40,spot,False
logit,2024-10-01,2965,330,2024-09-28,40,spot,False
logit,2025-01-01,3295,285,2024-12-29,40,spot,False
logit,2025-04-01,3580,295,2025-03-29,40,spot,False
logit,2025-07-01,3875,330,2025-06-28,40,spot,False
logit,2025-10-01,4205,325,2025-09-30,40,spot,False
logit,2026-01-01,4530,270,2025-12-31,40,spot,False
logit,2026-04-01,4800,310,2026-03-31,40,spot,False
logit,2026-07-01,5110,205,2026-06-30,40,spot,False
logit,2024-01-01,2055,285,2023-12-30,40,spot,True
logit,2024-04-01,2340,300,2024-03-30,40,spot,True
logit,2024-07-01,2640,325,2024-06-29,40,spot,True
logit,2024-10-01,2965,330,2024-09-28,40,spot,True
logit,2025-01-01,3295,285,2024-12-29,40,spot,True
logit,2025-04-01,3580,295,2025-03-29,40,spot,True
logit,2025-07-01,3875,330,2025-06-28,40,spot,True
logit,2025-10-01,4205,325,2025-09-30,40,spot,True
logit,2026-01-01,4530,270,2025-12-31,40,spot,True
logit,2026-04-01,4800,310,2026-03-31,40,spot,True
logit,2026-07-01,5110,205,2026-06-30,40,spot,True
hist,2024-01-01,2055,285,2023-12-30,40,spot,False
hist,2024-04-01,2340,300,2024-03-30,40,spot,False
hist,2024-07-01,2640,325,2024-06-29,40,spot,False
hist,2024-10-01,2965,330,2024-09-28,40,spot,False
hist,2025-01-01,3295,285,2024-12-29,40,spot,False
hist,2025-04-01,3580,295,2025-03-29,40,spot,False
hist,2025-07-01,3875,330,2025-06-28,40,spot,False
hist,2025-10-01,4205,325,2025-09-30,40,spot,False
hist,2026-01-01,4530,270,2025-12-31,40,spot,False
hist,2026-04-01,4800,310,2026-03-31,40,spot,False
hist,2026-07-01,5110,205,2026-06-30,40,spot,False
hist,2024-01-01,2055,285,2023-12-30,40,spot,True
hist,2024-04-01,2340,300,2024-03-30,40,spot,True
hist,2024-07-01,2640,325,2024-06-29,40,spot,True
hist,2024-10-01,2965,330,2024-09-28,40,spot,True
hist,2025-01-01,3295,285,2024-12-29,40,spot,True
hist,2025-04-01,3580,295,2025-03-29,40,spot,True
hist,2025-07-01,3875,330,2025-06-28,40,spot,True
hist,2025-10-01,4205,325,2025-09-30,40,spot,True
hist,2026-01-01,4530,270,2025-12-31,40,spot,True
hist,2026-04-01,4800,310,2026-03-31,40,spot,True
hist,2026-07-01,5110,205,2026-06-30,40,spot,True
extra,2024-01-01,2055,285,2023-12-30,40,spot,False
extra,2024-04-01,2340,300,2024-03-30,40,spot,False
extra,2024-07-01,2640,325,2024-06-29,40,spot,False
extra,2024-10-01,2965,330,2024-09-28,40,spot,False
extra,2025-01-01,3295,285,2024-12-29,40,spot,False
extra,2025-04-01,3580,295,2025-03-29,40,spot,False
extra,2025-07-01,3875,330,2025-06-28,40,spot,False
extra,2025-10-01,4205,325,2025-09-30,40,spot,False
extra,2026-01-01,4530,270,2025-12-31,40,spot,False
extra,2026-04-01,4800,310,2026-03-31,40,spot,False
extra,2026-07-01,5110,205,2026-06-30,40,spot,False
extra,2024-01-01,2055,285,2023-12-30,40,spot,True
extra,2024-04-01,2340,300,2024-03-30,40,spot,True
extra,2024-07-01,2640,325,2024-06-29,40,spot,True
extra,2024-10-01,2965,330,2024-09-28,40,spot,True
extra,2025-01-01,3295,285,2024-12-29,40,spot,True
extra,2025-04-01,3580,295,2025-03-29,40,spot,True
extra,2025-07-01,3875,330,2025-06-28,40,spot,True
extra,2025-10-01,4205,325,2025-09-30,40,spot,True
extra,2026-01-01,4530,270,2025-12-31,40,spot,True
extra,2026-04-01,4800,310,2026-03-31,40,spot,True
extra,2026-07-01,5110,205,2026-06-30,40,spot,True
logit,2024-01-01,2055,285,2023-12-30,78,spot_perpetual,False
logit,2024-04-01,2340,300,2024-03-30,78,spot_perpetual,False
logit,2024-07-01,2640,325,2024-06-29,78,spot_perpetual,False
logit,2024-10-01,2965,330,2024-09-28,78,spot_perpetual,False
logit,2025-01-01,3295,285,2024-12-29,78,spot_perpetual,False
logit,2025-04-01,3580,295,2025-03-29,78,spot_perpetual,False
logit,2025-07-01,3875,330,2025-06-28,78,spot_perpetual,False
logit,2025-10-01,4205,325,2025-09-30,78,spot_perpetual,False
logit,2026-01-01,4530,270,2025-12-31,78,spot_perpetual,False
logit,2026-04-01,4800,310,2026-03-31,78,spot_perpetual,False
logit,2026-07-01,5110,205,2026-06-30,78,spot_perpetual,False
logit,2024-01-01,2055,285,2023-12-30,78,spot_perpetual,True
logit,2024-04-01,2340,300,2024-03-30,78,spot_perpetual,True
logit,2024-07-01,2640,325,2024-06-29,78,spot_perpetual,True
logit,2024-10-01,2965,330,2024-09-28,78,spot_perpetual,True
logit,2025-01-01,3295,285,2024-12-29,78,spot_perpetual,True
logit,2025-04-01,3580,295,2025-03-29,78,spot_perpetual,True
logit,2025-07-01,3875,330,2025-06-28,78,spot_perpetual,True
logit,2025-10-01,4205,325,2025-09-30,78,spot_perpetual,True
logit,2026-01-01,4530,270,2025-12-31,78,spot_perpetual,True
logit,2026-04-01,4800,310,2026-03-31,78,spot_perpetual,True
logit,2026-07-01,5110,205,2026-06-30,78,spot_perpetual,True
hist,2024-01-01,2055,285,2023-12-30,78,spot_perpetual,False
hist,2024-04-01,2340,300,2024-03-30,78,spot_perpetual,False
hist,2024-07-01,2640,325,2024-06-29,78,spot_perpetual,False
hist,2024-10-01,2965,330,2024-09-28,78,spot_perpetual,False
hist,2025-01-01,3295,285,2024-12-29,78,spot_perpetual,False
hist,2025-04-01,3580,295,2025-03-29,78,spot_perpetual,False
hist,2025-07-01,3875,330,2025-06-28,78,spot_perpetual,False
hist,2025-10-01,4205,325,2025-09-30,78,spot_perpetual,False
hist,2026-01-01,4530,270,2025-12-31,78,spot_perpetual,False
hist,2026-04-01,4800,310,2026-03-31,78,spot_perpetual,False
hist,2026-07-01,5110,205,2026-06-30,78,spot_perpetual,False
hist,2024-01-01,2055,285,2023-12-30,78,spot_perpetual,True
hist,2024-04-01,2340,300,2024-03-30,78,spot_perpetual,True
hist,2024-07-01,2640,325,2024-06-29,78,spot_perpetual,True
hist,2024-10-01,2965,330,2024-09-28,78,spot_perpetual,True
hist,2025-01-01,3295,285,2024-12-29,78,spot_perpetual,True
hist,2025-04-01,3580,295,2025-03-29,78,spot_perpetual,True
hist,2025-07-01,3875,330,2025-06-28,78,spot_perpetual,True
hist,2025-10-01,4205,325,2025-09-30,78,spot_perpetual,True
hist,2026-01-01,4530,270,2025-12-31,78,spot_perpetual,True
hist,2026-04-01,4800,310,2026-03-31,78,spot_perpetual,True
hist,2026-07-01,5110,205,2026-06-30,78,spot_perpetual,True
extra,2024-01-01,2055,285,2023-12-30,78,spot_perpetual,False
extra,2024-04-01,2340,300,2024-03-30,78,spot_perpetual,False
extra,2024-07-01,2640,325,2024-06-29,78,spot_perpetual,False
extra,2024-10-01,2965,330,2024-09-28,78,spot_perpetual,False
extra,2025-01-01,3295,285,2024-12-29,78,spot_perpetual,False
extra,2025-04-01,3580,295,2025-03-29,78,spot_perpetual,False
extra,2025-07-01,3875,330,2025-06-28,78,spot_perpetual,False
extra,2025-10-01,4205,325,2025-09-30,78,spot_perpetual,False
extra,2026-01-01,4530,270,2025-12-31,78,spot_perpetual,False
extra,2026-04-01,4800,310,2026-03-31,78,spot_perpetual,False
extra,2026-07-01,5110,205,2026-06-30,78,spot_perpetual,False
extra,2024-01-01,2055,285,2023-12-30,78,spot_perpetual,True
extra,2024-04-01,2340,300,2024-03-30,78,spot_perpetual,True
extra,2024-07-01,2640,325,2024-06-29,78,spot_perpetual,True
extra,2024-10-01,2965,330,2024-09-28,78,spot_perpetual,True
extra,2025-01-01,3295,285,2024-12-29,78,spot_perpetual,True
extra,2025-04-01,3580,295,2025-03-29,78,spot_perpetual,True
extra,2025-07-01,3875,330,2025-06-28,78,spot_perpetual,True
extra,2025-10-01,4205,325,2025-09-30,78,spot_perpetual,True
extra,2026-01-01,4530,270,2025-12-31,78,spot_perpetual,True
extra,2026-04-01,4800,310,2026-03-31,78,spot_perpetual,True
extra,2026-07-01,5110,205,2026-06-30,78,spot_perpetual,True
