candidate,horizon_lift_min,horizon_lift_mean,symmetric_benefit_min,future_benefit_min
incumbent,1.424175824175824,1.4780910090963848,2.039553329844701,46.38983128414809
incumbent50_spot_extra50,1.4281164794415968,1.5334428103921796,1.8096303537963405,44.01134883759731
incumbent50_spot_hist50,1.4710178578967366,1.5934735927804988,8.193835656666034,51.07031879718154
incumbent50_spot_logit50,1.442988229458784,1.6183795284445792,8.75438744647471,49.45883919359983
incumbent50_spot_perpetual_extra50,1.4975538861482405,1.69314130659248,8.579888733893277,53.32359840691927
incumbent50_spot_perpetual_hist50,1.528216216216216,1.6823202367411176,10.578914765622736,51.8260064955341
incumbent50_spot_perpetual_logit50,1.4229392717150486,1.6020816669868903,10.67685234350397,49.1056999884764
incumbent75_spot_extra25,1.4030443414956981,1.481633566019751,1.2808691111796426,43.46625967010082
incumbent75_spot_hist25,1.3995605910481197,1.5132270982928144,2.0241111558700147,44.16839111531535
incumbent75_spot_logit25,1.416087388282026,1.5531169973829333,3.9152414374847737,45.650963389022635
incumbent75_spot_perpetual_extra25,1.441388343156516,1.564882894480589,4.598674290844454,46.809621962158495
incumbent75_spot_perpetual_hist25,1.4185332860154898,1.5374912560154073,1.4142405506754145,43.418135725757544
incumbent75_spot_perpetual_logit25,1.409296226140172,1.5737336366764063,6.141995884955484,47.06836633655432
noon_consensus,1.565624159129013,1.7222082478709044,11.517488945235309,53.403549854213466
noon_consensus50_spot_extra50,1.442909090909091,1.602784765055355,9.747588502539172,49.71930370826667
noon_consensus50_spot_hist50,1.4492565417830012,1.568271822112906,9.740270015666875,48.816576493333656
noon_consensus50_spot_logit50,1.4514807444691562,1.620018090269003,10.931830969344412,50.4629711196444
noon_consensus50_spot_perpetual_extra50,1.4746165832854918,1.6262174192533183,12.911019712364427,53.126049607119356
noon_consensus50_spot_perpetual_hist50,1.4847759151556619,1.609408023925115,10.961627641529004,46.131774137543815
noon_consensus50_spot_perpetual_logit50,1.4171155918116054,1.5657286876139023,11.463874320873117,49.676458511922576
noon_consensus75_spot_extra25,1.4538919080833583,1.5900346875994575,10.191107679145652,47.85317231464611
noon_consensus75_spot_hist25,1.4492916136544969,1.5995942772890364,10.566115027197903,46.39055758455272
noon_consensus75_spot_logit25,1.4856867159858476,1.678684618534902,12.432888957212983,52.16984829406237
noon_consensus75_spot_perpetual_extra25,1.4496891146335054,1.6164191813421713,11.197061808884527,47.56691863696485
noon_consensus75_spot_perpetual_hist25,1.459252721388644,1.5921279300448692,10.781262237732022,45.9316987057012
noon_consensus75_spot_perpetual_logit25,1.4704743465634076,1.6321422822578242,12.3956080574539,50.950780874029356
spot_extra,1.4412974065651343,1.6135924896511284,12.705215619813924,46.86471307057287
spot_hist,1.4785331331760667,1.6435174642854538,9.42868458589385,51.46804640355712
spot_logit,1.4151698172405682,1.5508730619494169,11.484146474572785,45.650038260530124
spot_perpetual_extra,1.493764172335601,1.6593304653627814,15.253836029649438,55.47972416944581
spot_perpetual_hist,1.5073095872708182,1.6555842623370125,11.94407192982615,52.173790285260345
spot_perpetual_logit,1.3720470056132135,1.4868999285914677,14.30866235980203,51.0875868583019
