period,weight,n,mean_first_expert_weight,q10,q50,q90,first_expert_majority_share
early,primary_soft730,1135,0.5153869539564955,0.4457675787406135,0.5038643230670471,0.5772042758332889,0.7083700440528634
early,pace_soft730,1135,0.2967404246541153,0.14737595411226878,0.2774308250285844,0.46899950480108726,0.06784140969162995
early,primary_soft365,1135,0.5199265020226156,0.4457675787406135,0.5020448334605577,0.5872899935991078,0.6889867841409691
early,pace_soft365,1135,0.34306138494390315,0.14737595411226878,0.27953483151403846,0.657872345487059,0.20792951541850221
early,primary_hard730,1135,0.7083700440528634,0.0,1.0,1.0,0.7083700440528634
early,pace_hard730,1135,0.06784140969162995,0.0,0.0,0.0,0.06784140969162995
later,primary_soft730,3285,0.5462608100813552,0.4376468336570139,0.5605755933169815,0.6204905531152349,0.8097412480974124
later,pace_soft730,3285,0.5732981873392516,0.43817742664854575,0.5757663690212824,0.7131711919451047,0.7129375951293759
later,primary_soft365,3285,0.5310156516067941,0.390440376847115,0.5373353118944411,0.6485833501669012,0.649923896499239
later,pace_soft365,3285,0.5853953299940919,0.31435893967612977,0.602358988186635,0.8086471101858246,0.7223744292237443
later,primary_hard730,3285,0.8097412480974124,0.0,1.0,1.0,0.8097412480974124
later,pace_hard730,3285,0.7129375951293759,0.0,1.0,1.0,0.7129375951293759
