block,currency,month,n,base_rate_h5,benefit_h5_bps
general_validation,UZS,3,83,0.3253012048192771,4.0555566238296485
general_validation,UZS,4,81,0.20987654320987653,-0.8209304587953506
general_validation,UZS,5,74,0.13513513513513514,-47.31751811276983
general_validation,UZS,6,82,0.2804878048780488,9.80549915163606
general_validation,UZS,7,87,0.22988505747126436,8.983207587411474
general_validation,UZS,8,90,0.28888888888888886,-47.708576416209944
general_validation,UZS,9,85,0.25882352941176473,-252.87439759927048
general_validation,UZS,10,89,0.19101123595505617,-8.402453306788074
general_validation,UZS,11,82,0.2073170731707317,-13.605674801861195
general_validation,UZS,12,88,0.14772727272727273,-37.021233386556176
transition,AMD,1,16,0.4375,54.00996484756395
transition,AMD,2,19,0.10526315789473684,-58.83159543281309
transition,AMD,3,21,0.2857142857142857,26.804549940337385
transition,AMD,4,22,0.22727272727272727,4.9881834850023665
transition,AMD,5,19,0.05263157894736842,-32.949315150466845
transition,AMD,6,21,0.3333333333333333,61.37255182652294
transition,AMD,7,23,0.30434782608695654,15.321947715343951
transition,AMD,8,21,0.23809523809523808,-6.203999269456985
transition,AMD,9,22,0.18181818181818182,2.026351430363421
transition,AMD,10,22,0.2727272727272727,8.034513036189736
transition,AMD,11,19,0.3684210526315789,30.68486705689974
transition,AMD,12,23,0.2608695652173913,23.45575833747348
transition,KGS,1,16,0.3125,1.2152526499297958
transition,KGS,2,19,0.10526315789473684,-34.835492463967455
transition,KGS,3,21,0.2857142857142857,35.14687439301946
transition,KGS,4,22,0.18181818181818182,-19.804952913722726
transition,KGS,5,19,0.21052631578947367,-17.592219480586685
transition,KGS,6,21,0.23809523809523808,-18.025456816690696
transition,KGS,7,23,0.2608695652173913,-2.3361308838620225
transition,KGS,8,21,0.2857142857142857,2.8620181091919155
transition,KGS,9,22,0.18181818181818182,-7.895334786207206
transition,KGS,10,22,0.13636363636363635,-27.23304091469465
transition,KGS,11,19,0.42105263157894735,62.907831869281594
transition,KGS,12,23,0.30434782608695654,11.218621260966907
transition,KZT,1,16,0.3125,28.709295016139038
transition,KZT,2,19,0.15789473684210525,-21.114886838250808
transition,KZT,3,21,0.2857142857142857,10.801677155641446
transition,KZT,4,22,0.09090909090909091,-23.923487172777538
transition,KZT,5,19,0.0,-33.58554027111043
transition,KZT,6,21,0.2857142857142857,-2.0261438520221224
transition,KZT,7,23,0.2608695652173913,6.542933321396337
transition,KZT,8,21,0.2857142857142857,-3.216944243408742
transition,KZT,9,22,0.13636363636363635,-4.378471873371739
transition,KZT,10,22,0.13636363636363635,-35.55857941304027
