period,expert,currency,trend,vol,position,common,n,base_rate,mean_score_rank,rank_squared_error
shock,global_compact_extra,AMD,0,0,2,0,86,0.5348837209302325,0.69660836261697,0.3268485015841598
shock,global_compact_extra,AMD,0,1,1,0,27,0.25925925925925924,0.6192681351849433,0.3075079365928453
shock,global_compact_extra,AMD,0,1,2,0,59,0.3728813559322034,0.4981895927732019,0.249969395713232
shock,global_compact_extra,AMD,0,2,1,0,27,0.4444444444444444,0.5966200136403872,0.22423578442217926
shock,global_compact_extra,AMD,0,2,2,0,59,0.2542372881355932,0.5664076075287264,0.41933343829803793
shock,global_compact_extra,AMD,2,0,0,2,26,0.38461538461538464,0.8016081313227714,0.44214212459838037
shock,global_compact_extra,AMD,2,1,0,2,34,0.08823529411764706,0.5618018691086203,0.4049308660452039
shock,global_compact_extra,AMD,2,2,0,2,32,0.15625,0.3796663796199556,0.2607223219794663
shock,global_compact_extra,KGS,0,0,1,0,32,0.3125,0.6953125,0.3916208701873049
shock,global_compact_extra,KGS,0,0,2,0,59,0.5084745762711864,0.6702778890701541,0.2722969849879486
shock,global_compact_extra,KGS,0,1,1,0,29,0.06896551724137931,0.5912794467987372,0.36510967122028753
shock,global_compact_extra,KGS,0,1,2,0,59,0.3728813559322034,0.5491023501260617,0.2787523032015836
shock,global_compact_extra,KGS,0,2,1,0,35,0.34285714285714286,0.5269944401947798,0.25099250294937925
shock,global_compact_extra,KGS,0,2,2,0,40,0.2,0.581420187410213,0.4346796915427231
shock,global_compact_extra,KGS,2,0,1,2,32,0.46875,0.4282014210852814,0.3334132401457703
shock,global_compact_extra,KGS,2,1,0,2,48,0.125,0.6756457190588132,0.4544268948654698
shock,global_compact_extra,KGS,2,1,1,2,20,0.4,0.17793440642549302,0.39418854913801804
shock,global_compact_extra,KGS,2,2,0,2,22,0.09090909090909091,0.341960564901991,0.16270322581321595
shock,global_compact_extra,KZT,0,0,1,0,29,0.3103448275862069,0.7095563896907495,0.34081247198358333
shock,global_compact_extra,KZT,0,0,2,0,56,0.5357142857142857,0.5705992066083322,0.2704066534182447
shock,global_compact_extra,KZT,0,1,2,0,74,0.28378378378378377,0.5081968804379671,0.3005105048935155
shock,global_compact_extra,KZT,0,2,1,0,30,0.16666666666666666,0.43118061904140004,0.28164266344220595
shock,global_compact_extra,KZT,0,2,2,0,38,0.2631578947368421,0.556076569083673,0.30899584471628583
shock,global_compact_extra,KZT,2,1,0,2,42,0.19047619047619047,0.5657548803771215,0.32621625593742437
shock,global_compact_extra,KZT,2,2,0,2,42,0.0,0.4517089093701997,0.33990936710272035
shock,global_compact_extra,TJS,0,0,2,0,82,0.45121951219512196,0.6650566037134839,0.3014076571209148
shock,global_compact_extra,TJS,0,1,1,0,20,0.2,0.555068891210657,0.30445142482432397
shock,global_compact_extra,TJS,0,1,2,0,66,0.36363636363636365,0.5559114060811853,0.2659588522970251
shock,global_compact_extra,TJS,0,2,1,0,35,0.34285714285714286,0.47819129088229256,0.2718489089682131
shock,global_compact_extra,TJS,0,2,2,0,36,0.1111111111111111,0.5666769150958455,0.48123544472359836
shock,global_compact_extra,TJS,2,0,0,2,26,0.38461538461538464,0.6603654524266382,0.3126082644894296
shock,global_compact_extra,TJS,2,0,1,2,22,0.45454545454545453,0.33192815249266866,0.33594932480370826
