block,n_dates,pc1_variance_share,pc2_cumulative_share,pc1_loading_AMD,pc1_loading_KGS,pc1_loading_KZT,pc1_loading_TJS,pc1_loading_UZS
development,1483,0.8534050282431143,0.9275030926595065,0.4652252933005046,0.45177836360020335,0.40212036059736356,0.44566325538764545,0.4681294853419445
general_validation,983,0.7029269004332431,0.8518091198791834,0.5071210031711668,0.4648411357595487,0.4491900813102047,0.48196301909454575,0.3044518446753853
transition,248,0.8772029056234457,0.9434051715899626,0.4081295101574766,0.46333321152336654,0.43986556428112733,0.4619437821966645,0.4603030148581986
shock_adaptation,494,0.8446931723460771,0.9157070759601859,0.46751813704806267,0.4391582182190011,0.4427574157526557,0.41215076390303873,0.4718733617317172
retrospective_final,657,0.919131253056003,0.9695118004760422,0.45949775719901115,0.4591224497890943,0.41544333427798225,0.451252491037269,0.4492732048157236
