currency,year,n,base_rate_h5,mean_forward_benefit_bps,mean_ret1_bps,vol_ret1_bps,mean_ret20_bps,median_gap_days,share_gap_gt_1
AMD,2011,246,0.25609756097560976,-0.6333490693919807,-0.4420210139440442,78.49649075633691,18.015073843801126,1.0,0.2073170731707317
AMD,2012,249,0.21686746987951808,-12.132365250154265,3.930735228580857,77.17713946147491,62.46291631265785,1.0,0.20883534136546184
AMD,2013,246,0.2886178861788618,10.403823442329694,-2.9287404348888546,53.46634840341024,-57.83114970906644,1.0,0.21544715447154472
AMD,2014,247,0.3643724696356275,54.67529771697753,-18.016729883702915,180.0645287212867,-343.43199214392206,1.0,0.21052631578947367
AMD,2015,247,0.29959514170040485,20.694607476861076,-10.338949831540315,174.89059236993322,-180.64010400645253,1.0,0.21052631578947367
AMD,2016,248,0.15725806451612903,-28.938175897309453,6.57174541585496,129.7093145647423,91.18140003938564,1.0,0.2056451612903226
AMD,2017,247,0.22672064777327935,-6.328912377663051,1.8379001580871377,65.48700340407612,39.967237319820455,1.0,0.21052631578947367
AMD,2018,247,0.30364372469635625,19.067681320999043,-7.889241902410702,88.20469850285744,-117.75485622337577,1.0,0.21052631578947367
AMD,2019,246,0.21544715447154472,-9.027939733494097,4.048301163540561,51.266565816655415,43.65279920629632,1.0,0.21544715447154472
AMD,2020,243,0.2839506172839506,11.289620446461758,-4.363576848699148,114.36005059242167,-82.67320906668121,1.0,0.2139917695473251
AMD,2021,248,0.2540322580645161,10.676355069170533,-4.010866742648966,75.2225501178596,-43.03119837040877,1.0,0.2056451612903226
AMD,2022,247,0.291497975708502,9.269638600731772,-8.878441613759138,254.22776321995156,-185.1516846112338,1.0,0.21052631578947367
AMD,2023,247,0.38461538461538464,26.763113517319233,-9.156527175917441,95.10836450418645,-250.85972362807598,1.0,0.21052631578947367
AMD,2024,248,0.3548387096774194,18.401456660221957,-6.329548689366511,92.90301415742863,-115.09804821317508,1.0,0.20967741935483872
AMD,2025,247,0.21862348178137653,-27.570601033178367,8.637556899337708,89.61246642410032,173.13630651438524,1.0,0.21052631578947367
AMD,2026,157,0.33121019108280253,23.329989049272164,-8.091383721908622,82.65955704701827,-128.9365449567737,1.0,0.21019108280254778
KGS,2011,246,0.25609756097560976,8.05367797140661,-3.489727354519705,73.92979467470961,-37.5442060815934,1.0,0.2073170731707317
KGS,2012,249,0.23293172690763053,-7.797873977689844,3.0025716950432133,77.14169381056251,28.885166789388837,1.0,0.20883534136546184
KGS,2013,246,0.2886178861788618,5.300680700271655,-1.5897727895947231,59.6071296972482,-25.94045788085307,1.0,0.21544715447154472
KGS,2014,247,0.31983805668016196,50.45215550959613,-16.492873145600566,186.25153845542437,-321.3484003169527,1.0,0.21052631578947367
KGS,2015,247,0.26720647773279355,-8.584405230997415,-1.5521323555684234,193.0674055367497,-11.988617402841706,1.0,0.21052631578947367
KGS,2016,248,0.18951612903225806,-16.973023582105675,2.4083680778618812,133.4109429685066,22.10896681959826,1.0,0.2056451612903226
KGS,2017,247,0.22267206477732793,-6.172859848228539,1.6400349783861246,66.28929957110033,43.197543704046794,1.0,0.21052631578947367
KGS,2018,247,0.29959514170040485,18.304350521599087,-7.451569427703759,85.18734796553363,-116.62031796035686,1.0,0.21052631578947367
KGS,2019,246,0.1991869918699187,-10.53560945048624,4.55709949091492,50.32940307020611,56.75349024049803,1.0,0.21544715447154472
KGS,2020,243,0.2551440329218107,-0.36508275628388354,-1.3977565073569354,152.2858483612025,-3.2424923517324533,1.0,0.2139917695473251
KGS,2021,248,0.24193548387096775,-1.4758769374342597,0.5210212389195656,62.144646671104134,12.7919049774948,1.0,0.2056451612903226
KGS,2022,247,0.2631578947368421,-15.558223320498508,-0.9634575376803355,271.28213174804705,34.63646028322399,1.0,0.21052631578947367
KGS,2023,247,0.3805668016194332,24.90817102687937,-8.627190457609636,85.17775607562832,-231.98820670164966,1.0,0.21052631578947367
KGS,2024,248,0.375,18.916599259050034,-6.432605900525852,91.22972589262626,-117.93749232827344,1.0,0.20967741935483872
KGS,2025,247,0.20242914979757085,-33.12859218934634,10.390408945549774,91.1795323100108,207.92320557406484,1.0,0.21052631578947367
KGS,2026,157,0.3057324840764331,15.01637686188088,-5.20729257302028,83.12790491361373,-76.46341097943323,1.0,0.21019108280254778
KZT,2011,247,0.2550607287449393,4.800739557013518,-1.9363944887466704,69.68228692590309,-24.406766585912596,1.0,0.20647773279352227
KZT,2012,249,0.2289156626506024,-7.81033392198165,2.595950331670516,68.8324404421326,28.67800400301845,1.0,0.20883534136546184
KZT,2013,246,0.2886178861788618,7.222473342611652,-2.2621067428619432,47.23160497709454,-37.68278772161223,1.0,0.21544715447154472
KZT,2014,247,0.4048582995951417,51.46385379398743,-17.062205342411147,202.82219385966096,-333.7846471383167,1.0,0.21052631578947367
KZT,2015,247,0.23481781376518218,-59.5591255881746,11.294132430996529,250.93744279762555,227.79281346420913,1.0,0.21052631578947367
KZT,2016,248,0.1693548387096774,-19.8359335398512,6.436416768465744,88.64717487091787,119.01076159313642,1.0,0.2056451612903226
KZT,2017,247,0.2388663967611336,-5.605450342240095,1.7867263977368335,53.51012991361895,40.335577910587126,1.0,0.21052631578947367
KZT,2018,247,0.2550607287449393,3.776077901586374,-1.9042294599315144,65.56288342522015,-28.22164787324263,1.0,0.21052631578947367
KZT,2019,246,0.21951219512195122,-11.748179531232363,4.290069020665739,39.27250841846038,78.98945177932697,1.0,0.21544715447154472
KZT,2020,243,0.25925925925925924,10.011846996631853,-3.6173529082316405,86.26350588186229,-61.7757338328145,1.0,0.2139917695473251
KZT,2021,248,0.21774193548387097,-3.0674798252803717,1.3920563355683189,50.16760858939036,31.984036995034707,1.0,0.2056451612903226
KZT,2022,247,0.2591093117408907,-21.393811095818588,1.2388775303915363,243.37566152523604,77.35537897467593,1.0,0.21052631578947367
KZT,2023,247,0.3603238866396761,32.16208693092992,-11.038521549488209,104.36045719934619,-289.9336378535439,1.0,0.21052631578947367
KZT,2024,248,0.2701612903225806,-2.3657804567841367,0.0160645031462903,106.46996160843238,3.3228432095642377,1.0,0.20967741935483872
KZT,2025,247,0.20242914979757085,-28.81121922464647,8.741874254584811,102.57575776599333,192.44472942391354,1.0,0.21052631578947367
KZT,2026,157,0.3630573248407643,34.23653026278225,-11.669470657347235,108.32005644743839,-200.3433572051792,1.0,0.21019108280254778
TJS,2011,246,0.24390243902439024,-3.0391364702072603,0.5523076029706916,74.0867278826883,32.76146186829414,1.0,0.2073170731707317
TJS,2012,249,0.24497991967871485,-5.933072455906497,2.1556665285324157,70.3334435017132,16.11288359426497,1.0,0.20883534136546184
TJS,2013,246,0.2886178861788618,10.273207072897515,-3.700140413150085,90.95214693151905,-56.646116546286386,1.0,0.21544715447154472
TJS,2014,247,0.340080971659919,60.71853443873769,-19.6500363759533,184.77850157688854,-386.0332266465352,1.0,0.21052631578947367
