currency,year,n,base_rate_h5,mean_forward_benefit_bps,mean_ret1_bps,vol_ret1_bps,mean_ret20_bps,median_gap_days,share_gap_gt_1
TJS,2015,247,0.2591093117408907,-13.953537274013385,-2.983621871102871,206.65667299310223,-37.228724092101324,1.0,0.21052631578947367
TJS,2016,248,0.14919354838709678,-41.22429425796513,13.428691015317636,141.9738219297276,229.88219709427548,1.0,0.2056451612903226
TJS,2017,247,0.22267206477732793,-20.37943304598743,6.269988828192575,81.58267864031113,126.47108032566848,1.0,0.21052631578947367
TJS,2018,247,0.2874493927125506,11.139634251348026,-5.328812151924604,93.26039114118859,-66.99422951541773,1.0,0.21052631578947367
TJS,2019,246,0.22764227642276422,-14.054979079555615,5.648462740125528,51.96078351925244,77.61139085436797,1.0,0.21544715447154472
TJS,2020,243,0.2716049382716049,1.949211529852177,-1.7601307860506121,134.07880003483223,-25.459111267035617,1.0,0.2139917695473251
TJS,2021,248,0.21774193548387097,1.949253513891455,-0.5522334805474232,62.05575068432105,-2.189699859001841,1.0,0.2056451612903226
TJS,2022,247,0.3117408906882591,-4.018462688240272,-6.676640722632699,312.5009786288115,-114.57517358148492,1.0,0.21052631578947367
TJS,2023,247,0.3805668016194332,21.540715329401387,-7.327626164020046,85.6862327231423,-209.95373263614636,1.0,0.21052631578947367
TJS,2024,248,0.3548387096774194,16.057864665450612,-5.585714697055651,94.24984076325703,-100.80543996209626,1.0,0.20967741935483872
TJS,2025,247,0.2874493927125506,-13.603961063366363,3.383862690658495,96.93031762973546,67.71162296924687,1.0,0.21052631578947367
TJS,2026,157,0.3184713375796178,16.91315354162811,-5.2368278451527415,84.513569841076,-73.5871766628132,1.0,0.21019108280254778
UZS,2011,246,0.24390243902439024,-4.566979381803571,0.976187937796487,72.95097528754417,40.83940227716339,1.0,0.2073170731707317
UZS,2012,249,0.20883534136546184,-17.71225084923806,6.129207247746131,70.99280737684911,96.46338352415219,1.0,0.20883534136546184
UZS,2013,246,0.22764227642276422,-3.783572700619986,1.5478849013175462,75.14753516658365,30.24064838341137,1.0,0.21544715447154472
UZS,2014,247,0.3562753036437247,62.50045290177759,-20.371828419368168,181.45829544013924,-386.5257581332002,1.0,0.21052631578947367
UZS,2015,247,0.26720647773279355,5.498709450441362,-6.7667280810648505,174.15157902374762,-119.14945190761796,1.0,0.21052631578947367
UZS,2016,248,0.14516129032258066,-46.14816669730377,12.632301068367248,131.59875482253548,212.7586755506758,1.0,0.2056451612903226
UZS,2017,247,0.17408906882591094,-133.4797702169475,32.377686666619724,314.5647734724886,631.9615017362675,1.0,0.21052631578947367
UZS,2018,247,0.29554655870445345,16.307733255952556,-6.935221858055133,91.67692392261213,-101.44736522206985,1.0,0.21052631578947367
UZS,2019,246,0.1910569105691057,-27.131499753253312,9.94123667451199,55.68744547961186,163.66136328654807,1.0,0.21544715447154472
UZS,2020,243,0.2674897119341564,10.502001379257544,-4.062649283024636,113.97676636946282,-76.99372477960353,1.0,0.2139917695473251
UZS,2021,248,0.22580645161290322,-2.8997696819659047,1.0036230670396977,63.31272152405038,27.187347059963177,1.0,0.2056451612903226
UZS,2022,247,0.2631578947368421,-21.1713615251557,0.390487719742381,258.0184343964358,7.347588471870946,1.0,0.21052631578947367
UZS,2023,247,0.38461538461538464,18.57273625022426,-6.410514392873374,89.25226860848336,-192.97946935430198,1.0,0.21052631578947367
UZS,2024,248,0.3346774193548387,10.656885263749347,-3.632401604181395,92.68053632393911,-64.07217397621783,1.0,0.20967741935483872
UZS,2025,247,0.19838056680161945,-23.92208400714663,7.121504427330062,101.6266723219877,146.91377665939396,1.0,0.21052631578947367
UZS,2026,157,0.3821656050955414,18.71578804637046,-6.473658072711124,86.91782314658785,-88.81559669739524,1.0,0.21019108280254778
