currency,date,mean_return_z,log_vol_ratio_abs,target_rate_z,composite,left_base,right_base,left_vol,right_vol
AMD,2016-01-16,2.2499376259105586,0.563259829567656,5.112294640255306,8.488751925301177,0.332,0.19,177.1057088915676,100.8351440178452
AMD,2022-10-07,1.2285784405236422,0.6334397396114954,4.674848069906552,7.170305989653185,0.236,0.372,183.54566541070827,97.41924222655344
AMD,2013-12-31,1.8172800895583232,0.9704533894751085,2.781966761204066,6.540153629712606,0.252,0.332,67.1073369120404,177.1057088915676
AMD,2021-09-17,1.1139761729187179,0.7188682113255831,3.7193117063338845,6.271024301903768,0.248,0.356,91.94790776820834,188.68716153449674
KGS,2022-11-04,1.2598572998001505,0.7824069531668945,5.234586845951394,8.059258052085333,0.226,0.378,196.0571339453672,89.65770639445213
KGS,2016-02-13,1.4950628771943517,0.8031147525287915,3.514847417439226,6.616139799691161,0.296,0.2,196.84896538723393,88.17487008486721
KGS,2021-10-15,0.7502263102852611,0.5602929227153645,3.8864551145357202,5.7572672702517105,0.222,0.332,113.78680893270743,199.26179780491762
KGS,2013-01-17,1.5597559543233586,0.6805604845194225,2.3371069649284864,5.25798388829069,0.242,0.308,75.20671204772776,148.53208180641423
KZT,2014-12-19,2.300825471321145,0.4753138111452263,5.104919577913609,8.356372671525207,0.346,0.202,125.24308864372924,201.455874464702
KZT,2013-01-16,1.646251281448997,0.8155677388912375,3.6751096665848824,6.952496425816355,0.242,0.348,68.98513009711733,155.9380358898285
KZT,2016-01-15,0.56271519491013,1.1414696694759179,4.0272556588922805,6.872910192754246,0.318,0.206,227.19908027453585,72.5558753778254
KZT,2022-10-06,1.813345540775421,0.4729165741793225,3.9982052902243423,6.7573839793584085,0.212,0.324,169.19056694239816,105.43652540637785
TJS,2022-10-07,1.1069480695003626,0.8881672543059678,4.710605421790647,7.593887999902945,0.228,0.364,225.96991661867102,92.96607275126901
TJS,2016-01-16,1.9357440361524836,0.5433819376654052,3.987048090513575,7.009556001996869,0.296,0.188,195.89395782708615,113.77144186457711
TJS,2021-09-17,0.8685045531484473,0.7956767648868099,4.264264370711211,6.724122453633278,0.226,0.348,102.20825200081622,226.48737150262332
TJS,2014-12-20,1.790647746120115,0.3245239461826193,3.90285084506975,6.342546483555104,0.312,0.204,133.67311000802644,184.91962852591328
UZS,2016-01-16,2.7905836083063518,0.30155222057816117,6.124794741063592,9.518482790526267,0.316,0.152,177.08881143529288,239.41623071636076
UZS,2018-02-21,2.262968784114822,1.1022917203129203,4.572695501201584,9.040247725942248,0.152,0.27,233.09922575919646,77.414375676138
UZS,2022-11-04,1.1899549947750319,0.6842203596774359,4.888344439664516,7.44674015379442,0.218,0.358,183.85549373912906,92.75204260300197
UZS,2013-12-31,2.021403816005334,0.8803705208613225,3.502583214186349,7.284728071914328,0.218,0.316,73.42620126762971,177.08881143529288
